query,车辆候选列表,id,大类|小类,answer,app,正确答案,category,category正确答案,mode,mode正确答案,price,price正确答案,price_min,price_min正确答案,price_max,price_max正确答案,model,think_time,问题,备注,车型组合
打车到云密城F栋，优先价格低的,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 12 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": -1, ""price_max"": 0, ""fast"": False}]",无,,无,,无,,True,False,-1.0,0.0,0.0,,Qwen2.5-32B-Instruct,1.114955425,其他,价格模糊,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
10块钱以内从金证科技园打车去华为研究所,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 13 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 10, ""fast"": False}]",无,,无,,无,,True,,0.0,,10.0,,Qwen2.5-32B-Instruct,1.070870876,,,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
打车去绣球公园，选最便宜的,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 14 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": -1, ""price_max"": 0, ""fast"": False}]",无,,无,,无,,True,,-1.0,,0.0,,Qwen2.5-32B-Instruct,1.115092039,,,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
打辆车去禄口机场，超过30就算了,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 15 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 30, ""fast"": False}]",无,,无,,无,,True,,0.0,,30.0,,Qwen2.5-32B-Instruct,1.116245508,,,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
晚上9点从德基打车回家，预约个最便宜的,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 16 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": -1, ""price_max"": 0, ""fast"": False}]",无,,无,,无,,True,,-1.0,,0.0,,Qwen2.5-32B-Instruct,1.103655577,,,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
从建康新村打车到河西龙湖天街，18以下,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 17 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 18, ""fast"": False}]",无,,无,,无,,True,,0.0,,18.0,,Qwen2.5-32B-Instruct,1.073343039,,,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
13点从红山动物园打车去新百，15以内,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 18 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 15, ""fast"": False}]",无,,无,,无,,True,,0.0,,15.0,,Qwen2.5-32B-Instruct,1.048197031,,,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
预算20块钱从合肥南站打车到逍遥津,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 19 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 20, ""fast"": False}]",无,,无,,无,,True,,0.0,,20.0,,Qwen2.5-32B-Instruct,1.070171118,,,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
我要从鹏欣水游城打车到雨花客厅，不超过11块的,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 11, ""fast"": False}]",无,,无,,无,,True,,0.0,,11.0,,Qwen2.5-32B-Instruct,1.062602043,,,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
从钓鱼巷小区打车去银龙花园四期，15-18元,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
{""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
{""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
{""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
{""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
{""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
{""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
{""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
{""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
{""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
{""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
{""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
{""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
{""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
{""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
{""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
{""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
{""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
{""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
{""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
{""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 21 }",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 15, ""price_max"": 18, ""fast"": False}]",无,,无,,无,,True,,15.0,,18.0,,Qwen2.5-32B-Instruct,1.100699902,,,"[{'出租': '出租车'}, {'拼车': '极速拼车'}, {'快速': '滴滴快车'}, {'六座': '六座专车'}, {'经济': '365约车'}, {'舒适出发': '滴滴专车'}, {'拼车': '特价拼车'}, {'特价拼车': '特价拼车'}, {'舒适出发': '滴滴豪华车'}, {'快速': '特快出租车'}, {'特快车': '特快车'}, {'经济': '聚优出租'}, {'特惠快车': '特惠快车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}]"
