model,query,车辆候选列表,id,大类|小类,answer,app,正确答案,category（车大类）,正确答案.1,mode（车小类）,正确答案.2,price,正确答案.3,price_min,正确答案.4,price_max,正确答案.5,think_time,问题,备注,标注人,车型组合
Qwen2.5-32B-Instruct,"

叫个拼车去世界之窗，费用不超过31元。","|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|16.12|
|1|滴滴|推荐|特惠快车|16.98|
|2|滴滴|推荐|滴滴快车|18.52|
|3|滴滴|拼车|特价拼车|22.25-23.57|
|4|滴滴|特价|花小猪外接版|21.83|
|5|滴滴|特价|惊喜特价|24.70|
|6|滴滴|快速|曹操出行|31.56|
|7|滴滴|快速|出租车|34.21|
|8|滴滴|快速|滴滴轻享|35.16|
|9|滴滴|快速|滴滴特快|36.98|
|10|滴滴|舒适|滴滴专车|44.87|
|11|滴滴|六座|六座专车|78.42|",3,拼车|特价拼车,"[{""app"": ""无"", ""category"": ""极速拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 31, ""fast"": False}]",无,,极速拼车,拼车,无,,True,,0,,31,,1.113897562,直接命中车大类关键字但answer中没有或错误,,王笑,"[{'快速': '曹操出行'}, {'舒适': '滴滴专车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}, {'特价': '惊喜特价'}, {'快速': '滴滴轻享'}, {'拼车': '特价拼车'}, {'快速': '滴滴特快'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'快速': '出租车'}]"
Qwen2.5-32B-Instruct,"

在滴滴叫个特价拼车去龙华上塘地铁口，不超过24元。","|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|4.79|
|1|滴滴|推荐|特惠快车|7.66|
|2|滴滴|推荐|滴滴快车|9.00|
|3|滴滴|拼车|特价拼车|6.19-7.51|
|4|滴滴|特价|花小猪外接版|4.78|
|5|滴滴|特价|惊喜特价|6.49|
|6|滴滴|特价|特惠快车|7.07|
|7|滴滴|快速|曹操出行|8.39|
|8|滴滴|快速|出租车|12.15|
|9|滴滴|快速|滴滴轻享|12.85|
|10|滴滴|快速|滴滴特快|12.94|
|11|滴滴|舒适|滴滴专车|14.21|
|12|滴滴|六座|六座专车|19.18|
|13|滴滴|六座|六座豪华车|22.74|",3,拼车|特价拼车,"[{""app"": ""滴滴"", ""category"": ""拼车"", ""mode"": ""特价拼车"", ""price"": True, ""price_min"": 0, ""price_max"": 24, ""fast"": False}]",滴滴,,拼车,无,特价拼车,,True,,0,,24,,1.110332727,其他,车大类无要求,王笑,"[{'六座': '六座豪华车'}, {'快速': '曹操出行'}, {'舒适': '滴滴专车'}, {'特价': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}, {'特价': '惊喜特价'}, {'快速': '滴滴轻享'}, {'拼车': '特价拼车'}, {'快速': '滴滴特快'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'快速': '出租车'}]"
Qwen2.5-32B-Instruct,"

叫个特价拼车到凯丰花园5栋。","|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|9-11|
|1|高德地图|     |特惠快车|8-11|
|2|高德地图|经济型|365约车|9|
|3|高德地图|经济型|东潮出行|9|
|4|高德地图|经济型|旗妙出行|9|
|5|高德地图|经济型|飞嘀打车|10|
|6|高德地图|经济型|北京的士|10|
|7|高德地图|经济型|全民GO|10|
|8|高德地图|经济型|5U出行|10|
|9|高德地图|经济型|享道出行|11|
|10|高德地图|经济型|斑马快跑|11|
|11|高德地图|经济型|有序出行|12|
|12|高德地图|经济型|900出行|12|
|13|高德地图|经济型|中交出行|13|
|14|高德地图|经济型|深圳出租|13|
|15|高德地图|经济型|T3出行|13|
|16|高德地图|特快车|undefined|11|
|17|高德地图|出租车|undefined|14|
|18|高德地图|优享型|腾飞出行|13|
|19|高德地图|优享型|星徽出行|13|
|20|高德地图|优享型|神州专车|13|
|21|高德地图|优享型|旗妙出行|13|
|22|高德地图|优享型|全民GO|14|
|23|高德地图|优享型|妥妥E行|14|
|24|高德地图|优享型|AA出行|14|
|25|高德地图|优享型|享道出行|15|
|26|高德地图|优享型|环旅出行|16|
|27|高德地图|优享型|风韵出行|17|
|28|高德地图|优享型|首汽约车|17|
|29|高德地图|轻享专车|undefined|19|
|30|高德地图|品质专车|undefined|21|
|31|高德地图|六座商务|undefined|20|
|32|高德地图|豪华型|undefined|39-44|",0, |极速拼车,"[{""app"": ""无"", ""category"": ""特价拼车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,特价拼车,无,无,极速拼车,False,,0,,0,,1.062469482,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,"[{'优享型': '享道出行'}, {'优享型': '风韵出行'}, {'': '极速拼车'}, {'特快车': 'undefined'}, {'经济型': '深圳出租'}, {'品质专车': 'undefined'}, {'经济型': 'T3出行'}, {'优享型': 'AA出行'}, {'豪华型': 'undefined'}, {'优享型': '旗妙出行'}, {'经济型': '365约车'}, {'优享型': '环旅出行'}, {'经济型': '飞嘀打车'}, {'轻享专车': 'undefined'}, {'经济型': '中交出行'}, {'经济型': '900出行'}, {'': '特惠快车'}, {'优享型': '神州专车'}, {'经济型': '享道出行'}, {'优享型': '全民GO'}, {'经济型': '5U出行'}, {'优享型': '星徽出行'}, {'优享型': '首汽约车'}, {'经济型': '北京的士'}, {'出租车': 'undefined'}, {'经济型': '斑马快跑'}, {'六座商务': 'undefined'}, {'优享型': '妥妥E行'}, {'经济型': '旗妙出行'}, {'经济型': '有序出行'}, {'优享型': '腾飞出行'}, {'经济型': '全民GO'}, {'经济型': '东潮出行'}]"
Qwen2.5-32B-Instruct,"

叫个极速拼车去宝安机场，价格不超过31元。","|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|13.43|
|1|滴滴|推荐|特惠快车|17.29|
|2|滴滴|推荐|滴滴快车|17.29|
|3|滴滴|拼车|特价拼车|11.52-13.03|
|4|滴滴|拼车|极速拼车|16.68-18.52|
|5|滴滴|特价|花小猪外接版|15.76|
|6|滴滴|特价|惊喜特价|17.13|
|7|滴滴|特价|特惠快车|18.14|
|8|滴滴|快速|曹操出行|25.94|
|9|滴滴|快速|出租车|27.11|
|10|滴滴|快速|滴滴轻享|28.73|
|11|滴滴|快速|滴滴特快|29.26|
|12|滴滴|舒适|滴滴专车|38.33|
|13|滴滴|舒适|滴滴豪华车|38.99|
|14|滴滴|六座|六座专车|61.01|",4,拼车|极速拼车,"[{""app"": ""无"", ""category"": ""极速拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 31, ""fast"": False}]",无,,极速拼车,无,无,极速拼车,True,,0,,31,,1.12401104,直接命中车小类关键字但answer中没有或错误,,王笑,"[{'拼车': '极速拼车'}, {'快速': '曹操出行'}, {'舒适': '滴滴专车'}, {'特价': '特惠快车'}, {'推荐': '滴滴快车'}, {'舒适': '滴滴豪华车'}, {'推荐': '特惠快车'}, {'特价': '惊喜特价'}, {'快速': '滴滴轻享'}, {'拼车': '特价拼车'}, {'快速': '滴滴特快'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'快速': '出租车'}]"
Qwen2.5-32B-Instruct,"

打辆特价拼车到深圳北站，25分钟内到达。","|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|26.99|
|1|滴滴|推荐|特惠快车|29.19|
|2|滴滴|推荐|滴滴快车|30.59|
|3|滴滴|推荐|特快出租车|32.31|
|4|滴滴|拼车|特价拼车|22.01-23.09|
|5|滴滴|拼车|极速拼车|23.20-24.65|
|6|滴滴|特价|花小猪外接版|34.56|
|7|滴滴|特价|惊喜特价|35.09|
|8|滴滴|特价|特惠快车|36.00|
|9|滴滴|快速|曹操出行|45.85|
|10|滴滴|快速|出租车|47.03|
|11|滴滴|快速|滴滴轻享|48.27|
|12|滴滴|快速|滴滴特快|51.40|
|13|滴滴|舒适|滴滴专车|77.25|
|14|滴滴|六座|六座专车|116.61|
|15|滴滴|六座|六座豪华车|119.40|",4,拼车|特价拼车,"[{""app"": ""无"", ""category"": ""特价拼车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,特价拼车,无,无,特价拼车,False,,0,,0,,1.110395908,直接命中车小类关键字但answer中没有或错误,,王笑,"[{'拼车': '极速拼车'}, {'六座': '六座豪华车'}, {'快速': '曹操出行'}, {'舒适': '滴滴专车'}, {'特价': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}, {'特价': '惊喜特价'}, {'快速': '滴滴轻享'}, {'拼车': '特价拼车'}, {'快速': '滴滴特快'}, {'六座': '六座专车'}, {'推荐': '特快出租车'}, {'特价': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'快速': '出租车'}]"
Qwen2.5-32B-Instruct,"

预约六座商务车从北站出发，费用控制在80元内。","|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|14-14|
|1|高德地图|     |特惠快车|15-15|
|2|高德地图|经济型|腾飞出行|16|
|3|高德地图|经济型|中军出行|16|
|4|高德地图|经济型|星徽出行|16|
|5|高德地图|经济型|神州专车|17|
|6|高德地图|经济型|旗妙出行|17|
|7|高德地图|经济型|北京新出租|17|
|8|高德地图|经济型|全民GO|18|
|9|高德地图|经济型|曹操出行|18|
|10|高德地图|经济型|享道出行|18|
|11|高德地图|经济型|900出行|19|
|12|高德地图|经济型|中交出行|20|
|13|高德地图|经济型|首汽约车|20|
|14|高德地图|经济型|阳光出行|20|
|15|高德地图|特快车|undefined|18|
|16|高德地图|出租车|undefined|22|
|17|高德地图|优享型|腾飞出行|22|
|18|高德地图|优享型|星徽出行|23|
|19|高德地图|优享型|旗妙出行|23|
|20|高德地图|优享型|斑马快跑|24|
|21|高德地图|优享型|全民GO|24|
|22|高德地图|优享型|AA出行|24|
|23|高德地图|优享型|曹操出行|25|
|24|高德地图|优享型|环旅出行|25|
|25|高德地图|优享型|中交出行|25|
|26|高德地图|优享型|飞嘀打车|25|
|27|高德地图|优享型|火箭出行|26|
|28|高德地图|优享型|阳光出行|26|
|29|高德地图|轻享专车|undefined|26|
|30|高德地图|品质专车|undefined|30|
|31|高德地图|六座商务|undefined|32|
|32|高德地图|豪华型|undefined|51-56|",31,六座商务|undefined,"[{""app"": ""无"", ""category"": ""商务车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 80, ""fast"": False}]",无,,商务车,六座商务,无,,True,,0,,80,,1.122997046,直接命中车大类关键字但answer中没有或错误,,王笑,"[{'经济型': '星徽出行'}, {'优享型': '中交出行'}, {'': '极速拼车'}, {'经济型': '首汽约车'}, {'经济型': '阳光出行'}, {'特快车': 'undefined'}, {'品质专车': 'undefined'}, {'优享型': '火箭出行'}, {'优享型': '曹操出行'}, {'优享型': 'AA出行'}, {'优享型': '斑马快跑'}, {'经济型': '腾飞出行'}, {'豪华型': 'undefined'}, {'优享型': '旗妙出行'}, {'优享型': '环旅出行'}, {'轻享专车': 'undefined'}, {'经济型': '中交出行'}, {'经济型': '900出行'}, {'': '特惠快车'}, {'经济型': '享道出行'}, {'经济型': '中军出行'}, {'优享型': '全民GO'}, {'经济型': '曹操出行'}, {'优享型': '星徽出行'}, {'优享型': '阳光出行'}, {'出租车': 'undefined'}, {'六座商务': 'undefined'}, {'经济型': '旗妙出行'}, {'优享型': '腾飞出行'}, {'经济型': '北京新出租'}, {'经济型': '神州专车'}, {'优享型': '飞嘀打车'}, {'经济型': '全民GO'}]"
Qwen2.5-32B-Instruct,"

打个特惠快车去卓悦汇，费用别超34元。","|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|26.99|
|1|滴滴|推荐|特惠快车|29.19|
|2|滴滴|推荐|滴滴快车|30.59|
|3|滴滴|推荐|特快出租车|32.31|
|4|滴滴|拼车|特价拼车|22.01-23.09|
|5|滴滴|拼车|极速拼车|23.20-24.65|
|6|滴滴|特价|花小猪外接版|34.56|
|7|滴滴|特价|惊喜特价|35.09|
|8|滴滴|特价|特惠快车|36.00|
|9|滴滴|快速|曹操出行|45.85|
|10|滴滴|快速|出租车|47.03|
|11|滴滴|快速|滴滴轻享|48.27|
|12|滴滴|快速|滴滴特快|51.40|
|13|滴滴|舒适|滴滴专车|77.25|
|14|滴滴|六座|六座专车|116.61|
|15|滴滴|六座|六座豪华车|119.40|","1,8",推荐|特惠快车，特价|特惠快车,"[{""app"": ""无"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 34, ""fast"": False}]",无,,特惠快车,无,无,特惠快车,True,,0,,34,,1.124585867,直接命中车小类关键字但answer中没有或错误,,王笑,"[{'拼车': '极速拼车'}, {'六座': '六座豪华车'}, {'快速': '曹操出行'}, {'舒适': '滴滴专车'}, {'特价': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}, {'特价': '惊喜特价'}, {'快速': '滴滴轻享'}, {'拼车': '特价拼车'}, {'快速': '滴滴特快'}, {'六座': '六座专车'}, {'推荐': '特快出租车'}, {'特价': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'快速': '出租车'}]"
Qwen2.5-32B-Instruct,"

打个拼车去深圳万象天地，费用30元以内。","|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|18.74|
|1|滴滴|推荐|特惠快车|21.42|
|2|滴滴|推荐|滴滴快车|21.46|
|3|滴滴|拼车|特价拼车|14.86-16.44|
|4|滴滴|特价|花小猪外接版|18.28|
|5|滴滴|特价|惊喜特价|20.48|
|6|滴滴|特价|特惠快车|22.08|
|7|滴滴|快速|曹操出行|24.15|
|8|滴滴|快速|出租车|25.02|
|9|滴滴|快速|滴滴轻享|26.26|
|10|滴滴|快速|滴滴特快|29.58|
|11|滴滴|快速|滴滴优享|29.61|
|12|滴滴|舒适|滴滴专车|41.83|
|13|滴滴|六座|六座专车|56.80|",3,拼车|特价拼车,"[{""app"": ""无"", ""category"": ""极速拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 30, ""fast"": False}]",无,,极速拼车,拼车,无,,True,,0,,30,,1.108363152,直接命中车大类关键字但answer中没有或错误,,王笑,"[{'快速': '曹操出行'}, {'舒适': '滴滴专车'}, {'特价': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}, {'特价': '惊喜特价'}, {'快速': '滴滴轻享'}, {'快速': '滴滴优享'}, {'拼车': '特价拼车'}, {'快速': '滴滴特快'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'快速': '出租车'}]"
Qwen2.5-32B-Instruct,"

叫个极速拼车到东湖新村，车费40元以内。","|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|30.49|
|1|滴滴|推荐|特惠快车|32.72|
|2|滴滴|推荐|滴滴快车|33.56|
|3|滴滴|拼车|特价拼车|31.48-32.58|
|4|滴滴|拼车|极速拼车|33.29-35.02|
|5|滴滴|特价|花小猪外接版|40.33|
|6|滴滴|特价|惊喜特价|41.01|
|7|滴滴|快速|曹操出行|61.25|
|8|滴滴|快速|出租车|61.67|
|9|滴滴|快速|滴滴轻享|63.16|
|10|滴滴|舒适|滴滴专车|95.03|
|11|滴滴|六座|六座专车|124.44|",4,拼车|极速拼车,"[{""app"": ""无"", ""category"": ""极速拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 31, ""fast"": False}]",无,,极速拼车,无,无,极速拼车,True,,0,,31,40.0,1.094759703,直接命中车小类关键字但answer中没有或错误,,王笑,"[{'拼车': '极速拼车'}, {'快速': '曹操出行'}, {'舒适': '滴滴专车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}, {'特价': '惊喜特价'}, {'快速': '滴滴轻享'}, {'拼车': '特价拼车'}, {'六座': '六座专车'}, {'特价': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'快速': '出租车'}]"
Qwen2.5-32B-Instruct,"

用神州专车去杭州宋城，预算不超过一万五。","|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|6-8|
|1|高德地图|     |特惠快车|7-8|
|2|高德地图|经济型|腾飞出行|8|
|3|高德地图|经济型|中军出行|8|
|4|高德地图|经济型|如祺出行|8|
|5|高德地图|经济型|365约车|9|
|6|高德地图|经济型|星徽出行|9|
|7|高德地图|经济型|北京新出租|9|
|8|高德地图|经济型|全民GO|9|
|9|高德地图|经济型|5U出行|10|
|10|高德地图|经济型|首汽约车|10|
|11|高德地图|经济型|AA出行|10|
|12|高德地图|经济型|斑马快跑|11|
|13|高德地图|经济型|有序出行|11|
|14|高德地图|经济型|900出行|11|
|15|高德地图|经济型|及时用车|11|
|16|高德地图|经济型|深圳出租|11|
|17|高德地图|经济型|飞嘀打车|11|
|18|高德地图|经济型|阳光出行|12|
|19|高德地图|特快车|undefined|9|
|20|高德地图|出租车|undefined|10|
|21|高德地图|优享型|腾飞出行|12|
|22|高德地图|优享型|星徽出行|13|
|23|高德地图|优享型|神州专车|13|
|24|高德地图|优享型|东潮出行|14|
|25|高德地图|优享型|旗妙出行|14|
|26|高德地图|优享型|妥妥E行|14|
|27|高德地图|优享型|AA出行|14|
|28|高德地图|优享型|曹操出行|15|
|29|高德地图|优享型|风韵出行|15|
|30|高德地图|优享型|首汽约车|16|
|31|高德地图|优享型|T3出行|16|
|32|高德地图|轻享专车|undefined|14|
|33|高德地图|品质专车|undefined|17|
|34|高德地图|六座商务|undefined|19|
|35|高德地图|豪华型|undefined|37-39|",23,优享型|神州专车,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""神州专车"", ""price"": True, ""price_min"": 0, ""price_max"": 15000, ""fast"": False}]",无,,无,,神州专车,,True,,0,,15000,,1.154062033,,,王笑,"[{'经济型': '星徽出行'}, {'优享型': '风韵出行'}, {'': '极速拼车'}, {'经济型': '首汽约车'}, {'经济型': '阳光出行'}, {'特快车': 'undefined'}, {'经济型': '深圳出租'}, {'品质专车': 'undefined'}, {'优享型': '曹操出行'}, {'优享型': 'AA出行'}, {'经济型': '腾飞出行'}, {'豪华型': 'undefined'}, {'优享型': '旗妙出行'}, {'经济型': '如祺出行'}, {'经济型': '365约车'}, {'经济型': '飞嘀打车'}, {'轻享专车': 'undefined'}, {'优享型': '神州专车'}, {'经济型': '900出行'}, {'': '特惠快车'}, {'经济型': '中军出行'}, {'经济型': '及时用车'}, {'优享型': '东潮出行'}, {'经济型': '5U出行'}, {'优享型': '星徽出行'}, {'优享型': '首汽约车'}, {'经济型': 'AA出行'}, {'出租车': 'undefined'}, {'经济型': '斑马快跑'}, {'六座商务': 'undefined'}, {'优享型': '妥妥E行'}, {'优享型': 'T3出行'}, {'经济型': '有序出行'}, {'优享型': '腾飞出行'}, {'经济型': '北京新出租'}, {'经济型': '全民GO'}]"
