query,可选车型组合,模型输出车型组合,正确车型组合,prec,rec,f1,proper
打车去南京博物院，选特惠快车或特价拼车。,"[{'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'优享型': '享道出行'}, {'优享型': '全民GO'}, {'优享型': '星徽出行'}, {'优享型': '神州专车'}, {'优享型': '首汽约车'}, {'六座商务': 'undefined'}, {'出租车': 'undefined'}, {'品质专车': 'undefined'}, {'极速拼车': '15-18'}, {'特快车': 'undefined'}, {'特惠快车': '16-17'}, {'经济型': '5U出行'}, {'经济型': '900出行'}, {'经济型': '东潮出行'}, {'经济型': '中交出行'}, {'经济型': '享道出行'}, {'经济型': '全民GO'}, {'经济型': '及时用车'}, {'经济型': '斑马快跑'}, {'经济型': '有序出行'}, {'经济型': '聚的新出租'}, {'经济型': '飞嘀打车'}, {'经济型': '首汽约车'}, {'豪华型': 'undefined'}, {'轻享专车': 'undefined'}]",[],[],1,1.0,1.0,1
叫个特价拼车或特惠快车去龙湾机场，费用不超过80元。,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '曹操出行'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}, {'特价': '特惠快车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}, {'特价': '特惠快车'}]",1,1.0,1.0,1
我要到阿尔山森林公园，帮叫一辆特价车，预算90内,"[{'六座': '六座专车'}, {'六座': '六座快车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '滴滴特快'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}]",1,1.0,1.0,1
预计60-80元，从乌鲁木齐市区到克拉玛依市。,[],[],[],1,1.0,1.0,1
从解放碑到江北机场，打个六座的车。,"[{'六座': '六座专车'}, {'快速': '出租车'}, {'快速': '曹操出行'}, {'快速': '滴滴轻享'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}]",[{'六座': '六座专车'}],[],0,0.0,0.0,0
到舟山普陀山，帮我叫一辆特价车，预算75以内,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '武汉新出租'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '滴滴小巴'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}]",1,1.0,1.0,1
帮我打个车回家，费用不高于20,"[{'365约车': '18'}, {'T3出行': '12'}, {'T3出行': '14'}, {'undefined': '13-16'}, {'undefined': '15'}, {'undefined': '18-22'}, {'undefined': '33-41'}, {'享道出行': '11'}, {'享道出行': '13'}, {'南京出租': '13'}, {'及时用车': '11'}, {'及时用车': '17'}, {'叮叮出行': '11'}, {'叮叮出行': '17'}, {'妥妥E行': '10'}, {'旅程约车': '11'}, {'旅程约车': '19'}, {'曹操出行': '10'}, {'曹操出行': '9'}, {'有序出行': '12'}, {'有滴出行': '10'}, {'有滴出行': '16'}, {'沛途出行': '12'}, {'环旅出行': '12'}, {'环旅出行': '17'}, {'神州专车': '12'}, {'神州专车': '17'}, {'聚优出租': '12'}, {'腾飞出行': '11'}, {'腾飞出行': '16'}, {'腾飞新出租': '11'}, {'迪尔出行': '11'}, {'阳光出行': '10'}, {'阳光出行': '11'}, {'鞍马出行': '17'}, {'鞍马出行': '9'}, {'鞍马聚的新出租': '13'}, {'风韵出行': '11'}, {'风韵出行': '17'}, {'首汽约车': '10'}, {'首汽约车': '14'}]",[],[],1,1.0,1.0,1
用特惠快车或特价拼车去三义机场，费用不超过80元。,"[{'六座': '六座专车'}, {'快速': '出租车'}, {'快速': '曹操出行'}, {'快速': '滴滴优享'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}]",1,1.0,1.0,1
"# 用户历史会话：
1. 打个专车去拉萨布达拉宫广场，价格在150左右。
2. 打个专车去中山岐江公园，用高德，价格120左右。

# 用户需求：
不限价格

# 用户可以选择的车型组合为：
[{""优享型"": ""东潮出行""}, {""优享型"": ""及时用车""}, {""优享型"": ""添猫出行""}, {""优享型"": ""火箭出行""}, {""优享型"": ""神州专车""}, {""优享型"": ""腾飞出行""}, {""优享型"": ""阳光出行""}, {""优享型"": ""风韵出行""}, {""六座商务"": ""宽敞空间 商务体验""}, {""出租车"": ""车多应答快""}, {""品质专车"": ""静音不打扰 整洁无异味""}, {""快速出发"": ""无""}, {""惠享专车"": ""曹操出行""}, {""拼车"": ""出租车拼车""}, {""拼车"": ""特惠快车""}, {""推荐"": ""推荐专车""}, {""推荐"": ""特惠快车""}, {""极速拼车"": ""18-18""}, {""特价出发"": ""惊喜特价""}, {""特快车"": ""超值体验 更快上车""}, {""特惠快车"": ""19-21""}, {""经济"": ""首汽约车""}, {""经济型"": ""365约车""}, {""经济型"": ""900出行""}, {""经济型"": ""AA出行""}, {""经济型"": ""中军出行""}, {""经济型"": ""北京新出租""}, {""经济型"": ""及时用车""}, {""经济型"": ""国泰出租""}, {""经济型"": ""如祺出行""}, {""经济型"": ""斑马快跑""}, {""经济型"": ""旅程出租""}, {""经济型"": ""星徽出行""}, {""经济型"": ""深圳出租""}, {""经济型"": ""神州专车""}, {""经济型"": ""聚的新出租""}, {""经济型"": ""阳光出行""}, {""经济型"": ""飞嘀打车""}, {""豪华型"": ""undefined""}, {""豪华型"": ""车型高端 服务专业""}, {""轻享专车"": ""静音不打扰 整洁无异味""}]",[],"[{'优享型': '神州专车'}, {'品质专车': '静音不打扰 整洁无异味'}, {'惠享专车': '曹操出行'}, {'推荐': '推荐专车'}, {'经济型': '神州专车'}, {'轻享专车': '静音不打扰 整洁无异味'}]","[{'优享型': '神州专车'}, {'品质专车': '静音不打扰 整洁无异味'}, {'惠享专车': '曹操出行'}, {'推荐': '推荐专车'}, {'经济型': '神州专车'}, {'轻享专车': '静音不打扰 整洁无异味'}]",1,1.0,1.0,1
用特价拼车、特惠快车、叮叮出行、神州专车、曹操出行、T3出行、鞍马聚的去深圳北站，优先选择速度最快的。,"[{'优享型': '东潮出行'}, {'优享型': '享道出行'}, {'优享型': '全民GO'}, {'优享型': '斑马快跑'}, {'优享型': '旗妙出行'}, {'优享型': '星徽出行'}, {'优享型': '火箭出行'}, {'优享型': '腾飞出行'}, {'优享型': '阳光出行'}, {'六座商务': 'undefined'}, {'出租车': 'undefined'}, {'品质专车': 'undefined'}, {'极速拼车': '18-18'}, {'特快车': 'undefined'}, {'特惠快车': '21-23'}, {'经济型': '365约车'}, {'经济型': 'AA出行'}, {'经济型': 'T3出行'}, {'经济型': '东潮出行'}, {'经济型': '中交出行'}, {'经济型': '中军出行'}, {'经济型': '享道出行'}, {'经济型': '北京新出租'}, {'经济型': '北京的士'}, {'经济型': '及时用车'}, {'经济型': '如祺出行'}, {'经济型': '斑马快跑'}, {'经济型': '旗妙出行'}, {'经济型': '星徽出行'}, {'经济型': '有序出行'}, {'经济型': '聚的新出租'}, {'经济型': '腾飞出行'}, {'经济型': '飞嘀打车'}, {'豪华型': 'undefined'}, {'轻享专车': 'undefined'}]",[{'经济型': 'T3出行'}],[{'经济型': 'T3出行'}],1,1.0,1.0,1
