query,可选车型组合,模型输出车型组合,正确车型组合,prec,rec,f1,proper
"# 用户历史会话：
1. 有没有吃饭的地方
2. 预算18块钱从南京禄口机场滴滴打车到江宁区

# 用户需求：
12点从南京眼打车去奥体中心，13以内

# 用户可以选择的车型组合为：
[{""六座"": ""六座专车""}, {""城际"": ""城际拼车""}, {""城际"": ""顺风车""}, {""快速"": ""出租车""}, {""快速"": ""曹操出行""}, {""快速"": ""滴滴快车""}, {""快速"": ""滴滴特快""}, {""快速"": ""特快出租车""}, {""快速"": ""花小猪正价版""}, {""拼车"": ""极速拼车""}, {""拼车"": ""特价拼车""}, {""推荐"": ""惊喜特价""}, {""推荐"": ""极速拼车""}, {""推荐"": ""滴滴专车""}, {""推荐"": ""滴滴快车""}, {""推荐"": ""特惠快车""}, {""推荐"": ""花小猪外接版""}, {""推荐"": ""花小猪正价版""}, {""推荐"": ""顺风车""}, {""更多"": ""宠物出行""}, {""更多"": ""滴滴代驾""}, {""更多"": ""滴滴包车""}, {""特价"": ""惊喜特价""}, {""特价"": ""特惠快车""}, {""特价"": ""花小猪外接版""}, {""舒适"": ""滴滴专车""}, {""舒适"": ""滴滴豪华车""}, {""送货"": ""汽车快送""}, {""送货"": ""跑腿""}]",[],[],"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '出租车'}, {'快速': '曹操出行'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '特快出租车'}, {'快速': '花小猪正价版'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '惊喜特价'}, {'推荐': '极速拼车'}, {'推荐': '滴滴专车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '顺风车'}, {'更多': '宠物出行'}, {'更多': '滴滴代驾'}, {'更多': '滴滴包车'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",0,0.0,0.0,0
"# 用户历史会话：
1. 预算16块钱从南京禄口机场打车到市区
2. 我要从河西金鹰滴滴打车到南京眼，不超过10块的

# 用户需求：
那边堵不堵车

# 用户可以选择的车型组合为：
[{""六座"": ""六座专车""}, {""城际"": ""城际拼车""}, {""城际"": ""顺风车""}, {""快速"": ""出租车""}, {""快速"": ""曹操出行""}, {""快速"": ""滴滴快车""}, {""快速"": ""滴滴特快""}, {""快速"": ""特快出租车""}, {""快速"": ""花小猪正价版""}, {""拼车"": ""极速拼车""}, {""拼车"": ""特价拼车""}, {""推荐"": ""惊喜特价""}, {""推荐"": ""极速拼车""}, {""推荐"": ""滴滴专车""}, {""推荐"": ""滴滴快车""}, {""推荐"": ""特惠快车""}, {""推荐"": ""花小猪外接版""}, {""推荐"": ""花小猪正价版""}, {""推荐"": ""顺风车""}, {""更多"": ""宠物出行""}, {""更多"": ""滴滴代驾""}, {""更多"": ""滴滴包车""}, {""特价"": ""惊喜特价""}, {""特价"": ""特惠快车""}, {""特价"": ""花小猪外接版""}, {""舒适"": ""滴滴专车""}, {""舒适"": ""滴滴豪华车""}, {""送货"": ""汽车快送""}, {""送货"": ""跑腿""}]",[],[],"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '出租车'}, {'快速': '曹操出行'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '特快出租车'}, {'快速': '花小猪正价版'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '惊喜特价'}, {'推荐': '极速拼车'}, {'推荐': '滴滴专车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '顺风车'}, {'更多': '宠物出行'}, {'更多': '滴滴代驾'}, {'更多': '滴滴包车'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",0,0.0,0.0,0
"# 用户历史会话：
1. 我要从新街口德基广场打车到南京博物院，不超过9块的
2. 从玄武湖公园滴滴打车去鸡鸣寺，13 - 16元。

# 用户需求：
鸡鸣寺人多不多啊

# 用户可以选择的车型组合为：
[{""六座"": ""六座专车""}, {""城际"": ""城际拼车""}, {""城际"": ""顺风车""}, {""快速"": ""出租车""}, {""快速"": ""曹操出行""}, {""快速"": ""滴滴快车""}, {""快速"": ""滴滴特快""}, {""快速"": ""特快出租车""}, {""快速"": ""花小猪正价版""}, {""拼车"": ""极速拼车""}, {""拼车"": ""特价拼车""}, {""推荐"": ""惊喜特价""}, {""推荐"": ""极速拼车""}, {""推荐"": ""滴滴专车""}, {""推荐"": ""滴滴快车""}, {""推荐"": ""特惠快车""}, {""推荐"": ""花小猪外接版""}, {""推荐"": ""花小猪正价版""}, {""推荐"": ""顺风车""}, {""更多"": ""宠物出行""}, {""更多"": ""滴滴代驾""}, {""更多"": ""滴滴包车""}, {""特价"": ""惊喜特价""}, {""特价"": ""特惠快车""}, {""特价"": ""花小猪外接版""}, {""舒适"": ""滴滴专车""}, {""舒适"": ""滴滴豪华车""}, {""送货"": ""汽车快送""}, {""送货"": ""跑腿""}]",[],[],"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '出租车'}, {'快速': '曹操出行'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '特快出租车'}, {'快速': '花小猪正价版'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '惊喜特价'}, {'推荐': '极速拼车'}, {'推荐': '滴滴专车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '顺风车'}, {'更多': '宠物出行'}, {'更多': '滴滴代驾'}, {'更多': '滴滴包车'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",0,0.0,0.0,0
"# 用户历史会话：
1. 17块以内能从南京林业大学打车去南京邮电大学吗？
2. 从鸡鸣寺滴滴打车去玄武湖公园，12 - 15元。

# 用户需求：
滴滴多长时间能到那边

# 用户可以选择的车型组合为：
[{""六座"": ""六座专车""}, {""城际"": ""城际拼车""}, {""城际"": ""顺风车""}, {""快速"": ""出租车""}, {""快速"": ""曹操出行""}, {""快速"": ""滴滴快车""}, {""快速"": ""滴滴特快""}, {""快速"": ""特快出租车""}, {""快速"": ""花小猪正价版""}, {""拼车"": ""极速拼车""}, {""拼车"": ""特价拼车""}, {""推荐"": ""惊喜特价""}, {""推荐"": ""极速拼车""}, {""推荐"": ""滴滴专车""}, {""推荐"": ""滴滴快车""}, {""推荐"": ""特惠快车""}, {""推荐"": ""花小猪外接版""}, {""推荐"": ""花小猪正价版""}, {""推荐"": ""顺风车""}, {""更多"": ""宠物出行""}, {""更多"": ""滴滴代驾""}, {""更多"": ""滴滴包车""}, {""特价"": ""惊喜特价""}, {""特价"": ""特惠快车""}, {""特价"": ""花小猪外接版""}, {""舒适"": ""滴滴专车""}, {""舒适"": ""滴滴豪华车""}, {""送货"": ""汽车快送""}, {""送货"": ""跑腿""}]",[],[],"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '出租车'}, {'快速': '曹操出行'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '特快出租车'}, {'快速': '花小猪正价版'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '惊喜特价'}, {'推荐': '极速拼车'}, {'推荐': '滴滴专车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '顺风车'}, {'更多': '宠物出行'}, {'更多': '滴滴代驾'}, {'更多': '滴滴包车'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",0,0.0,0.0,0
"# 用户历史会话：
1. 这个时间段会不会堵车
2. 15块以内能从南京邮电大学打车去南京财经大学吗？

# 用户需求：
14左右预约下午3点从南京南站到南京站的滴滴打车。

# 用户可以选择的车型组合为：
[{""六座"": ""六座专车""}, {""城际"": ""城际拼车""}, {""城际"": ""顺风车""}, {""快速"": ""出租车""}, {""快速"": ""曹操出行""}, {""快速"": ""滴滴快车""}, {""快速"": ""滴滴特快""}, {""快速"": ""特快出租车""}, {""快速"": ""花小猪正价版""}, {""拼车"": ""极速拼车""}, {""拼车"": ""特价拼车""}, {""推荐"": ""惊喜特价""}, {""推荐"": ""极速拼车""}, {""推荐"": ""滴滴专车""}, {""推荐"": ""滴滴快车""}, {""推荐"": ""特惠快车""}, {""推荐"": ""花小猪外接版""}, {""推荐"": ""花小猪正价版""}, {""推荐"": ""顺风车""}, {""更多"": ""宠物出行""}, {""更多"": ""滴滴代驾""}, {""更多"": ""滴滴包车""}, {""特价"": ""惊喜特价""}, {""特价"": ""特惠快车""}, {""特价"": ""花小猪外接版""}, {""舒适"": ""滴滴专车""}, {""舒适"": ""滴滴豪华车""}, {""送货"": ""汽车快送""}, {""送货"": ""跑腿""}]",[],[],"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '出租车'}, {'快速': '曹操出行'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '特快出租车'}, {'快速': '花小猪正价版'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '惊喜特价'}, {'推荐': '极速拼车'}, {'推荐': '滴滴专车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '顺风车'}, {'更多': '宠物出行'}, {'更多': '滴滴代驾'}, {'更多': '滴滴包车'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",0,0.0,0.0,0
"# 用户历史会话：
1. 13左右预约晚上8点从南京站到夫子庙的车。
2. 麦当劳今天有没有活动

# 用户需求：
滴滴打车去离我最近的麦当劳，最便宜多少？

# 用户可以选择的车型组合为：
[{""六座"": ""六座专车""}, {""城际"": ""城际拼车""}, {""城际"": ""顺风车""}, {""快速"": ""出租车""}, {""快速"": ""曹操出行""}, {""快速"": ""滴滴快车""}, {""快速"": ""滴滴特快""}, {""快速"": ""特快出租车""}, {""快速"": ""花小猪正价版""}, {""拼车"": ""极速拼车""}, {""拼车"": ""特价拼车""}, {""推荐"": ""惊喜特价""}, {""推荐"": ""极速拼车""}, {""推荐"": ""滴滴专车""}, {""推荐"": ""滴滴快车""}, {""推荐"": ""特惠快车""}, {""推荐"": ""花小猪外接版""}, {""推荐"": ""花小猪正价版""}, {""推荐"": ""顺风车""}, {""更多"": ""宠物出行""}, {""更多"": ""滴滴代驾""}, {""更多"": ""滴滴包车""}, {""特价"": ""惊喜特价""}, {""特价"": ""特惠快车""}, {""特价"": ""花小猪外接版""}, {""舒适"": ""滴滴专车""}, {""舒适"": ""滴滴豪华车""}, {""送货"": ""汽车快送""}, {""送货"": ""跑腿""}]",[],[],"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '出租车'}, {'快速': '曹操出行'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '特快出租车'}, {'快速': '花小猪正价版'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '惊喜特价'}, {'推荐': '极速拼车'}, {'推荐': '滴滴专车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '顺风车'}, {'更多': '宠物出行'}, {'更多': '滴滴代驾'}, {'更多': '滴滴包车'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",0,0.0,0.0,0
"# 用户历史会话：
1. 从南京工业大学打车去南京审计大学，要18元以内的。
2. 滴滴打车去离我最近的星巴克，最便宜多少？

# 用户需求：
校门口能停车吗，我想买杯咖啡

# 用户可以选择的车型组合为：
[{""六座"": ""六座专车""}, {""城际"": ""城际拼车""}, {""城际"": ""顺风车""}, {""快速"": ""出租车""}, {""快速"": ""曹操出行""}, {""快速"": ""滴滴快车""}, {""快速"": ""滴滴特快""}, {""快速"": ""特快出租车""}, {""快速"": ""花小猪正价版""}, {""拼车"": ""极速拼车""}, {""拼车"": ""特价拼车""}, {""推荐"": ""惊喜特价""}, {""推荐"": ""极速拼车""}, {""推荐"": ""滴滴专车""}, {""推荐"": ""滴滴快车""}, {""推荐"": ""特惠快车""}, {""推荐"": ""花小猪外接版""}, {""推荐"": ""花小猪正价版""}, {""推荐"": ""顺风车""}, {""更多"": ""宠物出行""}, {""更多"": ""滴滴代驾""}, {""更多"": ""滴滴包车""}, {""特价"": ""惊喜特价""}, {""特价"": ""特惠快车""}, {""特价"": ""花小猪外接版""}, {""舒适"": ""滴滴专车""}, {""舒适"": ""滴滴豪华车""}, {""送货"": ""汽车快送""}, {""送货"": ""跑腿""}]",[],[],"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '出租车'}, {'快速': '曹操出行'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '特快出租车'}, {'快速': '花小猪正价版'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '惊喜特价'}, {'推荐': '极速拼车'}, {'推荐': '滴滴专车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '顺风车'}, {'更多': '宠物出行'}, {'更多': '滴滴代驾'}, {'更多': '滴滴包车'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",0,0.0,0.0,0
"# 用户历史会话：
1. 从南京审计大学打车去南京工业大学，要16元以内的。
2. 南京海底世界票价多少钱

# 用户需求：
滴滴打车去南京海底世界，打车费用大约在25 - 35元。

# 用户可以选择的车型组合为：
[{""六座"": ""六座专车""}, {""城际"": ""城际拼车""}, {""城际"": ""顺风车""}, {""快速"": ""出租车""}, {""快速"": ""曹操出行""}, {""快速"": ""滴滴快车""}, {""快速"": ""滴滴特快""}, {""快速"": ""特快出租车""}, {""快速"": ""花小猪正价版""}, {""拼车"": ""极速拼车""}, {""拼车"": ""特价拼车""}, {""推荐"": ""惊喜特价""}, {""推荐"": ""极速拼车""}, {""推荐"": ""滴滴专车""}, {""推荐"": ""滴滴快车""}, {""推荐"": ""特惠快车""}, {""推荐"": ""花小猪外接版""}, {""推荐"": ""花小猪正价版""}, {""推荐"": ""顺风车""}, {""更多"": ""宠物出行""}, {""更多"": ""滴滴代驾""}, {""更多"": ""滴滴包车""}, {""特价"": ""惊喜特价""}, {""特价"": ""特惠快车""}, {""特价"": ""花小猪外接版""}, {""舒适"": ""滴滴专车""}, {""舒适"": ""滴滴豪华车""}, {""送货"": ""汽车快送""}, {""送货"": ""跑腿""}]",[],[],"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '出租车'}, {'快速': '曹操出行'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '特快出租车'}, {'快速': '花小猪正价版'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '惊喜特价'}, {'推荐': '极速拼车'}, {'推荐': '滴滴专车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '顺风车'}, {'更多': '宠物出行'}, {'更多': '滴滴代驾'}, {'更多': '滴滴包车'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",0,0.0,0.0,0
"# 用户历史会话：
1. 故宫需不需要预约
2. 打车去北京故宫，预计花费在120 - 180元的。

# 用户需求：
滴滴打车去南京绿博园，打车费用大约在20 - 30元。

# 用户可以选择的车型组合为：
[{""六座"": ""六座专车""}, {""城际"": ""城际拼车""}, {""城际"": ""顺风车""}, {""快速"": ""出租车""}, {""快速"": ""曹操出行""}, {""快速"": ""滴滴快车""}, {""快速"": ""滴滴特快""}, {""快速"": ""特快出租车""}, {""快速"": ""花小猪正价版""}, {""拼车"": ""极速拼车""}, {""拼车"": ""特价拼车""}, {""推荐"": ""惊喜特价""}, {""推荐"": ""极速拼车""}, {""推荐"": ""滴滴专车""}, {""推荐"": ""滴滴快车""}, {""推荐"": ""特惠快车""}, {""推荐"": ""花小猪外接版""}, {""推荐"": ""花小猪正价版""}, {""推荐"": ""顺风车""}, {""更多"": ""宠物出行""}, {""更多"": ""滴滴代驾""}, {""更多"": ""滴滴包车""}, {""特价"": ""惊喜特价""}, {""特价"": ""特惠快车""}, {""特价"": ""花小猪外接版""}, {""舒适"": ""滴滴专车""}, {""舒适"": ""滴滴豪华车""}, {""送货"": ""汽车快送""}, {""送货"": ""跑腿""}]",[],[],"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '出租车'}, {'快速': '曹操出行'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '特快出租车'}, {'快速': '花小猪正价版'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '惊喜特价'}, {'推荐': '极速拼车'}, {'推荐': '滴滴专车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '顺风车'}, {'更多': '宠物出行'}, {'更多': '滴滴代驾'}, {'更多': '滴滴包车'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",0,0.0,0.0,0
"# 用户历史会话：
1. 打车去上海外滩，预计花费在80 - 120元的。
2. 滴滴打车到南京博物院，选最便宜的。

# 用户需求：
南京博物院需不需要预约

# 用户可以选择的车型组合为：
[{""六座"": ""六座专车""}, {""城际"": ""城际拼车""}, {""城际"": ""顺风车""}, {""快速"": ""出租车""}, {""快速"": ""曹操出行""}, {""快速"": ""滴滴快车""}, {""快速"": ""滴滴特快""}, {""快速"": ""特快出租车""}, {""快速"": ""花小猪正价版""}, {""拼车"": ""极速拼车""}, {""拼车"": ""特价拼车""}, {""推荐"": ""惊喜特价""}, {""推荐"": ""极速拼车""}, {""推荐"": ""滴滴专车""}, {""推荐"": ""滴滴快车""}, {""推荐"": ""特惠快车""}, {""推荐"": ""花小猪外接版""}, {""推荐"": ""花小猪正价版""}, {""推荐"": ""顺风车""}, {""更多"": ""宠物出行""}, {""更多"": ""滴滴代驾""}, {""更多"": ""滴滴包车""}, {""特价"": ""惊喜特价""}, {""特价"": ""特惠快车""}, {""特价"": ""花小猪外接版""}, {""舒适"": ""滴滴专车""}, {""舒适"": ""滴滴豪华车""}, {""送货"": ""汽车快送""}, {""送货"": ""跑腿""}]",[],[],"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '出租车'}, {'快速': '曹操出行'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '特快出租车'}, {'快速': '花小猪正价版'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '惊喜特价'}, {'推荐': '极速拼车'}, {'推荐': '滴滴专车'}, {'推荐': '滴滴快车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '顺风车'}, {'更多': '宠物出行'}, {'更多': '滴滴代驾'}, {'更多': '滴滴包车'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",0,0.0,0.0,0
