query,可选车型组合,模型输出车型组合,正确车型组合,模型输出_indexed,正确答案_indexed
从北京西站打车去朝阳大悦城开会，记得要推荐类车型,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}]","[{'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '滴滴快车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'23': {'推荐': '顺风车'}}, {'26': {'推荐': '花小猪外接版'}}, {'27': {'推荐': '花小猪正价版'}}, {'28': {'推荐': '滴滴专车'}}, {'29': {'推荐': '惊喜特价'}}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'5': {'拼车': '极速拼车'}}, {'6': {'特价': '花小猪外接版'}}, {'7': {'特价': '特惠快车'}}, {'8': {'快速': '花小猪正价版'}}, {'13': {'快速': '滴滴快车'}}, {'14': {'舒适': '滴滴专车'}}, {'22': {'特价': '惊喜特价'}}, {'23': {'推荐': '顺风车'}}, {'25': {'城际': '顺风车'}}, {'26': {'推荐': '花小猪外接版'}}, {'27': {'推荐': '花小猪正价版'}}, {'28': {'推荐': '滴滴专车'}}, {'29': {'推荐': '惊喜特价'}}]"
听说外滩夜景不错，给我打辆拼车服务从上海虹桥机场出发,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'城际': '城际拼车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}]","[{'城际': '城际拼车'}, {'城际': '顺风车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}]","[{'1': {'推荐': '极速拼车'}}, {'4': {'拼车': '特价拼车'}}, {'5': {'拼车': '极速拼车'}}, {'24': {'城际': '城际拼车'}}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'4': {'拼车': '特价拼车'}}, {'5': {'拼车': '极速拼车'}}, {'23': {'推荐': '顺风车'}}, {'24': {'城际': '城际拼车'}}, {'25': {'城际': '顺风车'}}, {'26': {'推荐': '花小猪外接版'}}, {'27': {'推荐': '花小猪正价版'}}, {'28': {'推荐': '滴滴专车'}}, {'29': {'推荐': '惊喜特价'}}]"
优先选特价分类坐车去白云机场，从天河城出发赶时间呢,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'拼车': '特价拼车'}, {'推荐': '特惠快车'}, {'推荐': '惊喜特价'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}]","[{'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}]","[{'2': {'推荐': '特惠快车'}}, {'4': {'拼车': '特价拼车'}}, {'6': {'特价': '花小猪外接版'}}, {'7': {'特价': '特惠快车'}}, {'22': {'特价': '惊喜特价'}}, {'29': {'推荐': '惊喜特价'}}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'4': {'拼车': '特价拼车'}}, {'5': {'拼车': '极速拼车'}}, {'6': {'特价': '花小猪外接版'}}, {'7': {'特价': '特惠快车'}}, {'22': {'特价': '惊喜特价'}}, {'23': {'推荐': '顺风车'}}, {'26': {'推荐': '花小猪外接版'}}, {'27': {'推荐': '花小猪正价版'}}, {'28': {'推荐': '滴滴专车'}}, {'29': {'推荐': '惊喜特价'}}]"
福田站到世界之窗需要预约，给我叫辆快速类车辆吧,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'特价': '特惠快车'}]","[{'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'5': {'拼车': '极速拼车'}}, {'7': {'特价': '特惠快车'}}, {'8': {'快速': '花小猪正价版'}}, {'9': {'快速': '曹操出行'}}, {'10': {'快速': '特快出租车'}}, {'11': {'快速': '滴滴特快'}}, {'12': {'快速': '出租车'}}, {'13': {'快速': '滴滴快车'}}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'6': {'特价': '花小猪外接版'}}, {'7': {'特价': '特惠快车'}}, {'8': {'快速': '花小猪正价版'}}, {'9': {'快速': '曹操出行'}}, {'10': {'快速': '特快出租车'}}, {'11': {'快速': '滴滴特快'}}, {'12': {'快速': '出租车'}}, {'13': {'快速': '滴滴快车'}}, {'22': {'特价': '惊喜特价'}}, {'23': {'推荐': '顺风车'}}, {'26': {'推荐': '花小猪外接版'}}, {'27': {'推荐': '花小猪正价版'}}, {'28': {'推荐': '滴滴专车'}}, {'29': {'推荐': '惊喜特价'}}]"
下午要赶飞机，从春熙路打的到双流机场的舒适型车有吗,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]","[{'推荐': '滴滴专车'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]","[{'14': {'舒适': '滴滴专车'}}, {'15': {'舒适': '滴滴豪华车'}}]","[{'14': {'舒适': '滴滴专车'}}, {'15': {'舒适': '滴滴豪华车'}}, {'28': {'推荐': '滴滴专车'}}]"
六座车型分类适合团队出行，杭州西湖到萧山机场的订单,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]",[{'六座': '六座专车'}],[{'六座': '六座专车'}],[{'16': {'六座': '六座专车'}}],[{'16': {'六座': '六座专车'}}]
夫子庙那边有批货要送，南京南站出发需要快车类型,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'特价': '特惠快车'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}]","[{'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'5': {'拼车': '极速拼车'}}, {'7': {'特价': '特惠快车'}}, {'8': {'快速': '花小猪正价版'}}, {'9': {'快速': '曹操出行'}}, {'10': {'快速': '特快出租车'}}, {'11': {'快速': '滴滴特快'}}, {'12': {'快速': '出租车'}}, {'13': {'快速': '滴滴快车'}}, {'14': {'舒适': '滴滴专车'}}, {'15': {'舒适': '滴滴豪华车'}}, {'20': {'送货': '汽车快送'}}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'6': {'特价': '花小猪外接版'}}, {'7': {'特价': '特惠快车'}}, {'8': {'快速': '花小猪正价版'}}, {'9': {'快速': '曹操出行'}}, {'10': {'快速': '特快出租车'}}, {'11': {'快速': '滴滴特快'}}, {'12': {'快速': '出租车'}}, {'13': {'快速': '滴滴快车'}}, {'22': {'特价': '惊喜特价'}}, {'23': {'推荐': '顺风车'}}, {'26': {'推荐': '花小猪外接版'}}, {'27': {'推荐': '花小猪正价版'}}, {'28': {'推荐': '滴滴专车'}}, {'29': {'推荐': '惊喜特价'}}]"
城际类目车辆挺方便，重庆解放碑到江北机场给我安排下,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'城际': '城际拼车'}, {'城际': '顺风车'}]","[{'城际': '城际拼车'}, {'城际': '顺风车'}, {'推荐': '顺风车'}]","[{'24': {'城际': '城际拼车'}}, {'25': {'城际': '顺风车'}}]","[{'23': {'推荐': '顺风车'}}, {'24': {'城际': '城际拼车'}}, {'25': {'城际': '顺风车'}}]"
筛选推荐类的车型，从西安钟楼坐车去咸阳机场开会,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}]","[{'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '滴滴快车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'23': {'推荐': '顺风车'}}, {'26': {'推荐': '花小猪外接版'}}, {'27': {'推荐': '花小猪正价版'}}, {'28': {'推荐': '滴滴专车'}}, {'29': {'推荐': '惊喜特价'}}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'5': {'拼车': '极速拼车'}}, {'6': {'特价': '花小猪外接版'}}, {'7': {'特价': '特惠快车'}}, {'8': {'快速': '花小猪正价版'}}, {'13': {'快速': '滴滴快车'}}, {'14': {'舒适': '滴滴专车'}}, {'22': {'特价': '惊喜特价'}}, {'23': {'推荐': '顺风车'}}, {'25': {'城际': '顺风车'}}, {'26': {'推荐': '花小猪外接版'}}, {'27': {'推荐': '花小猪正价版'}}, {'28': {'推荐': '滴滴专车'}}, {'29': {'推荐': '惊喜特价'}}]"
指定用快速大类，武汉光谷到天河机场的行程比较紧急,"[{'六座': '六座专车'}, {'城际': '城际拼车'}, {'城际': '顺风车'}, {'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'拼车': '特价拼车'}, {'拼车': '极速拼车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'更多': '滴滴代驾'}, {'更多': '宠物出行'}, {'更多': '滴滴包车'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}, {'送货': '汽车快送'}, {'送货': '跑腿'}]","[{'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'特价': '特惠快车'}]","[{'快速': '花小猪正价版'}, {'快速': '曹操出行'}, {'快速': '特快出租车'}, {'快速': '滴滴特快'}, {'快速': '出租车'}, {'快速': '滴滴快车'}, {'推荐': '极速拼车'}, {'推荐': '特惠快车'}, {'推荐': '滴滴快车'}, {'推荐': '顺风车'}, {'推荐': '花小猪外接版'}, {'推荐': '花小猪正价版'}, {'推荐': '滴滴专车'}, {'推荐': '惊喜特价'}, {'特价': '花小猪外接版'}, {'特价': '特惠快车'}, {'特价': '惊喜特价'}]","[{'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'7': {'特价': '特惠快车'}}, {'8': {'快速': '花小猪正价版'}}, {'9': {'快速': '曹操出行'}}, {'10': {'快速': '特快出租车'}}, {'11': {'快速': '滴滴特快'}}, {'12': {'快速': '出租车'}}, {'13': {'快速': '滴滴快车'}}]","[{'1': {'推荐': '极速拼车'}}, {'2': {'推荐': '特惠快车'}}, {'3': {'推荐': '滴滴快车'}}, {'6': {'特价': '花小猪外接版'}}, {'7': {'特价': '特惠快车'}}, {'8': {'快速': '花小猪正价版'}}, {'9': {'快速': '曹操出行'}}, {'10': {'快速': '特快出租车'}}, {'11': {'快速': '滴滴特快'}}, {'12': {'快速': '出租车'}}, {'13': {'快速': '滴滴快车'}}, {'22': {'特价': '惊喜特价'}}, {'23': {'推荐': '顺风车'}}, {'26': {'推荐': '花小猪外接版'}}, {'27': {'推荐': '花小猪正价版'}}, {'28': {'推荐': '滴滴专车'}}, {'29': {'推荐': '惊喜特价'}}]"
