query,车型大类列表,车辆类型列表,车型大类,车辆类型,大类正确答案,小类正确答案
打车去大梅沙滨海公园,"['特快车', '六座商务', '豪华型', '优享型', '轻享专车', '经济型', '出租车']","['妥妥E行', '中军出行', '特惠快车', '斑马快跑', '5U出行', '享道出行', '如祺出行', 'T3出行', '曹操出行', '深圳出租', '聚的新出租', '飞嘀打车', '全民GO', '中交出行', '及时用车', '阳光出行', '东潮出行', '神州专车', '远途极速拼']",[],[],[],[]
打车去民乐,"['特快车', '六座商务', '惠享专车', '豪华型', '优享型', '轻享专车', '经济型', '出租车']","['首汽约车', '妥妥E行', '中军出行', '特惠快车', '斑马快跑', '5U出行', '享道出行', '如祺出行', 'T3出行', '曹操出行', '深圳出租', '聚的新出租', '飞嘀打车', '全民GO', '极速拼车', '中交出行', '及时用车', '阳光出行', '东潮出行', '神州专车']",[],[],[],[]
我要从家/公司去动物园,"['品质专车', '特快车', '六座商务', '优享型', '经济型', '出租车']","['首汽约车', '聚优出租', '叮叮出行', '特惠快车', '享道出行', '鞍马聚的新出租', 'T3出行', '曹操出行', '旅程约车', '极速拼车', '及时用车', '腾飞出行', '腾飞新出租', '365约车', '鞍马出行', '迪尔出行', '沛途出行', '阳光出行', '有滴出行', '风韵出行', '神州专车', '环旅出行']",['特快车'],['特惠快车'],['特快车'],['特惠快车']
麻烦帮我打专车到海底捞,"['品质专车', '特快车', '六座商务', '优享型', '经济型', '出租车']","['聚优出租', '首汽约车', '叮叮出行', '妥妥E行', '特惠快车', '享道出行', '鞍马聚的新出租', '有序出行', 'T3出行', '曹操出行', '旅程约车', '极速拼车', '及时用车', '腾飞出行', '腾飞新出租', '365约车', '鞍马出行', '迪尔出行', '阳光出行', '有滴出行', '南京出租', '风韵出行', '神州专车', '环旅出行']",['品质专车'],['神州专车'],['品质专车'],['神州专车']
给我打个六座车去朱三家龙虾吃饭,"['品质专车', '特快车', '六座商务', '优享型', '经济型', '出租车']","['首汽约车', '聚优出租', '叮叮出行', '妥妥E行', '特惠快车', '享道出行', '鞍马聚的新出租', '有序出行', 'T3出行', '曹操出行', '旅程约车', '极速拼车', '及时用车', '腾飞出行', '腾飞新出租', '365约车', '鞍马出行', '迪尔出行', '阳光出行', '有滴出行', '南京出租', '风韵出行', '神州专车', '环旅出行']",['六座商务'],[],['六座商务'],[]
能帮我打个拼车去景枫中心吗,"['品质专车', '特快车', '六座商务', '优享型', '经济型', '出租车']","['聚优出租', '首汽约车', '叮叮出行', '妥妥E行', '特惠快车', '享道出行', '鞍马聚的新出租', 'T3出行', '曹操出行', '旅程约车', '极速拼车', '及时用车', '腾飞出行', '腾飞新出租', '鞍马出行', '迪尔出行', '沛途出行', '阳光出行', '有滴出行', '南京出租', '风韵出行', '神州专车', '环旅出行']",[],['极速拼车'],[],['极速拼车']
请帮我叫个专车,"['品质专车', '特快车', '六座商务', '优享型', '经济型', '出租车']","['聚优出租', '首汽约车', '叮叮出行', '妥妥E行', '特惠快车', '享道出行', '鞍马聚的新出租', '有序出行', 'T3出行', '曹操出行', '旅程约车', '极速拼车', '及时用车', '腾飞出行', '365约车', '鞍马出行', '迪尔出行', '沛途出行', '阳光出行', '有滴出行', '南京出租', '风韵出行', '神州专车', '环旅出行']",['品质专车'],['神州专车'],['品质专车'],['神州专车']
帮我打出租车去机场费用要100以内,[],[],['出租车'],['聚优出租，聚的新出租'],['出租车'],['聚优出租，腾飞新出租，南京出租，鞍马聚的新出组']
请帮我打出租车去银杏湖乐园打车费要90左右,"['品质专车', '特快车', '六座商务', '优享型', '经济型', '出租车']","['首汽约车', '聚优出租', '叮叮出行', '妥妥E行', '特惠快车', '享道出行', '鞍马聚的新出租', 'T3出行', '曹操出行', '旅程约车', '极速拼车', '及时用车', '腾飞出行', '365约车', '鞍马出行', '迪尔出行', '沛途出行', '阳光出行', '有滴出行', '风韵出行', '神州专车', '环旅出行']",['出租车'],['聚优出租，鞍马聚的新出租'],['出租车'],['聚优出租，鞍马聚的新出租']
五个人准备去水游城,"['品质专车', '特快车', '六座商务', '优享型', '经济型', '出租车']","['首汽约车', '聚优出租', '叮叮出行', '妥妥E行', '特惠快车', '享道出行', 'T3出行', '曹操出行', '旅程约车', '极速拼车', '及时用车', '腾飞出行', '腾飞新出租', '365约车', '鞍马出行', '迪尔出行', '沛途出行', '阳光出行', '有滴出行', '南京出租', '风韵出行', '神州专车', '环旅出行']",[],[],[],[]
打个出租车去省医院,"['品质专车', '特快车', '六座商务', '优享型', '经济型', '出租车']","['首汽约车', '聚优出租', '叮叮出行', '特惠快车', '享道出行', '鞍马聚的新出租', 'T3出行', '曹操出行', '旅程约车', '极速拼车', '及时用车', '腾飞出行', '腾飞新出租', '365约车', '鞍马出行', '迪尔出行', '沛途出行', '阳光出行', '有滴出行', '南京出租', '风韵出行', '神州专车', '环旅出行']",['出租车'],['聚优出租，腾飞新出租，南京出租，鞍马聚的新出租'],['出租车'],['聚优出租，腾飞新出租，南京出租，鞍马聚的新出组']
