query,true_output_main,true_output_sub,model_output_main,model_output_sub
打车去大梅沙滨海公园,,,,
打车去民乐,,,,
我要从家/公司去动物园,特快车,特惠快车,特快车,特惠快车
麻烦帮我打专车到海底捞,品质专车,神州专车,品质专车,神州专车
给我打个六座车去朱三家龙虾吃饭,六座商务,,六座商务,
能帮我打个拼车去景枫中心吗,拼车,极速拼车,拼车,极速拼车
请帮我叫个专车,品质专车,神州专车,品质专车,神州专车
帮我打出租车去机场费用要100以内,出租车,聚优出租，腾飞新出租，南京出租，鞍马聚的新出组,出租车,聚的新出租，聚优出租
请帮我打出租车去银杏湖乐园打车费要90左右,出租车,聚优出租，鞍马聚的新出租,出租车,聚优出租，鞍马聚的新出租
五个人准备去水游城,,,,
打个出租车去省医院,出租车,聚优出租，腾飞新出租，南京出租，鞍马聚的新出组,出租车,聚优出租，南京出租，腾飞新出租，鞍马聚的新出租
帮我叫个不超过30的t3车到情侣园,,T3出行,,T3出行
帮我打个拼车回家,拼车,极速拼车,拼车,极速拼车
打个拼车去夫子庙/下关火车主题公园/阅江楼/牛首山,拼车,极速拼车,拼车,极速拼车
帮我打个车回家,,,,
给我打个200块钱以下的车去句容/翠林水城,,,,
我想打车去科技馆,,,,
给我打个出租车去南京站,出租车,聚优出租，腾飞新出租，南京出租，鞍马聚的新出组,出租车,聚优出租，腾飞新出租，南京出租，鞍马聚的新出租
打车去民乐,,,,
打车去大梅沙滨海公园,,,,
打车去观澜版画村,,,,
打车去福田站,,,,
打车去深圳大学,,,,
打车去梅村,,,,
打车去白石龙,,,,
打车去福田CBD,,,,
打车从动物园到国际会展中心,,,,
打车去龙岗大道,,,,
打车去阿里中心,,,,
打车去卓越后海,,,,
打车去留仙洞,,所有车型,,所有车型
打车去小梅沙,拼车,远途极速拼,拼车,远途极速拼
打车去龙华福茂新村4栋,特惠快车,特惠快车,特惠快车,特惠快车
打车去深圳北站,经济型,极速拼车，特惠快车,经济型,特价拼车，特惠快车
打车去梅林关,特快车,特惠快车,特快车,特惠快车
打车去世界之窗,优享型,,优享型,
车去莲花公园,六座商务,,六座商务,
打车去梅村,"出租车, 优享型",聚的新出组，深圳出租,"出租车, 优享型","聚的新出租, 深圳出租"
打车去洪浪北站,六座商务,极速拼车,六座商务,极速拼车
打车去先科花园,"特快车, 经济型",特惠快车，极速拼车,"特快车, 经济型","特惠快车, 极速拼车"
打车去莲花山公园,"轻享专车, 豪华型",神州专车,"轻享专车, 豪华型",神州专车
打车去深圳东站,极速拼车,极速拼车,极速拼车,极速拼车
打车去莲花山公园,,曹操出行,,曹操出行
打车去大梅沙,,斑马快跑,,斑马快跑
打车去小梅沙,特惠快车,特惠快车,特快车,特惠快车
打车去深圳会展中心,,飞嘀打车,,飞嘀打车
打车去玉龙新村,,神州专车,,神州专车
打车去白石龙地铁站,,阳光出行,,阳光出行
打车去民治地铁站,,妥妥E行,,妥妥E行
打车去红山地铁站,,5U出行,,5U出行
打车去天文台,,全民GO,,全民GO
打车去维也纳酒店,,享道出行,,享道出行
打车去元芬地铁站,,首汽约车,,首汽约车
打车去红山地铁站,,聚的新出租,,聚的新出租
打车去陶吓新村,,深圳出租,出租车,深圳出租
打车去龙胜村,,阳光出行,,阳光出行
打车去创业花园,,中交出行,,中交出行
打车去到梅村,,所有车型,,所有车型
打车去深圳北站,,所有车型,,所有车型
打车去天文台,,所有车型,,所有车型
打车去民治地铁,,所有车型,,所有车型
打车去五和地铁站,,所有车型,,所有车型
打车去欢乐海岸,豪华型,及时用车,豪华型,及时用车
打车去深圳北站,,阳光出行,,阳光出行
打车去深圳会展中心,,曹操出行,,曹操出行
打车去民乐地铁站,,斑马快跑,,斑马快跑
打极速拼车和六座豪华车去深业上城,"极速拼车, 六座豪华车",极速拼车,"极速拼车,六座豪华车",极速拼车
打车去宝安机场,"极速拼车, 特惠快车, 六座专车",特惠快车,极速拼车，特惠快车，六座专车,特惠快车，远途极速拼
打车去深圳东站,六座商务,神州专车,六座商务,神州专车
打车去民治地铁口,惠享专车，轻享专车,神州专车,惠享专车，轻享专车,神州专车
打车去大梅沙滨海公园,,,,
打车去福田CBD,,,,
打车从动物园到国际会展中心,,,,
打车去卓越后海,,,,
打车去小梅沙,特价,特惠快车,特价,特惠快车
打车去深圳北站,快速,滴滴快车，特惠快车，滴滴特快,快速,特惠快车，滴滴快车，滴滴特快
打车去大梅沙滨海公园,,,,
打车去民乐,,,,
我要从家/公司去动物园,特快车,特惠快车,特快车,特惠快车
麻烦帮我打专车到海底捞,品质专车,神州专车,品质专车,神州专车
给我打个六座车去朱三家龙虾吃饭,六座车,,六座,
能帮我打个拼车去景枫中心吗,拼车,极速拼车,拼车,极速拼车
请帮我叫个专车,品质专车,神州专车,品质专车,神州专车
帮我打出租车去机场费用要100以内,出租车,"聚优出租,南京出租,腾飞新出租,鞍马聚的新出租",出租车,聚优出租，南京出租，腾飞新出租，鞍马聚的新出租
请帮我打出租车去银杏湖乐园打车费要90左右,出租车,"聚优出租,南京出租,鞍马聚的新出租",出租车,聚优出租，南京出租，鞍马聚的新出租
五个人准备去水游城,,,,
打个出租车去省医院,出租车,"聚优出租,南京出租,腾飞新出租,鞍马聚的新出租",出租车,聚优出租，腾飞新出租，南京出租，鞍马聚的新出租
帮我叫个不超过30的t3车到情侣园,,T3出行,,T3出行
帮我打个拼车回家,拼车,,拼车,远途极速拼
打个拼车去夫子庙/下关火车主题公园/阅江楼/牛首山,拼车,极速拼车,拼车,极速拼车
帮我打个车回家,,,,
给我打个200块钱以下的车去句容/翠林水城,,,,
我想打车去科技馆,,,,
给我打个出租车去南京站,出租车,,出租车,
打车去民乐,,,,
打车去大梅沙滨海公园,,,,
打车去观澜版画村,,,,
打车去福田站,,,,
打车去深圳大学,,,,
打车去梅村,,,,
打车去白石龙,,,,
打车去新莲大厦,,,,
打车去福田CBD,,,,
打车从动物园到国际会展中心,,,,
打车去龙岗大道,,,,
打车去阿里中心,,,,
打车去卓越后海,,,,
打车去留仙洞,,所有车型,,所有车型
打车去小梅沙,拼车,远途极速拼,拼车,远途极速拼
打车去龙华福茂新村4栋,特惠快车,特惠快车,特惠快车,特惠快车
打车去深圳北站,经济型,特惠快车，极速拼车,经济型,特价拼车，特惠快车
打车去梅林关,特快车,特惠快车,特快车,特惠快车
打车去世界之窗,优享型,,优享型,
打车去五和地铁口,豪华车,,豪华车,
车去莲花公园,六座商务,,六座商务,
打车去梅村,"出租车,优享型","聚的新出租,深圳出租","出租车, 优享型",聚的新出租，深圳出租
打车去洪浪北站,六座商务,极速拼车,六座商务,极速拼车
打车去先科花园,"特快车, 经济型",特惠快车，极速拼车,"特快车, 经济型","特惠快车, 极速拼车"
打车去莲花山公园,"轻享专车,豪华型",神州专车,轻享专车，豪华型,神州专车
打车去深圳北站,,T3出行,,T3出行
打车去深圳东站,极速拼车,极速拼车,极速拼车,极速拼车
打车去莲花山公园,,曹操出行,,曹操出行
打车去大梅沙,,斑马快跑,,斑马快跑
打车去小梅沙,特快车,特惠快车,特快车,特惠快车
打车去深圳会展中心,,飞嘀打车,,飞嘀打车
打车去玉龙新村,,神州专车,,神州专车
打车去梅林关地铁站,及时用车,,及时用车,
打车去白石龙地铁站,,阳光出行,,阳光出行
打车去民治地铁站,,妥妥E行,,妥妥E行
打车去红山地铁站,,5U出行,,5U出行
打车去天文台,,全民GO,,全民GO
打车去维也纳酒店,,享道出行,,享道出行
打车去元芬地铁站,,首汽约车,,首汽约车
打车去上芬地铁站,,如祺出行,,如祺出行
打车去红山地铁站,,聚的新出租,,聚的新出租
打车去陶吓新村,,深圳出租,出租车,深圳出租
打车去龙胜村,,阳光出行,,阳光出行
打车去创业花园,,中交出行,,中交出行
打车去到梅村,,所有车型,,所有车型
打车去深圳北站,,所有车型,,所有车型
打车去天文台,,所有车型,,所有车型
打车去民治地铁,,所有车型,,所有车型
打车去五和地铁站,,所有车型,,所有车型
打车去欢乐海岸,豪华型,及时用车,豪华型,及时用车
打车去深圳北站,,阳光出行,,阳光出行
打车去深圳会展中心,,曹操出行,,曹操出行
打车去红山地铁站,,T3出行,,T3出行
打车去民乐地铁站,,斑马快跑,,斑马快跑
打极速拼车和六座豪华车去深业上城,"极速拼车, 六座豪华车",极速拼车,"极速拼车,六座豪华车",极速拼车
打车去宝安机场,"极速拼车, 特惠快车, 六座专车","特惠快车,远途极速拼","极速拼车,特惠快车,六座专车","特惠快车,远途极速拼"
打车去深圳东站,六座商务,神州专车,六座商务,神州专车
打车去民治地铁口,轻享专车，惠享专车,神州专车,惠享专车，轻享专车,神州专车
打车去大梅沙滨海公园,,,,
打车去福田CBD,,,,
打车从动物园到国际会展中心,,,,
打车去卓越后海,,,,
打车去小梅沙,特价,特惠快车,特价,特惠快车
