model,query,车辆候选列表,id,大类|小类,answer原数据,app,正确答案,app名称,category,category正确答案,车大类,mode,mode正确答案,车小类,price,正确答案,是否包含价格,price_min,正确答案,价格下限,price_max,正确答案,think_time,价格上限,问题,备注,标注人,
Qwen2.5-32B-Instruct,从北京西站到上海虹桥机场，叫特快出租车或曹操出行或极速拼车。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|33.65|
|1|滴滴|推荐|特惠快车|33.78|
|2|滴滴|推荐|滴滴快车|34.45|
|3|滴滴|推荐|特快出租车|34.96|
|4|滴滴|拼车|特价拼车|33.45-34.46|
|5|滴滴|特价|花小猪外接版|42.23|
|6|滴滴|快速|曹操出行|55.96|
|7|滴滴|快速|出租车|57.34|
|8|滴滴|快速|滴滴轻享|58.21|
|9|滴滴|快速|滴滴特快|59.26|
|10|滴滴|舒适|滴滴专车|81.07|
|11|滴滴|六座|六座专车|105.11|",3，6，7,快速|曹操出行，推荐|特快出租车，快速|出租车,"[{""app"": ""无"", ""category"": ""特快出租车, 极速拼车"", ""mode"": ""曹操出行"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,"特快出租车, 极速拼车",无,无,曹操出行,特快出租车，曹操出行，出租车,特快出租车，曹操出行，出租车,FALSE,,FALSE,0,,0,0,,1.235500813,0,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,
Qwen2.5-32B-Instruct,从广州塔到白云机场，约个特价拼车。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|16.51|
|1|滴滴|推荐|特惠快车|16.53|
|2|滴滴|推荐|滴滴快车|18.03|
|3|滴滴|拼车|特价拼车|17.25-18.36|
|4|滴滴|特价|花小猪外接版|17.02|
|5|滴滴|特价|惊喜特价|20.70|
|6|滴滴|快速|曹操出行|28.49|
|7|滴滴|快速|出租车|28.90|
|8|滴滴|快速|滴滴轻享|30.95|
|9|滴滴|快速|滴滴特快|32.80|
|10|滴滴|舒适|滴滴专车|48.59|
|11|滴滴|舒适|滴滴豪华车|51.51|
|12|滴滴|六座|六座专车|64.23|
|13|滴滴|六座|六座豪华车|68.84|",3,拼车|特价拼车,"[{""app"": ""无"", ""category"": ""特价拼车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,特价拼车,无,无,无,特价拼车,特价拼车,FALSE,,FALSE,0,,0,0,,1.098531485,0,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,
Qwen2.5-32B-Instruct,从陆家嘴到虹桥火车站，预约一辆滴滴专车。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|7.38|
|1|滴滴|推荐|特惠快车|11.92|
|2|滴滴|推荐|滴滴快车|12.53|
|3|滴滴|拼车|特价拼车|6.92-8.07|
|4|滴滴|拼车|极速拼车|11.94-13.28|
|5|滴滴|特价|花小猪外接版|15.63|
|6|滴滴|快速|曹操出行|16.81|
|7|滴滴|快速|出租车|18.38|
|8|滴滴|快速|滴滴轻享|19.27|
|9|滴滴|快速|滴滴特快|20.34|
|10|滴滴|舒适|滴滴专车|27.08|
|11|滴滴|舒适|滴滴豪华车|28.29|
|12|滴滴|六座|六座专车|33.24|
|13|滴滴|六座|六座豪华车|35.90|",10，12,舒适|滴滴专车，六座|六座专车,"[{""app"": ""无"", ""category"": ""舒适专车"", ""mode"": ""奔驰S级"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,舒适专车,无,无,奔驰S级,滴滴专车，六座专车,滴滴专车，六座专车,FALSE,,FALSE,0,,0,0,,1.132683039,0,直接命中车小类关键字但answer中没有或错误,,王笑,
Qwen2.5-32B-Instruct,用特价拼车从西湖到萧山机场，费用控制在41元内。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|27.04|
|1|滴滴|推荐|特惠快车|27.25|
|2|滴滴|推荐|滴滴快车|29.92|
|3|滴滴|推荐|特快出租车|32.09|
|4|滴滴|拼车|特价拼车|38.63-40.22|
|5|滴滴|拼车|极速拼车|41.05-42.80|
|6|滴滴|特价|花小猪外接版|39.76|
|7|滴滴|特价|惊喜特价|40.77|
|8|滴滴|特价|特惠快车|42.30|
|9|滴滴|快速|曹操出行|59.57|
|10|滴滴|快速|出租车|61.93|
|11|滴滴|快速|滴滴轻享|64.67|
|12|滴滴|舒适|滴滴专车|95.17|
|13|滴滴|舒适|滴滴豪华车|95.62|
|14|滴滴|六座|六座专车|117.34|
|15|滴滴|六座|六座豪华车|120.03|",4,拼车|特价拼车,"[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""特价拼车"", ""price"": True, ""price_min"": 0, ""price_max"": 31, ""fast"": False}]",无,,无,拼车,无,无,特价拼车,,特价拼车,TRUE,,TRUE,0,,0,31,41,1.140630484,41,其他,车大类范围太广,王笑,
Qwen2.5-32B-Instruct,从宽窄巷子打特惠快车或特价拼车到双流机场，预算不超过150元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|14.35|
|1|滴滴|推荐|特惠快车|17.11|
|2|滴滴|拼车|特价拼车|15.41-17.26|
|3|滴滴|特价|花小猪外接版|20.82|
|4|滴滴|特价|惊喜特价|21.98|
|5|滴滴|快速|曹操出行|29.14|
|6|滴滴|快速|出租车|30.31|
|7|滴滴|快速|滴滴轻享|30.37|
|8|滴滴|快速|滴滴特快|32.37|
|9|滴滴|舒适|滴滴专车|38.12|
|10|滴滴|六座|六座专车|56.28|
|11|滴滴|六座|六座豪华车|57.67|","1,2",拼车|特价拼车，推荐|特惠快车,"[{""app"": ""无"", ""category"": ""特惠快车, 特价拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 150, ""fast"": False}]",无,,无,"特惠快车, 特价拼车",无,无,无,"特惠快车, 特价拼车","特惠快车, 特价拼车",TRUE,,TRUE,0,,0,150,,1.249379158,150,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,
Qwen2.5-32B-Instruct,预约一辆六座专车去咸阳国际机场，从西安钟楼出发。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|14.48|
|1|滴滴|推荐|特惠快车|17.47|
|2|滴滴|推荐|滴滴快车|17.67|
|3|滴滴|推荐|特快出租车|17.97|
|4|滴滴|推荐|滴滴特快|18.27|
|5|滴滴|拼车|特价拼车|11.21-13.16|
|6|滴滴|拼车|极速拼车|13.90-15.02|
|7|滴滴|特价|花小猪外接版|19.02|
|8|滴滴|特价|惊喜特价|20.10|
|9|滴滴|特价|特惠快车|20.32|
|10|滴滴|快速|曹操出行|25.99|
|11|滴滴|快速|出租车|27.11|
|12|滴滴|快速|滴滴轻享|27.28|
|13|滴滴|快速|滴滴特快|27.94|
|14|滴滴|舒适|滴滴专车|35.00|
|15|滴滴|舒适|滴滴豪华车|37.35|
|16|滴滴|六座|六座专车|59.57|",16,六座|六座专车,"[{""app"": ""无"", ""category"": ""六座专车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,六座专车,无,无,无,六座专车,六座专车,FALSE,,FALSE,0,,0,0,,1.106678724,0,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,
Qwen2.5-32B-Instruct,从五四广场到流亭机场，叫辆特快出租车，尽快出发。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|14.13|
|1|滴滴|推荐|特惠快车|16.34|
|2|滴滴|推荐|滴滴快车|16.37|
|3|滴滴|推荐|特快出租车|19.65|
|4|滴滴|拼车|特价拼车|16.13-17.77|
|5|滴滴|特价|花小猪外接版|19.80|
|6|滴滴|特价|惊喜特价|22.98|
|7|滴滴|快速|曹操出行|28.56|
|8|滴滴|快速|出租车|29.66|
|9|滴滴|快速|滴滴轻享|31.57|
|10|滴滴|快速|滴滴特快|32.60|
|11|滴滴|快速|滴滴优享|32.87|
|12|滴滴|舒适|滴滴专车|35.76|
|13|滴滴|舒适|滴滴豪华车|40.47|
|14|滴滴|六座|六座专车|67.55|",3，8,推荐|特快出租车，快速|出租车,"[{""app"": ""无"", ""category"": ""特快出租车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": True}]",无,,无,特快出租车,无,无,无,特快出租车，出租车,特快出租车，出租车,FALSE,,FALSE,0,,0,0,,1.094539881,0,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,
Qwen2.5-32B-Instruct,深圳湾口岸到宝安机场，推荐特价拼车、花小猪外接版和曹操出行，价格30元以内。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|18.17|
|1|滴滴|推荐|特惠快车|19.42|
|2|滴滴|推荐|滴滴快车|22.34|
|3|滴滴|拼车|特价拼车|23.09-25.02|
|4|滴滴|特价|花小猪外接版|31.71|
|5|滴滴|特价|惊喜特价|32.69|
|6|滴滴|快速|曹操出行|38.15|
|7|滴滴|快速|出租车|38.35|
|8|滴滴|快速|滴滴轻享|39.59|
|9|滴滴|快速|滴滴特快|42.02|
|10|滴滴|舒适|滴滴专车|58.87|
|11|滴滴|舒适|滴滴豪华车|62.50|
|12|滴滴|六座|六座专车|101.22|
|13|滴滴|六座|六座豪华车|101.71|","3,4,6",拼车|特价拼车，特价|花小猪外接版，快速|曹操出行,"[{""app"": ""无"", ""category"": ""特价拼车"", ""mode"": ""花小猪外接版, 曹操出行"", ""price"": True, ""price_min"": 0, ""price_max"": 30, ""fast"": False}]",无,,无,特价拼车,无,无,"花小猪外接版, 曹操出行","花小猪外接版, 曹操出行，特价拼车","花小猪外接版, 曹操出行，特价拼车",TRUE,,TRUE,0,,0,30,,1.280538559,30,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,
Qwen2.5-32B-Instruct,用特价拼车或特惠快车从南京新街口到禄口机场，价格不超过30元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|6.02|
|1|滴滴|推荐|特惠快车|11.07|
|2|滴滴|推荐|滴滴快车|11.14|
|3|滴滴|推荐|特快出租车|11.50|
|4|滴滴|拼车|特价拼车|6.86-8.54|
|5|滴滴|特价|花小猪外接版|8.18|
|6|滴滴|快速|曹操出行|9.48|
|7|滴滴|快速|出租车|11.34|
|8|滴滴|快速|滴滴轻享|12.04|
|9|滴滴|快速|滴滴特快|12.11|
|10|滴滴|舒适|滴滴专车|15.76|
|11|滴滴|舒适|滴滴豪华车|18.74|
|12|滴滴|六座|六座专车|34.78|","1,4",推荐|特惠快车，拼车|特价拼车,"[{""app"": ""无"", ""category"": ""特价拼车, 特惠快车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 30, ""fast"": False}]",无,,无,"特价拼车, 特惠快车",无,无,无,"特价拼车, 特惠快车","特价拼车, 特惠快车",TRUE,,TRUE,0,,0,30,,1.229221106,30,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,
Qwen2.5-32B-Instruct,打个特价拼车从鼓浪屿码头到高崎机场。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|13.39|
|1|滴滴|推荐|特惠快车|16.69|
|2|滴滴|推荐|滴滴快车|16.99|
|3|滴滴|推荐|特快出租车|17.44|
|4|滴滴|拼车|特价拼车|10.03-11.79|
|5|滴滴|特价|花小猪外接版|18.52|
|6|滴滴|特价|惊喜特价|19.45|
|7|滴滴|快速|曹操出行|24.98|
|8|滴滴|快速|出租车|25.60|
|9|滴滴|快速|滴滴轻享|27.66|
|10|滴滴|快速|滴滴特快|29.12|
|11|滴滴|快速|滴滴优享|29.41|
|12|滴滴|舒适|滴滴专车|34.77|
|13|滴滴|舒适|滴滴豪华车|35.36|
|14|滴滴|六座|六座专车|71.64|
|15|滴滴|六座|六座豪华车|72.43|",4,拼车|特价拼车,"[{""app"": ""无"", ""category"": ""特价拼车, 拼车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,"特价拼车, 拼车",无,无,无,特价拼车,特价拼车,FALSE,,FALSE,0,,0,0,,1.205154419,0,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,
