query,车辆候选列表,全匹配,answer,app,正确答案,category,category正确答案,mode,mode正确答案,price,price_min,price_max,问题,备注,标注人,,,,,
用高德，打个车去北京南站，用斑马快跑经济型，价格不超过100元。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|50-53|
|1|高德地图|     |特惠快车|53-54|
|2|高德地图|经济型|中交出行|59|
|3|高德地图|经济型|J刻出行|60|
|4|高德地图|经济型|国泰出租|60|
|5|高德地图|经济型|T3出行|60|
|6|高德地图|经济型|5U出行|61|
|7|高德地图|经济型|易至出行|61|
|8|高德地图|经济型|旅程出租|61|
|9|高德地图|经济型|享道出行|61|
|10|高德地图|经济型|旗妙出行|61|
|11|高德地图|经济型|飞嘀打车|61|
|12|高德地图|经济型|聚的出租车|62|
|13|高德地图|经济型|东潮出行|62|
|14|高德地图|经济型|神州专车|62|
|15|高德地图|经济型|有序出行|62|
|16|高德地图|经济型|全民GO|63|
|17|高德地图|经济型|深圳出租|63|
|18|高德地图|经济型|首汽约车|63|
|19|高德地图|经济型|聚优出租|63|
|20|高德地图|特快车|超值体验 更快上车|68|
|21|高德地图|出租车|鞍马聚的-高档出租车|75|
|22|高德地图|优享型|妥妥E行|80|
|23|高德地图|优享型|全民GO|80|
|24|高德地图|优享型|T3出行|81|
|25|高德地图|优享型|火箭出行|81|
|26|高德地图|优享型|享道出行|81|
|27|高德地图|优享型|及时用车|81|
|28|高德地图|优享型|旗妙出行|82|
|29|高德地图|优享型|飞嘀打车|82|
|30|高德地图|优享型|东潮出行|82|
|31|高德地图|优享型|AA出行|83|
|32|高德地图|优享型|中交出行|83|
|33|高德地图|优享型|优e出行特选|83|
|34|高德地图|优享型|首汽约车|83|
|35|高德地图|轻享专车|静音不打扰 整洁无异味|87|
|36|高德地图|品质专车|静音不打扰 整洁无异味|99|
|37|高德地图|六座商务|宽敞空间 商务体验|109|
|38|高德地图|豪华型|车型高端 服务专业|119|
|39|高德地图|经济|首汽约车|132|
|40|高德地图|拼车|出租车拼车|142|
|41|高德地图|特价出发|更多特价|158|
|42|高德地图|特价出发|惊喜特价|159|
|43|高德地图|快速出发|无|172|
|44|高德地图|惠享专车|T3出行|194|
|45|高德地图|推荐|极速拼车|213|
|46|高德地图|豪华型|undefined|134-137|",,"[{""app"": ""高德"", ""category"": ""无"", ""mode"": ""斑马快跑"", ""price"": True, ""price_min"": 0, ""price_max"": 100, ""fast"": False}]",高德,,无,,斑马快跑,无,TRUE,0,100,,,王笑,,,,,
帮我叫个鞍马聚的-高档出租车去国贸大厦，用高德，价格在150左右。  ,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|56-58|
|1|高德地图|     |特惠快车|60-63|
|2|高德地图|经济型|腾飞新出租|65|
|3|高德地图|经济型|旅程出租|65|
|4|高德地图|经济型|聚优出行|65|
|5|高德地图|经济型|日初出行|65|
|6|高德地图|经济型|深圳出租|65|
|7|高德地图|经济型|斑马快跑|65|
|8|高德地图|经济型|神州专车|66|
|9|高德地图|经济型|首汽约车|67|
|10|高德地图|经济型|奇华出行|67|
|11|高德地图|经济型|900出行|67|
|12|高德地图|经济型|T3出行|67|
|13|高德地图|经济型|方舟行|68|
|14|高德地图|经济型|365约车|68|
|15|高德地图|经济型|有滴出行|68|
|16|高德地图|经济型|曹操出行|68|
|17|高德地图|经济型|北京新出租|68|
|18|高德地图|经济型|飞嘀打车|68|
|19|高德地图|经济型|如祺出行|69|
|20|高德地图|经济型|聚优出租|69|
|21|高德地图|特快车|超值体验 更快上车|75|
|22|高德地图|出租车|鞍马聚的-高档出租车|82|
|23|高德地图|优享型|妥妥E行|88|
|24|高德地图|优享型|星徽出行|88|
|25|高德地图|优享型|享道出行|89|
|26|高德地图|优享型|及时用车|89|
|27|高德地图|优享型|火箭出行|91|
|28|高德地图|优享型|斑马快跑|91|
|29|高德地图|优享型|飞嘀打车|91|
|30|高德地图|优享型|AA出行|91|
|31|高德地图|优享型|全民GO|92|
|32|高德地图|优享型|首汽约车|92|
|33|高德地图|优享型|添猫出行|92|
|34|高德地图|优享型|环旅出行|92|
|35|高德地图|优享型|阳光出行|92|
|36|高德地图|轻享专车|静音不打扰 整洁无异味|101|
|37|高德地图|品质专车|静音不打扰 整洁无异味|111|
|38|高德地图|六座商务|宽敞空间 商务体验|119|
|39|高德地图|豪华型|车型高端 服务专业|131|
|40|高德地图|经济|首汽约车|147|
|41|高德地图|拼车|出租车拼车|158|
|42|高德地图|拼车|特惠快车|162|
