model,query,车辆候选列表,id,大类|小类,标注人,answer,app,正确答案,category,category正确答案,mode,mode正确答案,price,price正确答案,price_min,price_min正确答案,price_max,price_max正确答案,think_time,问题,备注,标注人,,,,,,
Qwen2.5-32B-Instruct,打车去大梅沙滨海公园，选79元以内的车型,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||远途极速拼|38.4-93.0|
|1|高德地图||特惠快车|49.9-65.4|
|2|高德地图|经济型|曹操出行|51|
|3|高德地图|经济型|5U出行|53|
|4|高德地图|经济型|中军出行|54|
|5|高德地图|经济型|斑马快跑|56|
|6|高德地图|经济型|东潮出行|56|
|7|高德地图|经济型|神州专车|56|
|8|高德地图|经济型|飞嘀打车|57|
|9|高德地图|经济型|中交出行|57|
|10|高德地图|经济型|T3出行|58|
|11|高德地图|经济型|全民GO|59|
|12|高德地图|经济型|妥妥E行|59|
|13|高德地图|经济型|如祺出行|59|
|14|高德地图|经济型|及时用车|59|
|15|高德地图|经济型|享道出行|62|
|16|高德地图|经济型|阳光出行|73|
|17|高德地图|经济型|聚的新出租|111|
|18|高德地图|经济型|深圳出租|111|
|19|高德地图|特快车|undefined|91|
|20|高德地图|出租车|undefined||
|21|高德地图|优享型|中交出行|66|
|22|高德地图|优享型|东潮出行|66|
|23|高德地图|优享型|神州专车|67|
|24|高德地图|优享型|曹操出行|69|
|25|高德地图|优享型|飞嘀打车|70|
|26|高德地图|优享型|全民GO|74|
|27|高德地图|优享型|斑马快跑|75|
|28|高德地图|优享型|及时用车|77|
|29|高德地图|优享型|享道出行|77|
|30|高德地图|优享型|T3出行|80|
|31|高德地图|优享型|阳光出行|87|
|32|高德地图|轻享专车|undefined|86-107|
|33|高德地图|六座商务|undefined|166-195|
|34|高德地图|豪华型|undefined|185-193|",无,无|无,顾存虹,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 79, ""fast"": False}]",无,,无,,无,,TRUE,,0,,79,,1.107391596,,,王笑,,,,,,
Qwen2.5-32B-Instruct,打车去民乐，选60元以上的车型,"

|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||极速拼车|11.8-19.0|
|1|高德地图||特惠快车|9.5-12.5|
|2|高德地图|经济型|曹操出行|9|
|3|高德地图|经济型|神州专车|10|
|4|高德地图|经济型|中交出行|11|
|5|高德地图|经济型|5U出行|11|
|6|高德地图|经济型|妥妥E行|11|
|7|高德地图|经济型|全民GO|11|
|8|高德地图|经济型|T3出行|11|
|9|高德地图|经济型|及时用车|12|
|10|高德地图|经济型|首汽约车|12|
|11|高德地图|经济型|如祺出行|12|
|12|高德地图|经济型|东潮出行|12|
|13|高德地图|经济型|享道出行|13|
|14|高德地图|经济型|飞嘀打车|14|
|15|高德地图|经济型|阳光出行|15|
|16|高德地图|经济型|斑马快跑|15|
|17|高德地图|经济型|中军出行|16|
|18|高德地图|经济型|聚的新出租|18|
|19|高德地图|经济型|深圳出租|18|
|20|高德地图|特快车|undefined|19|
|21|高德地图|出租车|undefined||
|22|高德地图|惠享专车|undefined|12-14|
|23|高德地图|优享型|中交出行|12|
|24|高德地图|优享型|东潮出行|13|
|25|高德地图|优享型|神州专车|13|
|26|高德地图|优享型|全民GO|14|
|27|高德地图|优享型|妥妥E行|14|
|28|高德地图|优享型|T3出行|14|
|29|高德地图|优享型|及时用车|14|
|30|高德地图|优享型|首汽约车|15|
|31|高德地图|优享型|飞嘀打车|15|
|32|高德地图|优享型|曹操出行|16|
|33|高德地图|优享型|阳光出行|17|
|34|高德地图|轻享专车|undefined|16-27|
|35|高德地图|六座商务|undefined|28-44|
|36|高德地图|豪华型|undefined|35-45|",无,无|无,顾存虹,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 60, ""price_max"": 100000, ""fast"": False}]",无,,无,,无,,TRUE,,60,,100000,,1.165522337,,,王笑,,,,,,
Qwen2.5-32B-Instruct,我要从家/公司去动物园，帮忙叫个快车，价格一定不能高于60,"

|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||极速拼车|38.9-59.0|
|1|高德地图||特惠快车|37.6-39|
|2|高德地图|经济型|曹操出行|39|
|3|高德地图|经济型|享道出行|44|
|4|高德地图|经济型|T3出行|49|
|5|高德地图|经济型|阳光出行|51|
|6|高德地图|经济型|有滴出行|52|
|7|高德地图|经济型|首汽约车|53|
|8|高德地图|经济型|鞍马出行|53|
|9|高德地图|经济型|神州专车|53|
|10|高德地图|经济型|腾飞出行|53|
|11|高德地图|经济型|叮叮出行|53|
|12|高德地图|经济型|环旅出行|54|
|13|高德地图|经济型|及时用车|55|
|14|高德地图|经济型|旅程约车|55|
|15|高德地图|经济型|迪尔出行|56|
|16|高德地图|经济型|风韵出行|57|
|17|高德地图|经济型|365约车|57|
|18|高德地图|经济型|沛途出行|59|
|19|高德地图|经济型|聚优出租|59|
|20|高德地图|经济型|腾飞新出租|63|
|21|高德地图|经济型|鞍马聚的新出租|66|
|22|高德地图|特快车|undefined|71|
|23|高德地图|出租车|undefined||
|24|高德地图|优享型|曹操出行|44|
|25|高德地图|优享型|阳光出行|57|
|26|高德地图|优享型|享道出行|60|
|27|高德地图|优享型|T3出行|60|
|28|高德地图|优享型|首汽约车|63|
|29|高德地图|优享型|鞍马出行|78|
|30|高德地图|优享型|风韵出行|79|
|31|高德地图|优享型|腾飞出行|82|
|32|高德地图|优享型|有滴出行|82|
|33|高德地图|优享型|及时用车|82|
|34|高德地图|优享型|神州专车|82|
|35|高德地图|优享型|环旅出行|83|
|36|高德地图|优享型|叮叮出行|84|
|37|高德地图|优享型|旅程约车|84|
|38|高德地图|优享型|365约车|89|
|39|高德地图|品质专车|undefined|79-130|
|40|高德地图|六座商务|undefined|149-203|","1,22","|特惠快车,特快车|undefined",顾存虹,"[{""app"": ""无"", ""category"": ""快车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 60, ""fast"": False}]",无,,快车,特快车,无,特惠快车,TRUE,,0,,60,,1.107390642,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,王笑,,,,,,
Qwen2.5-32B-Instruct,麻烦帮我打专车到海底捞，打车费用一定不能高于50,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||极速拼车|12.3-19.0|
|1|高德地图||特惠快车|11.3-15.5|
|2|高德地图|经济型|曹操出行|14|
|3|高德地图|经济型|叮叮出行|17|
|4|高德地图|经济型|妥妥E行|17|
|5|高德地图|经济型|享道出行|18|
|6|高德地图|经济型|有序出行|18|
|7|高德地图|经济型|鞍马出行|18|
|8|高德地图|经济型|环旅出行|18|
|9|高德地图|经济型|腾飞出行|18|
|10|高德地图|经济型|365约车|18|
|11|高德地图|经济型|风韵出行|18|
|12|高德地图|经济型|旅程约车|19|
|13|高德地图|经济型|神州专车|19|
|14|高德地图|经济型|有滴出行|19|
|15|高德地图|经济型|T3出行|19|
|16|高德地图|经济型|阳光出行|19|
|17|高德地图|经济型|迪尔出行|19|
|18|高德地图|经济型|及时用车|19|
|19|高德地图|经济型|聚优出租|21|
|20|高德地图|经济型|南京出租|21|
|21|高德地图|经济型|腾飞新出租|21|
|22|高德地图|经济型|首汽约车|21|
|23|高德地图|经济型|鞍马聚的新出租|22|
|24|高德地图|特快车|undefined|23|
|25|高德地图|出租车|undefined|26-30|
|26|高德地图|优享型|曹操出行|15|
|27|高德地图|优享型|阳光出行|21|
|28|高德地图|优享型|享道出行|21|
|29|高德地图|优享型|T3出行|23|
|30|高德地图|优享型|鞍马出行|26|
|31|高德地图|优享型|腾飞出行|28|
|32|高德地图|优享型|环旅出行|28|
|33|高德地图|优享型|首汽约车|26|
|34|高德地图|优享型|有滴出行|30|
|35|高德地图|优享型|及时用车|30|
|36|高德地图|优享型|神州专车|30|
|37|高德地图|优享型|叮叮出行|30|
|38|高德地图|优享型|风韵出行|30|
|39|高德地图|优享型|旅程约车|31|
|40|高德地图|优享型|365约车|31|
|41|高德地图|品质专车|undefined|29-47|
|42|高德地图|六座商务|undefined|56-67|","13,36,41","经济型|神州专车,优享型|神州专车,品质专车|undefined",顾存虹,"[{""app"": ""无"", ""category"": ""专车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 50, ""fast"": False}]",无,,专车,品质专车,无,神州专车,TRUE,,0,,50,,1.073360443,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,王笑,,,,,,
Qwen2.5-32B-Instruct,给我打个六座车去朱三家龙虾吃饭，打车费用尽量控制在100以内,"

|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||极速拼车|16.2-25.0|
|1|高德地图||特惠快车|15.4-21|
|2|高德地图|经济型|曹操出行|19|
|3|高德地图|经济型|叮叮出行|22|
|4|高德地图|经济型|有序出行|23|
|5|高德地图|经济型|享道出行|23|
|6|高德地图|经济型|妥妥E行|23|
|7|高德地图|经济型|鞍马出行|24|
|8|高德地图|经济型|T3出行|24|
|9|高德地图|经济型|环旅出行|24|
|10|高德地图|经济型|腾飞出行|24|
|11|高德地图|经济型|风韵出行|24|
|12|高德地图|经济型|有滴出行|24|
|13|高德地图|经济型|旅程约车|24|
|14|高德地图|经济型|神州专车|24|
|15|高德地图|经济型|迪尔出行|25|
|16|高德地图|经济型|365约车|25|
|17|高德地图|经济型|及时用车|25|
|18|高德地图|经济型|首汽约车|27|
|19|高德地图|经济型|腾飞新出租|27|
|20|高德地图|经济型|聚优出租|27|
|21|高德地图|经济型|南京出租|27|
|22|高德地图|经济型|鞍马聚的新出租|29|
|23|高德地图|特快车|undefined|30|
|24|高德地图|出租车|undefined|33-38|
|25|高德地图|优享型|曹操出行|24|
|26|高德地图|优享型|阳光出行|26|
|27|高德地图|优享型|享道出行|28|
|28|高德地图|优享型|T3出行|30|
|29|高德地图|优享型|鞍马出行|34|
|30|高德地图|优享型|首汽约车|34|
|31|高德地图|优享型|腾飞出行|36|
|32|高德地图|优享型|环旅出行|36|
|33|高德地图|优享型|风韵出行|39|
|34|高德地图|优享型|有滴出行|40|
|35|高德地图|优享型|及时用车|40|
|36|高德地图|优享型|神州专车|40|
|37|高德地图|优享型|叮叮出行|40|
|38|高德地图|优享型|365约车|40|
|39|高德地图|优享型|旅程约车|41|
|40|高德地图|品质专车|undefined|37-58|
|41|高德地图|六座商务|undefined|71-84|",41,六座商务|undefined,顾存虹,"[{""app"": ""无"", ""category"": ""六座车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 100, ""fast"": False}]",无,,六座车,六座商务,无,,TRUE,,0,,100,,1.128976583,直接命中车大类关键字但answer中没有或错误,,王笑,,,,,,
Qwen2.5-32B-Instruct,能帮我打个拼车去景枫中心吗,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||极速拼车|17.4-27.0|
|1|高德地图||特惠快车|16.7-22.7|
|2|高德地图|经济型|曹操出行|19|
|3|高德地图|经济型|T3出行|20|
|4|高德地图|经济型|叮叮出行|24|
|5|高德地图|经济型|享道出行|25|
|6|高德地图|经济型|妥妥E行|25|
|7|高德地图|经济型|鞍马出行|26|
|8|高德地图|经济型|阳光出行|26|
|9|高德地图|经济型|环旅出行|26|
|10|高德地图|经济型|腾飞出行|26|
|11|高德地图|经济型|风韵出行|26|
|12|高德地图|经济型|有滴出行|26|
|13|高德地图|经济型|旅程约车|26|
|14|高德地图|经济型|神州专车|26|
|15|高德地图|经济型|沛途出行|27|
|16|高德地图|经济型|迪尔出行|27|
|17|高德地图|经济型|及时用车|27|
|18|高德地图|经济型|腾飞新出租|28|
|19|高德地图|经济型|聚优出租|29|
|20|高德地图|经济型|南京出租|29|
|21|高德地图|经济型|首汽约车|29|
|22|高德地图|经济型|鞍马聚的新出租|32|
|23|高德地图|特快车|undefined|32|
|24|高德地图|出租车|undefined|35-41|
|25|高德地图|优享型|曹操出行|24|
|26|高德地图|优享型|阳光出行|28|
|27|高德地图|优享型|享道出行|30|
|28|高德地图|优享型|T3出行|34|
|29|高德地图|优享型|首汽约车|36|
|30|高德地图|优享型|鞍马出行|37|
|31|高德地图|优享型|腾飞出行|39|
|32|高德地图|优享型|环旅出行|39|
|33|高德地图|优享型|沛途出行|40|
|34|高德地图|优享型|有滴出行|43|
|35|高德地图|优享型|及时用车|43|
|36|高德地图|优享型|神州专车|43|
|37|高德地图|优享型|叮叮出行|44|
|38|高德地图|优享型|旅程约车|45|
|39|高德地图|品质专车|undefined|40-60|
|40|高德地图|六座商务|undefined|75-92|",0,|极速拼车,顾存虹,"[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,拼车,无,无,极速拼车,FALSE,,0,,0,,1.079939842,"直接命中车小类关键字但answer中没有或错误,answer下的车型必须存在于“车辆候选列表”",,王笑,,,,,,
Qwen2.5-32B-Instruct,请帮我叫个专车，去三江学院,"

|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||极速拼车|9.3-15.0|
|1|高德地图||特惠快车|9.2-13.7|
|2|高德地图|经济型|腾飞出行|13|
|3|高德地图|经济型|妥妥E行|14|
|4|高德地图|经济型|及时用车|14|
|5|高德地图|经济型|鞍马出行|14|
|6|高德地图|经济型|旅程约车|14|
|7|高德地图|经济型|风韵出行|14|
|8|高德地图|经济型|享道出行|14|
|9|高德地图|经济型|有序出行|14|
|10|高德地图|经济型|环旅出行|14|
|11|高德地图|经济型|沛途出行|14|
|12|高德地图|经济型|迪尔出行|14|
|13|高德地图|经济型|神州专车|14|
|14|高德地图|经济型|曹操出行|14|
|15|高德地图|经济型|365约车|14|
|16|高德地图|经济型|有滴出行|15|
|17|高德地图|经济型|叮叮出行|15|
|18|高德地图|经济型|阳光出行|15|
|19|高德地图|经济型|T3出行|15|
|20|高德地图|经济型|聚优出租|15|
|21|高德地图|经济型|首汽约车|16|
|22|高德地图|经济型|南京出租|16|
|23|高德地图|经济型|鞍马聚的新出租|17|
|24|高德地图|特快车|undefined|18|
|25|高德地图|出租车|undefined|19-21|
|26|高德地图|优享型|阳光出行|16|
|27|高德地图|优享型|享道出行|16|
|28|高德地图|优享型|T3出行|18|
|29|高德地图|优享型|曹操出行|18|
|30|高德地图|优享型|首汽约车|19|
|31|高德地图|优享型|有滴出行|21|
|32|高德地图|优享型|风韵出行|21|
|33|高德地图|优享型|鞍马出行|22|
|34|高德地图|优享型|旅程约车|23|
|35|高德地图|优享型|环旅出行|23|
|36|高德地图|优享型|腾飞出行|23|
|37|高德地图|优享型|叮叮出行|24|
|38|高德地图|优享型|沛途出行|24|
|39|高德地图|优享型|365约车|27|
|40|高德地图|品质专车|undefined|26-32|
|41|高德地图|六座商务|undefined|42-48|","13,40","经济型|神州专车,品质专车|undefined",顾存虹,"[{""app"": ""无"", ""category"": ""专车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,专车,品质专车,无,神州专车,FALSE,,0,,0,,1.075612545,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,王笑,,,,,,
Qwen2.5-32B-Instruct,帮我打出租车去机场费用要100以内,|序号id|应用名称|车型大类|车辆类型|价格||---|---|---|---|---||0|高德地图||极速拼车|49.6-76.0||1|高德地图||特惠快车|46.5-67.5||2|高德地图|经济型|曹操出行|45||3|高德地图|经济型|T3出行|52||4|高德地图|经济型|叮叮出行|68||5|高德地图|经济型|享道出行|71||6|高德地图|经济型|阳光出行|71||7|高德地图|经济型|有序出行|72||8|高德地图|经济型|鞍马出行|72||9|高德地图|经济型|环旅出行|72||10|高德地图|经济型|腾飞出行|72||11|高德地图|经济型|风韵出行|72||12|高德地图|经济型|有滴出行|73||13|高德地图|经济型|旅程约车|74||14|高德地图|经济型|神州专车|74||15|高德地图|经济型|妥妥E行|75||16|高德地图|经济型|迪尔出行|75||17|高德地图|经济型|及时用车|75||18|高德地图|经济型|腾飞新出租|77||19|高德地图|经济型|聚优出租|78||20|高德地图|经济型|南京出租|78||21|高德地图|经济型|首汽约车|78||22|高德地图|经济型|鞍马聚的新出租|84||23|高德地图|出租车|undefined|||24|高德地图|优享型|曹操出行|60||25|高德地图|优享型|T3出行|78||26|高德地图|优享型|阳光出行|78||27|高德地图|优享型|享道出行|84||28|高德地图|优享型|首汽约车|97||29|高德地图|优享型|鞍马出行|97||30|高德地图|优享型|腾飞出行|103||31|高德地图|优享型|环旅出行|103||32|高德地图|优享型|风韵出行|113||33|高德地图|优享型|有滴出行|117||34|高德地图|优享型|及时用车|117||35|高德地图|优享型|叮叮出行|119||36|高德地图|优享型|旅程约车|119||37|高德地图|品质专车|undefined|112-169||38|高德地图|六座商务|undefined|205-258||39|高德地图|六座商务|神州专车|117|,"18,19,20,22,23","经济型|腾飞新出租,经济型|聚优出租,经济型|南京出租,经济型|鞍马聚的新出租,出租车|undefined",顾存虹,"[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 100, ""fast"": False}]",无,,出租车,,无,聚优出租，腾飞新出租，南京出租，鞍马聚的新出租,TRUE,,0,,100,,1.093777418,直接命中车小类关键字但answer中没有或错误,,王笑,,,,,,
Qwen2.5-32B-Instruct,请帮我打出租车去银杏湖乐园打车费要90左右,"

|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||极速拼车|36.2-55.0|
|1|高德地图||特惠快车|35.1|
|2|高德地图|经济型|曹操出行|36|
|3|高德地图|经济型|T3出行|36|
|4|高德地图|经济型|首汽约车|50|
|5|高德地图|经济型|叮叮出行|51|
|6|高德地图|经济型|及时用车|51|
|7|高德地图|经济型|享道出行|51|
|8|高德地图|经济型|鞍马出行|53|
|9|高德地图|经济型|环旅出行|53|
|10|高德地图|经济型|腾飞出行|53|
|11|高德地图|经济型|阳光出行|53|
|12|高德地图|经济型|有滴出行|53|
|13|高德地图|经济型|风韵出行|53|
|14|高德地图|经济型|365约车|53|
|15|高德地图|经济型|妥妥E行|54|
|16|高德地图|经济型|旅程约车|54|
|17|高德地图|经济型|神州专车|54|
|18|高德地图|经济型|迪尔出行|55|
|19|高德地图|经济型|沛途出行|55|
|20|高德地图|经济型|聚优出租|58|
|21|高德地图|经济型|鞍马聚的新出租|62|
|22|高德地图|特快车|undefined|66|
|23|高德地图|出租车|undefined|73-89|
|24|高德地图|优享型|曹操出行|43|
|25|高德地图|优享型|T3出行|58|
|26|高德地图|优享型|阳光出行|58|
|27|高德地图|优享型|享道出行|60|
|28|高德地图|优享型|首汽约车|62|
|29|高德地图|优享型|鞍马出行|74|
|30|高德地图|优享型|腾飞出行|79|
|31|高德地图|优享型|环旅出行|79|
|32|高德地图|优享型|沛途出行|79|
|33|高德地图|优享型|风韵出行|87|
|34|高德地图|优享型|有滴出行|88|
|35|高德地图|优享型|及时用车|88|
|36|高德地图|优享型|神州专车|88|
|37|高德地图|优享型|叮叮出行|89|
|38|高德地图|优享型|旅程约车|89|
|39|高德地图|品质专车|undefined|78-126|
|40|高德地图|六座商务|undefined|148-199|","20,21,23","经济型|聚优出租,经济型|鞍马聚的新出租,出租车|undefined",顾存虹,"[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": True, ""price_min"": 90, ""price_max"": 90, ""fast"": False}]",无,,出租车,,无,聚优出租，鞍马聚的新出租,TRUE,,90,,90,,1.092038393,直接命中车小类关键字但answer中没有或错误,,王笑,,,,,,
Qwen2.5-32B-Instruct,五个人准备去水游城，吃饭，麻烦呼叫个车,"

|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图||极速拼车|9.4-15.0|
|1|高德地图||特惠快车|10.3-13.6|
|2|高德地图|经济型|曹操出行|10|
|3|高德地图|经济型|有滴出行|13|
|4|高德地图|经济型|及时用车|13|
|5|高德地图|经济型|叮叮出行|13|
|6|高德地图|经济型|365约车|14|
|7|高德地图|经济型|鞍马出行|14|
|8|高德地图|经济型|享道出行|14|
|9|高德地图|经济型|风韵出行|14|
|10|高德地图|经济型|环旅出行|14|
|11|高德地图|经济型|旅程约车|14|
|12|高德地图|经济型|T3出行|14|
|13|高德地图|经济型|妥妥E行|14|
|14|高德地图|经济型|腾飞出行|14|
|15|高德地图|经济型|沛途出行|14|
|16|高德地图|经济型|神州专车|14|
|17|高德地图|经济型|阳光出行|14|
|18|高德地图|经济型|首汽约车|14|
|19|高德地图|经济型|迪尔出行|14|
|20|高德地图|经济型|腾飞新出租|14|
|21|高德地图|经济型|聚优出租|16|
|22|高德地图|经济型|南京出租|16|
|23|高德地图|特快车|undefined|18|
|24|高德地图|出租车|undefined|20-23|
|25|高德地图|优享型|曹操出行|12|
|26|高德地图|优享型|阳光出行|16|
|27|高德地图|优享型|享道出行|17|
|28|高德地图|优享型|首汽约车|17|
|29|高德地图|优享型|T3出行|18|
|30|高德地图|优享型|鞍马出行|21|
|31|高德地图|优享型|腾飞出行|22|
|32|高德地图|优享型|环旅出行|22|
|33|高德地图|优享型|有滴出行|23|
|34|高德地图|优享型|及时用车|23|
|35|高德地图|优享型|神州专车|23|
|36|高德地图|优享型|叮叮出行|23|
|37|高德地图|优享型|风韵出行|23|
|38|高德地图|优享型|旅程约车|25|
|39|高德地图|品质专车|undefined|23-34|
|40|高德地图|六座商务|undefined|46-50|\",无,无|无,顾存虹,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,,无,,FALSE,,0,,0,,1.062755823,,,王笑,,,,,,
