query,车辆候选列表,车型组合,category,category正确答案,mode,mode正确答案
下午要赶飞机，从春熙路打的到双流机场的舒适型车有吗,[],[],,经济型,,旅程约车，聚优出租
天津滨海机场到古文化街需要舒适型车辆，听说那边游客多,[],[],,经济型,,旅程约车，聚优出租
下午要去广州塔拍摄，从佛山祖庙打的优先推荐车型,[],[],,优享型，出租，拼车，特惠快车，经济型,,T3出行，出租车，曹操出行，极速拼车，特惠快车，阳光出行
沈阳中街到桃仙机场需要舒适型服务，带两位外籍合作伙伴,[],[],,经济型,,旅程约车，聚优出租
长沙五一广场到黄花机场筛选推荐大类，国际航班要准时,[],[],,优享型，出租，拼车，特惠快车，经济型,,T3出行，出租车，曹操出行，极速拼车，特惠快车，阳光出行
上海静安寺到虹桥站需要花小猪正价版，带着样品去参展,[],[],,优享型，经济型,,及时用车，曹操出行
滇池国际会展中心的展会物料急需运送，从长水机场打的，要用“高德秒送”车型,[],[],,送东西,,高德秒送
黄花机场的国际航班要赶，长沙五一广场，需要推荐类车型,[],[],,推荐,,品质专车，特价拼车，顺风车
宝安机场T3到腾讯滨海大厦有保密会议，直接打出租车更安全,[],[],,出租，出租车，特惠快车，经济，经济型,,出租车，南京出租，聚优出租，聚的出租车，聚的新出租，腾飞新出租，鞍马聚的-低档，鞍马聚的-高档出租车，鞍马聚的新出租
意式风情街的商务宴请，天津滨海机场过来，需要阳光出行车型,[],[],,优享型，特惠快车，经济，经济型,,阳光出行
拙政园景区考察古建，苏州东方之门出发，用“环旅出行”车型，适配文化主题,[],[],,优享型，品质专车，特惠快车，经济，经济型,,环旅出行
鼓浪屿三丘田码头的船舶配件，高崎机场用享道出行确保准时送达,[],[],,优享型，六座商务，品质专车，特惠快车，经济，经济型,,享道出行
灵山大佛开光法会物资，硕放机场下单，使用风韵出行车型的车,[],[],,优享型，品质专车，特惠快车，经济，经济型,,风韵出行
沈阳故宫的修复器材运输，桃仙机场选经济分类的车,[],[],,经济，经济型,,365约车，T3出行，享道出行，南京出租，及时用车，叮叮出行，妥妥E行，旅程约车，曹操出行，有序出行，有滴出行，沛途出行，环旅出行，神州专车，聚优出租，聚优出行，腾飞出行，腾飞新出租，迪尔出行，阳光出行，鞍马出行，鞍马聚的新出租，风韵出行，首汽约车
中央大街步行街的巡展道具，太平机场预约聚优出租夜间配送,[],[],,特惠快车，经济，经济型,,聚优出租
净月潭国家森林公园团建，龙嘉机场叫南京出租竟能开发票报销,[],[],,特惠快车，经济，经济型,,南京出租
平潭岛龙王头海滩拍摄器材，火车南站打的，使用腾飞出行车型的车,[],[],,优享型，六座商务，品质专车，特惠快车，经济，经济型,,腾飞出行
长隆海洋王国的生物样本，金湾机场，指定聚优出行车型的车，冷链运输,[],[],,特惠快车，经济型,,聚优出行
清晖园博物馆古籍修复，顺德华侨城出发，用365约车车型的车,[],[],,优享型，特惠快车，经济，经济型,,365约车
中华恐龙园设备维护，奔牛机场到园区，叫鞍马出行车型的车，带升降梯车型,[],[],,优享型，品质专车，特惠快车，经济，经济型,,鞍马出行
滕王阁夜景拍摄器材，昌北机场，使用首汽约车车型的车,[],[],,优享型，六座商务，品质专车，特惠快车，经济，经济型,,首汽约车
青岩古镇非遗展品，龙洞堡机场到北门，需要及时用车车型的车，夜间押运,[],[],,优享型，特惠快车，经济，经济型,,及时用车
广西民族博物馆民族服饰，万象城到馆区选六座商务类目挂衣车型,[],[],,六座商务,,享道出行，六座商务，叮叮出行，特价专车，神州专车，腾飞出行，首汽约车
布达拉宫广场庆典物资，贡嘎机场，预约聚的新出租车型的车,[],[],,特惠快车,,聚的新出租
塔尔寺酥油花展品运输，曹家堡机场统一安排，需要经济型分类车型的车,[],[],,经济，经济型,,365约车，T3出行，享道出行，南京出租，及时用车，叮叮出行，妥妥E行，旅程约车，曹操出行，有序出行，有滴出行，沛途出行，环旅出行，神州专车，聚优出租，聚优出行，腾飞出行，腾飞新出租，迪尔出行，阳光出行，鞍马出行，鞍马聚的新出租，风韵出行，首汽约车
太平山顶的贵宾接待，香港机场使用品质专车带星空顶配置,[],[],,专车，品质专车，推荐,,享道出行，叮叮出行，品质专车，有序出行，环旅出行，神州专车，腾飞出行，鞍马出行，风韵出行，首汽约车
