model,query,车辆候选列表,id,大类|小类,answer,app,正确答案,app名称,category,category正确答案,车大类,mode,mode正确答案,车小类,price,正确答案.1,是否存在价格,price_min,正确答案.2,价格下限,price_max,正确答案.3,价格上限,think_time,问题,备注,标注人,_vehicle_pairs,_gt_category,_gt_mode,_history,_query
Qwen2.5-32B-Instruct,去社区医院预约特快出租车用滴滴,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|28.45|
|1|滴滴|推荐|特惠快车|30.24|
|2|滴滴|推荐|滴滴快车|30.34|
|3|滴滴|推荐|特快出租车|32.43|
|4|滴滴|拼车|特价拼车|30.62-32.11|
|5|滴滴|拼车|极速拼车|34.47-35.49|
|6|滴滴|特价|花小猪外接版|37.48|
|7|滴滴|特价|惊喜特价|41.39|
|8|滴滴|快速|曹操出行|55.08|
|9|滴滴|快速|出租车|57.34|
|10|滴滴|快速|滴滴轻享|57.49|
|11|滴滴|快速|滴滴特快|58.18|
|12|滴滴|快速|滴滴优享|58.26|
|13|滴滴|快速|滴滴快车|58.81|
|14|滴滴|快速|宽敞好车|60.62|
|15|滴滴|舒适|滴滴专车|70.20|
|16|滴滴|舒适|滴滴豪华车|72.38|
|17|滴滴|六座|六座专车|111.16|",,,"[{""app"": ""滴滴"", ""category"": ""特快出租车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",滴滴,,滴滴,特快出租车,无,无,无,特快出租车，出租车,特快出租车，出租车,False,,False,0,,0,0,,0,1.11655426,直接命中车小类关键字但answer中没有或错误,,王笑,"[{'六座': '六座专车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",无,特快出租车，出租车,,去社区医院预约特快出租车用滴滴
Qwen2.5-32B-Instruct,到疫苗接种点打辆特快出租车价格15元内,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|11-14|
|1|高德地图|     |特惠快车|12-12|
|2|高德地图|经济型|腾飞出行|13|
|3|高德地图|经济型|旗妙出行|14|
|4|高德地图|经济型|J刻出行|14|
|5|高德地图|经济型|妥妥E行|14|
|6|高德地图|经济型|及时用车|15|
|7|高德地图|经济型|K9用车|15|
|8|高德地图|经济型|如祺出行|16|
|9|高德地图|经济型|飞嘀打车|17|
|10|高德地图|经济型|聚的新出租|17|
|11|高德地图|经济型|中军出行|17|
|12|高德地图|经济型|北京的士|17|
|13|高德地图|经济型|中交出行|17|
|14|高德地图|特快车|超值体验 更快上车|15|
|15|高德地图|出租车|车多应答快|20|
|16|高德地图|优享型|腾飞出行|19|
|17|高德地图|优享型|旗妙出行|19|
|18|高德地图|优享型|全民GO|20|
|19|高德地图|优享型|妥妥E行|20|
|20|高德地图|优享型|优e出行特选|21|
|21|高德地图|优享型|火箭出行|21|
|22|高德地图|优享型|曹操出行|21|
|23|高德地图|优享型|斑马快跑|21|
|24|高德地图|优享型|T3出行|22|
|25|高德地图|优享型|东潮出行|23|
|26|高德地图|优享型|神州专车|23|
|27|高德地图|优享型|星徽出行|23|
|28|高德地图|优享型|享道出行|23|
|29|高德地图|轻享专车|静音不打扰 整洁无异味|24|
|30|高德地图|品质专车|静音不打扰 整洁无异味|25|
|31|高德地图|六座商务|宽敞空间 商务体验|27|
|32|高德地图|豪华型|车型高端 服务专业|30|
|33|高德地图|经济|首汽约车|33|
|34|高德地图|拼车|出租车拼车|36|
|35|高德地图|特价出发|更多特价|39|
|36|高德地图|快速出发|无|45|
|37|高德地图|惠享专车|好车好服务|48|
|38|高德地图|推荐|推荐专车|55|
