model,query,appname,车辆候选列表,answer,app,正确答案,app名称,category,category正确答案,车大类,mode,mode正确答案,车小类,price,正确答案.1,是否存在价格,price_min,正确答案.2,价格下限,price_max,正确答案.3,价格下限.1,think_time,问题,备注,标注人,_vehicle_pairs,_history,_query,_gt_category,_gt_mode
Qwen2.5-32B-Instruct,打车去大梅沙滨海公园，选79元以内的车型,高德,"

|序号id|车型大类|车辆类型|价格|
|---|---|---|---|
|0||远途极速拼|38.4-93.0|
|1||特惠快车|49.9-65.4|
|2|经济型|曹操出行|51|
|3|经济型|5U出行|53|
|4|经济型|中军出行|54|
|5|经济型|斑马快跑|56|
|6|经济型|东潮出行|56|
|7|经济型|神州专车|56|
|8|经济型|飞嘀打车|57|
|9|经济型|中交出行|57|
|10|经济型|T3出行|58|
|11|经济型|全民GO|59|
|12|经济型|妥妥E行|59|
|13|经济型|如祺出行|59|
|14|经济型|及时用车|59|
|15|经济型|享道出行|62|
|16|经济型|阳光出行|73|
|17|经济型|聚的新出租|111|
|18|经济型|深圳出租|111|
|19|特快车|undefined|91|
|20|出租车|undefined||
|21|优享型|中交出行|66|
|22|优享型|东潮出行|66|
|23|优享型|神州专车|67|
|24|优享型|曹操出行|69|
|25|优享型|飞嘀打车|70|
|26|优享型|全民GO|74|
|27|优享型|斑马快跑|75|
|28|优享型|及时用车|77|
|29|优享型|享道出行|77|
|30|优享型|T3出行|80|
|31|优享型|阳光出行|87|
|32|轻享专车|undefined|86-107|
|33|六座商务|undefined|166-195|
|34|豪华型|undefined|185-193|","[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 79, ""fast"": False}]",无,,无,无,,无,无,,无,True,,True,0,,0,79,,79,1.07885313,,,王笑,"[{'5U出行': '53'}, {'T3出行': '58'}, {'T3出行': '80'}, {'undefined': '166-195'}, {'undefined': '185-193'}, {'undefined': '86-107'}, {'undefined': '91'}, {'东潮出行': '56'}, {'东潮出行': '66'}, {'中交出行': '57'}, {'中交出行': '66'}, {'中军出行': '54'}, {'享道出行': '62'}, {'享道出行': '77'}, {'全民GO': '59'}, {'全民GO': '74'}, {'及时用车': '59'}, {'及时用车': '77'}, {'如祺出行': '59'}, {'妥妥E行': '59'}, {'斑马快跑': '56'}, {'斑马快跑': '75'}, {'曹操出行': '51'}, {'曹操出行': '69'}, {'深圳出租': '111'}, {'神州专车': '56'}, {'神州专车': '67'}, {'聚的新出租': '111'}, {'阳光出行': '73'}, {'阳光出行': '87'}, {'飞嘀打车': '57'}, {'飞嘀打车': '70'}]",,打车去大梅沙滨海公园，选79元以内的车型,,
Qwen2.5-32B-Instruct,打车去民乐，选60元以上的车型,高德,"

|序号id|车型大类|车辆类型|价格|
|---|---|---|---|
|0||极速拼车|11.8-19.0|
|1||特惠快车|9.5-12.5|
|2|经济型|曹操出行|9|
|3|经济型|神州专车|10|
|4|经济型|中交出行|11|
|5|经济型|5U出行|11|
|6|经济型|妥妥E行|11|
|7|经济型|全民GO|11|
|8|经济型|T3出行|11|
|9|经济型|及时用车|12|
|10|经济型|首汽约车|12|
|11|经济型|如祺出行|12|
|12|经济型|东潮出行|12|
|13|经济型|享道出行|13|
|14|经济型|飞嘀打车|14|
|15|经济型|阳光出行|15|
|16|经济型|斑马快跑|15|
|17|经济型|中军出行|16|
|18|经济型|聚的新出租|18|
|19|经济型|深圳出租|18|
|20|特快车|undefined|19|
|21|出租车|undefined||
|22|惠享专车|undefined|12-14|
|23|优享型|中交出行|12|
|24|优享型|东潮出行|13|
|25|优享型|神州专车|13|
|26|优享型|全民GO|14|
|27|优享型|妥妥E行|14|
|28|优享型|T3出行|14|
|29|优享型|及时用车|14|
|30|优享型|首汽约车|15|
|31|优享型|飞嘀打车|15|
|32|优享型|曹操出行|16|
|33|优享型|阳光出行|17|
|34|轻享专车|undefined|16-27|
|35|六座商务|undefined|28-44|
|36|豪华型|undefined|35-45|","[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 60, ""price_max"": 100000, ""fast"": False}]",无,,无,无,,无,无,,无,True,,True,60,,60,100000,,100000,1.146320343,,,王笑,"[{'5U出行': '11'}, {'T3出行': '11'}, {'T3出行': '14'}, {'undefined': '12-14'}, {'undefined': '16-27'}, {'undefined': '19'}, {'undefined': '28-44'}, {'undefined': '35-45'}, {'东潮出行': '12'}, {'东潮出行': '13'}, {'中交出行': '11'}, {'中交出行': '12'}, {'中军出行': '16'}, {'享道出行': '13'}, {'全民GO': '11'}, {'全民GO': '14'}, {'及时用车': '12'}, {'及时用车': '14'}, {'如祺出行': '12'}, {'妥妥E行': '11'}, {'妥妥E行': '14'}, {'斑马快跑': '15'}, {'曹操出行': '16'}, {'曹操出行': '9'}, {'深圳出租': '18'}, {'神州专车': '10'}, {'神州专车': '13'}, {'聚的新出租': '18'}, {'阳光出行': '15'}, {'阳光出行': '17'}, {'飞嘀打车': '14'}, {'飞嘀打车': '15'}, {'首汽约车': '12'}, {'首汽约车': '15'}]",,打车去民乐，选60元以上的车型,,
Qwen2.5-32B-Instruct,我要从家/公司去动物园，帮忙叫个快车，价格一定不能高于60,高德,"

|序号id|车型大类|车辆类型|价格|
|---|---|---|---|
|0||极速拼车|38.9-59.0|
|1||特惠快车|37.6-39|
|2|经济型|曹操出行|39|
|3|经济型|享道出行|44|
|4|经济型|T3出行|49|
|5|经济型|阳光出行|51|
|6|经济型|有滴出行|52|
|7|经济型|首汽约车|53|
|8|经济型|鞍马出行|53|
|9|经济型|神州专车|53|
|10|经济型|腾飞出行|53|
|11|经济型|叮叮出行|53|
|12|经济型|环旅出行|54|
|13|经济型|及时用车|55|
|14|经济型|旅程约车|55|
|15|经济型|迪尔出行|56|
|16|经济型|风韵出行|57|
|17|经济型|365约车|57|
|18|经济型|沛途出行|59|
|19|经济型|聚优出租|59|
|20|经济型|腾飞新出租|63|
|21|经济型|鞍马聚的新出租|66|
|22|特快车|undefined|71|
|23|出租车|undefined||
|24|优享型|曹操出行|44|
|25|优享型|阳光出行|57|
|26|优享型|享道出行|60|
|27|优享型|T3出行|60|
|28|优享型|首汽约车|63|
|29|优享型|鞍马出行|78|
|30|优享型|风韵出行|79|
|31|优享型|腾飞出行|82|
|32|优享型|有滴出行|82|
|33|优享型|及时用车|82|
|34|优享型|神州专车|82|
|35|优享型|环旅出行|83|
|36|优享型|叮叮出行|84|
|37|优享型|旅程约车|84|
|38|优享型|365约车|89|
|39|品质专车|undefined|79-130|
|40|六座商务|undefined|149-203|","[{""app"": ""无"", ""category"": ""快车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 60, ""fast"": False}]",无,,无,快车,特快车,特快车,无,极速拼车，特惠快车,极速拼车，特惠快车,True,,True,0,,0,60,,60,1.058444738,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,王笑,"[{'365约车': '57'}, {'365约车': '89'}, {'T3出行': '49'}, {'T3出行': '60'}, {'undefined': '149-203'}, {'undefined': '71'}, {'undefined': '79-130'}, {'享道出行': '44'}, {'享道出行': '60'}, {'及时用车': '55'}, {'及时用车': '82'}, {'叮叮出行': '53'}, {'叮叮出行': '84'}, {'旅程约车': '55'}, {'旅程约车': '84'}, {'曹操出行': '39'}, {'曹操出行': '44'}, {'有滴出行': '52'}, {'有滴出行': '82'}, {'沛途出行': '59'}, {'环旅出行': '54'}, {'环旅出行': '83'}, {'神州专车': '53'}, {'神州专车': '82'}, {'聚优出租': '59'}, {'腾飞出行': '53'}, {'腾飞出行': '82'}, {'腾飞新出租': '63'}, {'迪尔出行': '56'}, {'阳光出行': '51'}, {'阳光出行': '57'}, {'鞍马出行': '53'}, {'鞍马出行': '78'}, {'鞍马聚的新出租': '66'}, {'风韵出行': '57'}, {'风韵出行': '79'}, {'首汽约车': '53'}, {'首汽约车': '63'}]",,我要从家/公司去动物园，帮忙叫个快车，价格一定不能高于60,特快车,极速拼车，特惠快车
Qwen2.5-32B-Instruct,麻烦帮我打专车到海底捞，打车费用一定不能高于50,高德,"

|序号id|车型大类|车辆类型|价格|
|---|---|---|---|
|0||极速拼车|12.3-19.0|
|1||特惠快车|11.3-15.5|
|2|经济型|曹操出行|14|
|3|经济型|叮叮出行|17|
|4|经济型|妥妥E行|17|
|5|经济型|享道出行|18|
|6|经济型|有序出行|18|
|7|经济型|鞍马出行|18|
|8|经济型|环旅出行|18|
|9|经济型|腾飞出行|18|
|10|经济型|365约车|18|
|11|经济型|风韵出行|18|
|12|经济型|旅程约车|19|
|13|经济型|神州专车|19|
|14|经济型|有滴出行|19|
|15|经济型|T3出行|19|
|16|经济型|阳光出行|19|
|17|经济型|迪尔出行|19|
|18|经济型|及时用车|19|
|19|经济型|聚优出租|21|
|20|经济型|南京出租|21|
|21|经济型|腾飞新出租|21|
|22|经济型|首汽约车|21|
|23|经济型|鞍马聚的新出租|22|
|24|特快车|undefined|23|
|25|出租车|undefined|26-30|
|26|优享型|曹操出行|15|
|27|优享型|阳光出行|21|
|28|优享型|享道出行|21|
|29|优享型|T3出行|23|
|30|优享型|鞍马出行|26|
|31|优享型|腾飞出行|28|
|32|优享型|环旅出行|28|
|33|优享型|首汽约车|26|
|34|优享型|有滴出行|30|
|35|优享型|及时用车|30|
|36|优享型|神州专车|30|
|37|优享型|叮叮出行|30|
|38|优享型|风韵出行|30|
|39|优享型|旅程约车|31|
|40|优享型|365约车|31|
|41|品质专车|undefined|29-47|
|42|六座商务|undefined|56-67|","[{""app"": ""无"", ""category"": ""专车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 50, ""fast"": False}]",无,,无,专车,品质专车,品质专车,无,神州专车,神州专车,True,,True,0,,0,50,,50,1.073918819,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,王笑,"[{'365约车': '18'}, {'365约车': '31'}, {'T3出行': '19'}, {'T3出行': '23'}, {'undefined': '23'}, {'undefined': '26-30'}, {'undefined': '29-47'}, {'undefined': '56-67'}, {'享道出行': '18'}, {'享道出行': '21'}, {'南京出租': '21'}, {'及时用车': '19'}, {'及时用车': '30'}, {'叮叮出行': '17'}, {'叮叮出行': '30'}, {'妥妥E行': '17'}, {'旅程约车': '19'}, {'旅程约车': '31'}, {'曹操出行': '14'}, {'曹操出行': '15'}, {'有序出行': '18'}, {'有滴出行': '19'}, {'有滴出行': '30'}, {'环旅出行': '18'}, {'环旅出行': '28'}, {'神州专车': '19'}, {'神州专车': '30'}, {'聚优出租': '21'}, {'腾飞出行': '18'}, {'腾飞出行': '28'}, {'腾飞新出租': '21'}, {'迪尔出行': '19'}, {'阳光出行': '19'}, {'阳光出行': '21'}, {'鞍马出行': '18'}, {'鞍马出行': '26'}, {'鞍马聚的新出租': '22'}, {'风韵出行': '18'}, {'风韵出行': '30'}, {'首汽约车': '21'}, {'首汽约车': '26'}]",,麻烦帮我打专车到海底捞，打车费用一定不能高于50,品质专车,神州专车
Qwen2.5-32B-Instruct,请帮我叫个专车，去三江学院,高德,"

|序号id|车型大类|车辆类型|价格|
|---|---|---|---|
|0||极速拼车|9.3-15.0|
|1||特惠快车|9.2-13.7|
|2|经济型|腾飞出行|13|
|3|经济型|妥妥E行|14|
|4|经济型|及时用车|14|
|5|经济型|鞍马出行|14|
|6|经济型|旅程约车|14|
|7|经济型|风韵出行|14|
|8|经济型|享道出行|14|
|9|经济型|有序出行|14|
|10|经济型|环旅出行|14|
|11|经济型|沛途出行|14|
|12|经济型|迪尔出行|14|
|13|经济型|神州专车|14|
|14|经济型|曹操出行|14|
|15|经济型|365约车|14|
|16|经济型|有滴出行|15|
|17|经济型|叮叮出行|15|
|18|经济型|阳光出行|15|
|19|经济型|T3出行|15|
|20|经济型|聚优出租|15|
|21|经济型|首汽约车|16|
|22|经济型|南京出租|16|
|23|经济型|鞍马聚的新出租|17|
|24|特快车|undefined|18|
|25|出租车|undefined|19-21|
|26|优享型|阳光出行|16|
|27|优享型|享道出行|16|
|28|优享型|T3出行|18|
|29|优享型|曹操出行|18|
|30|优享型|首汽约车|19|
|31|优享型|有滴出行|21|
|32|优享型|风韵出行|21|
|33|优享型|鞍马出行|22|
|34|优享型|旅程约车|23|
|35|优享型|环旅出行|23|
|36|优享型|腾飞出行|23|
|37|优享型|叮叮出行|24|
|38|优享型|沛途出行|24|
|39|优享型|365约车|27|
|40|品质专车|undefined|26-32|
|41|六座商务|undefined|42-48|","[{""app"": ""无"", ""category"": ""专车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,专车,品质专车,品质专车,无,神州专车,神州专车,False,,False,0,,0,0,,0,1.052717209,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,王笑,"[{'365约车': '14'}, {'365约车': '27'}, {'T3出行': '15'}, {'T3出行': '18'}, {'undefined': '18'}, {'undefined': '19-21'}, {'undefined': '26-32'}, {'undefined': '42-48'}, {'享道出行': '14'}, {'享道出行': '16'}, {'南京出租': '16'}, {'及时用车': '14'}, {'叮叮出行': '15'}, {'叮叮出行': '24'}, {'妥妥E行': '14'}, {'旅程约车': '14'}, {'旅程约车': '23'}, {'曹操出行': '14'}, {'曹操出行': '18'}, {'有序出行': '14'}, {'有滴出行': '15'}, {'有滴出行': '21'}, {'沛途出行': '14'}, {'沛途出行': '24'}, {'环旅出行': '14'}, {'环旅出行': '23'}, {'神州专车': '14'}, {'聚优出租': '15'}, {'腾飞出行': '13'}, {'腾飞出行': '23'}, {'迪尔出行': '14'}, {'阳光出行': '15'}, {'阳光出行': '16'}, {'鞍马出行': '14'}, {'鞍马出行': '22'}, {'鞍马聚的新出租': '17'}, {'风韵出行': '14'}, {'风韵出行': '21'}, {'首汽约车': '16'}, {'首汽约车': '19'}]",,请帮我叫个专车，去三江学院,品质专车,神州专车
Qwen2.5-32B-Instruct,帮我打个拼车回家,高德,"

|序号id|车型大类|车辆类型|价格|
|---|---|---|---|
|0||极速拼车|7.7-12.0|
|1||特惠快车|7.2-11.7|
|2|经济型|曹操出行|10|
|3|经济型|腾飞新出租|10|
|4|经济型|及时用车|11|
|5|经济型|享道出行|11|
|6|经济型|妥妥E行|11|
|7|经济型|风韵出行|11|
|8|经济型|旅程约车|11|
|9|经济型|神州专车|11|
|10|经济型|365约车|11|
|11|经济型|鞍马出行|12|
|12|经济型|有序出行|12|
|13|经济型|沛途出行|12|
|14|经济型|环旅出行|12|
|15|经济型|叮叮出行|12|
|16|经济型|迪尔出行|12|
|17|经济型|腾飞出行|12|
|18|经济型|阳光出行|12|
|19|经济型|有滴出行|12|
|20|经济型|T3出行|12|
|21|经济型|首汽约车|13|
|22|经济型|聚优出租|13|
|23|经济型|南京出租|13|
|24|经济型|鞍马聚的新出租|14|
|25|特快车|undefined|15|
|26|出租车|undefined|15-18|
|27|优享型|阳光出行|13|
|28|优享型|享道出行|13|
|29|优享型|曹操出行|14|
|30|优享型|T3出行|15|
|31|优享型|首汽约车|15|
|32|优享型|风韵出行|18|
|33|优享型|有滴出行|18|
|34|优享型|鞍马出行|19|
|35|优享型|旅程约车|19|
|36|优享型|环旅出行|20|
|37|优享型|腾飞出行|20|
|38|优享型|及时用车|20|
|39|优享型|神州专车|20|
|40|优享型|叮叮出行|20|
|41|优享型|沛途出行|20|
|42|品质专车|undefined|22-27|
|43|六座商务|undefined|33-41|","[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,拼车,无,无,无,极速拼车,极速拼车,False,,False,0,,0,0,,0,1.041967392,直接命中车小类关键字但answer中没有或错误,,王笑,"[{'365约车': '11'}, {'T3出行': '12'}, {'T3出行': '15'}, {'undefined': '15'}, {'undefined': '15-18'}, {'undefined': '22-27'}, {'undefined': '33-41'}, {'享道出行': '11'}, {'享道出行': '13'}, {'南京出租': '13'}, {'及时用车': '11'}, {'及时用车': '20'}, {'叮叮出行': '12'}, {'叮叮出行': '20'}, {'妥妥E行': '11'}, {'旅程约车': '11'}, {'旅程约车': '19'}, {'曹操出行': '10'}, {'曹操出行': '14'}, {'有序出行': '12'}, {'有滴出行': '12'}, {'有滴出行': '18'}, {'沛途出行': '12'}, {'沛途出行': '20'}, {'环旅出行': '12'}, {'环旅出行': '20'}, {'神州专车': '11'}, {'神州专车': '20'}, {'聚优出租': '13'}, {'腾飞出行': '12'}, {'腾飞出行': '20'}, {'腾飞新出租': '10'}, {'迪尔出行': '12'}, {'阳光出行': '12'}, {'阳光出行': '13'}, {'鞍马出行': '12'}, {'鞍马出行': '19'}, {'鞍马聚的新出租': '14'}, {'风韵出行': '11'}, {'风韵出行': '18'}, {'首汽约车': '13'}, {'首汽约车': '15'}]",,帮我打个拼车回家,无,极速拼车
Qwen2.5-32B-Instruct,给我打个200块钱以下的车去句容/翠林水城,高德,"

|序号id|车型大类|车辆类型|价格|
|---|---|---|---|
|0|经济型|T3出行|90|
|1|经济型|曹操出行|102|
|2|经济型|腾飞出行|118|
|3|经济型|及时用车|121|
|4|经济型|神州专车|122|
|5|经济型|旅程约车|124|
|6|经济型|迪尔出行|128|
|7|经济型|腾飞新出租|131|
|8|经济型|聚优出租|131|
|9|经济型|叮叮出行|132|
|10|经济型|南京出租|138|
|11|经济型|享道出行|139|
|12|经济型|鞍马聚的新出租|149|
|13|经济型|环旅出行|149|
|14|经济型|鞍马出行|153|
|15|经济型|风韵出行|153|
|16|经济型|阳光出行|162|
|17|特快车|undefined|162|
|18|出租车|undefined||
|19|优享型|曹操出行|126|
|20|优享型|T3出行|135|
|21|优享型|享道出行|152|
|22|优享型|阳光出行|175|
|23|优享型|旅程约车|182|
|24|优享型|腾飞出行|182|
|25|优享型|神州专车|184|
|26|优享型|叮叮出行|184|
|27|优享型|鞍马出行|198|
|28|优享型|风韵出行|207|
|29|优享型|环旅出行|212|
|30|优享型|首汽约车|219|
|31|品质专车|undefined|189-283|
|32|六座商务|undefined|318-405|","[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 200, ""fast"": False}]",无,,无,无,,无,无,,无,True,,True,0,,0,200,,200,1.092366695,,,王笑,"[{'T3出行': '135'}, {'T3出行': '90'}, {'undefined': '162'}, {'undefined': '189-283'}, {'undefined': '318-405'}, {'享道出行': '139'}, {'享道出行': '152'}, {'南京出租': '138'}, {'及时用车': '121'}, {'叮叮出行': '132'}, {'叮叮出行': '184'}, {'旅程约车': '124'}, {'旅程约车': '182'}, {'曹操出行': '102'}, {'曹操出行': '126'}, {'环旅出行': '149'}, {'环旅出行': '212'}, {'神州专车': '122'}, {'神州专车': '184'}, {'聚优出租': '131'}, {'腾飞出行': '118'}, {'腾飞出行': '182'}, {'腾飞新出租': '131'}, {'迪尔出行': '128'}, {'阳光出行': '162'}, {'阳光出行': '175'}, {'鞍马出行': '153'}, {'鞍马出行': '198'}, {'鞍马聚的新出租': '149'}, {'风韵出行': '153'}, {'风韵出行': '207'}, {'首汽约车': '219'}]",,给我打个200块钱以下的车去句容/翠林水城,,
Qwen2.5-32B-Instruct,我想打车去科技馆，价格不超过30元,高德,"

|序号id|车型大类|车辆类型|价格|
|---|---|---|---|
|0||品质专车|38|
|1||极速拼车|17.3-27.0|
|2||特惠快车|16.3-22.3|
|3|经济型|曹操出行|19|
|4|经济型|T3出行|21|
|5|经济型|叮叮出行|24|
|6|经济型|享道出行|25|
|7|经济型|鞍马出行|25|
|8|经济型|阳光出行|25|
|9|经济型|环旅出行|26|
|10|经济型|腾飞出行|26|
|11|经济型|风韵出行|26|
|12|经济型|有滴出行|26|
|13|经济型|妥妥E行|26|
|14|经济型|旅程约车|26|
|15|经济型|神州专车|26|
|16|经济型|沛途出行|26|
|17|经济型|迪尔出行|26|
|18|经济型|及时用车|27|
|19|经济型|聚优出租|28|
|20|经济型|腾飞新出租|28|
|21|经济型|南京出租|29|
|22|经济型|首汽约车|29|
|23|经济型|鞍马聚的新出租|33|
|24|特快车|undefined|32|
|25|出租车|undefined|34-40|
|26|优享型|曹操出行|24|
|27|优享型|阳光出行|28|
|28|优享型|享道出行|29|
|29|优享型|T3出行|33|
|30|优享型|首汽约车|36|
|31|优享型|鞍马出行|36|
|32|优享型|腾飞出行|39|
|33|优享型|环旅出行|39|
|34|优享型|沛途出行|39|
|35|优享型|有滴出行|42|
|36|优享型|风韵出行|42|
|37|优享型|及时用车|42|
|38|优享型|神州专车|42|
|39|优享型|叮叮出行|43|
|40|优享型|旅程约车|44|
|41|品质专车|undefined|40-59|
|42|六座商务|undefined|74-92|","[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 30, ""fast"": False}]",无,,无,无,,无,无,,无,True,,True,0,,0,30,,30,1.072478771,,,王笑,"[{'T3出行': '21'}, {'T3出行': '33'}, {'undefined': '32'}, {'undefined': '34-40'}, {'undefined': '40-59'}, {'undefined': '74-92'}, {'享道出行': '25'}, {'享道出行': '29'}, {'南京出租': '29'}, {'及时用车': '27'}, {'及时用车': '42'}, {'叮叮出行': '24'}, {'叮叮出行': '43'}, {'妥妥E行': '26'}, {'旅程约车': '26'}, {'旅程约车': '44'}, {'曹操出行': '19'}, {'曹操出行': '24'}, {'有滴出行': '26'}, {'有滴出行': '42'}, {'沛途出行': '26'}, {'沛途出行': '39'}, {'环旅出行': '26'}, {'环旅出行': '39'}, {'神州专车': '26'}, {'神州专车': '42'}, {'聚优出租': '28'}, {'腾飞出行': '26'}, {'腾飞出行': '39'}, {'腾飞新出租': '28'}, {'迪尔出行': '26'}, {'阳光出行': '25'}, {'阳光出行': '28'}, {'鞍马出行': '25'}, {'鞍马出行': '36'}, {'鞍马聚的新出租': '33'}, {'风韵出行': '26'}, {'风韵出行': '42'}, {'首汽约车': '29'}, {'首汽约车': '36'}]",,我想打车去科技馆，价格不超过30元,,
Qwen2.5-32B-Instruct,给我打个出租车去南京站，打车费用不超过50,高德,"

|序号id|车型大类|车辆类型|价格|
|---|---|---|---|
|0||极速拼车|23.0-35.0|
|1||特惠快车|22.1-27.9|
|2|经济型|T3出行|24|
|3|经济型|曹操出行|26|
|4|经济型|享道出行|32|
|5|经济型|有序出行|32|
|6|经济型|叮叮出行|33|
|7|经济型|鞍马出行|33|
|8|经济型|妥妥E行|33|
|9|经济型|腾飞出行|34|
|10|经济型|环旅出行|34|
|11|经济型|365约车|34|
|12|经济型|有滴出行|34|
|13|经济型|阳光出行|34|
|14|经济型|风韵出行|34|
|15|经济型|旅程约车|34|
|16|经济型|神州专车|34|
|17|经济型|迪尔出行|35|
|18|经济型|及时用车|35|
|19|经济型|腾飞新出租|37|
|20|经济型|聚优出租|38|
|21|经济型|南京出租|38|
|22|经济型|首汽约车|39|
|23|经济型|鞍马聚的新出租|40|
|24|特快车|undefined|42|
|25|出租车|undefined|43-52|
|26|优享型|曹操出行|29|
|27|优享型|阳光出行|37|
|28|优享型|享道出行|38|
|29|优享型|T3出行|40|
|30|优享型|首汽约车|48|
|31|优享型|鞍马出行|48|
|32|优享型|腾飞出行|51|
|33|优享型|环旅出行|52|
|34|优享型|365约车|57|
|35|优享型|及时用车|57|
|36|优享型|神州专车|57|
|37|优享型|叮叮出行|57|
|38|优享型|旅程约车|58|
|39|品质专车|undefined|49-79|
|40|六座商务|undefined|94-123|","[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 50, ""fast"": False}]",无,,无,出租车,,出租车,无,腾飞新出租，聚优出租，南京出租，鞍马聚的新出租,腾飞新出租，聚优出租，南京出租，鞍马聚的新出租,True,,True,0,,0,50,,50,1.043031693,直接命中车小类关键字但answer中没有或错误,,王笑,"[{'365约车': '34'}, {'365约车': '57'}, {'T3出行': '24'}, {'T3出行': '40'}, {'undefined': '42'}, {'undefined': '43-52'}, {'undefined': '49-79'}, {'undefined': '94-123'}, {'享道出行': '32'}, {'享道出行': '38'}, {'南京出租': '38'}, {'及时用车': '35'}, {'及时用车': '57'}, {'叮叮出行': '33'}, {'叮叮出行': '57'}, {'妥妥E行': '33'}, {'旅程约车': '34'}, {'旅程约车': '58'}, {'曹操出行': '26'}, {'曹操出行': '29'}, {'有序出行': '32'}, {'有滴出行': '34'}, {'环旅出行': '34'}, {'环旅出行': '52'}, {'神州专车': '34'}, {'神州专车': '57'}, {'聚优出租': '38'}, {'腾飞出行': '34'}, {'腾飞出行': '51'}, {'腾飞新出租': '37'}, {'迪尔出行': '35'}, {'阳光出行': '34'}, {'阳光出行': '37'}, {'鞍马出行': '33'}, {'鞍马出行': '48'}, {'鞍马聚的新出租': '40'}, {'风韵出行': '34'}, {'首汽约车': '39'}, {'首汽约车': '48'}]",,给我打个出租车去南京站，打车费用不超过50,,腾飞新出租，聚优出租，南京出租，鞍马聚的新出租
Qwen2.5-32B-Instruct,打车去观澜版画村，选69元以内的车型,高德,"

|序号id|车型大类|车辆类型|价格|
|---|---|---|---|
|0||极速拼车|32.0-48.0|
|1||特惠快车|40.2-55.9|
|2|经济型|5U出行|42|
|3|经济型|斑马快跑|43|
|4|经济型|神州专车|43|
|5|经济型|飞嘀打车|44|
|6|经济型|中军出行|44|
|7|经济型|中交出行|45|
|8|经济型|东潮出行|46|
|9|经济型|曹操出行|46|
|10|经济型|全民GO|47|
|11|经济型|妥妥E行|47|
|12|经济型|如祺出行|48|
|13|经济型|及时用车|48|
|14|经济型|T3出行|48|
|15|经济型|享道出行|51|
|16|经济型|阳光出行|56|
|17|经济型|聚的新出租|87|
|18|经济型|深圳出租|87|
|19|特快车|undefined|71|
|20|出租车|undefined||
|21|优享型|中交出行|52|
|22|优享型|东潮出行|53|
|23|优享型|神州专车|54|
|24|优享型|飞嘀打车|57|
|25|优享型|妥妥E行|57|
|26|优享型|曹操出行|58|
|27|优享型|斑马快跑|58|
|28|优享型|全民GO|58|
|29|优享型|及时用车|61|
|30|优享型|享道出行|61|
|31|优享型|T3出行|65|
|32|优享型|阳光出行|67|
|33|轻享专车|undefined|67-92|
|34|六座商务|undefined|130-150|
|35|豪华型|undefined|139-153|","[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 69, ""fast"": False}]",无,,无,无,,无,无,,无,True,,True,0,,0,69,,69,1.066503763,,,王笑,"[{'5U出行': '42'}, {'T3出行': '48'}, {'T3出行': '65'}, {'undefined': '130-150'}, {'undefined': '139-153'}, {'undefined': '67-92'}, {'undefined': '71'}, {'东潮出行': '46'}, {'东潮出行': '53'}, {'中交出行': '45'}, {'中交出行': '52'}, {'中军出行': '44'}, {'享道出行': '51'}, {'享道出行': '61'}, {'全民GO': '47'}, {'全民GO': '58'}, {'及时用车': '48'}, {'及时用车': '61'}, {'如祺出行': '48'}, {'妥妥E行': '47'}, {'妥妥E行': '57'}, {'斑马快跑': '43'}, {'斑马快跑': '58'}, {'曹操出行': '46'}, {'曹操出行': '58'}, {'深圳出租': '87'}, {'神州专车': '43'}, {'神州专车': '54'}, {'聚的新出租': '87'}, {'阳光出行': '56'}, {'阳光出行': '67'}, {'飞嘀打车': '44'}, {'飞嘀打车': '57'}]",,打车去观澜版画村，选69元以内的车型,,
