query1,query2,车辆候选列表,app,车大类,车小类,标注人,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,_vehicle_pairs,_gt_category,_gt_mode,_history,_query
打车到望京SOHO，用高德帮我叫辆豪华车。,到蓝色港湾，用滴滴帮我叫辆出租车。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|14.93|
|1|滴滴|推荐|特惠快车|15.24|
|2|滴滴|推荐|滴滴快车|16.77|
|3|滴滴|推荐|特快出租车|17.25|
|4|滴滴|推荐|滴滴特快|18.90|
|5|滴滴|拼车|特价拼车|16.04-17.51|
|6|滴滴|拼车|极速拼车|13.37-14.98|
|7|滴滴|特价|花小猪外接版|20.56|
|8|滴滴|特价|惊喜特价|22.30|
|9|滴滴|快速|曹操出行|23.66|
|10|滴滴|快速|出租车|24.20|
|11|滴滴|快速|滴滴轻享|27.08|
|12|滴滴|快速|滴滴特快|27.52|
|13|滴滴|快速|滴滴优享|27.58|
|14|滴滴|快速|滴滴快车|27.67|
|15|滴滴|快速|宽敞好车|28.13|
|16|滴滴|快速|方舟行|28.26|
|17|滴滴|舒适|滴滴专车|38.02|
|18|滴滴|六座|六座专车|52.94|
|19|滴滴|六座|六座豪华车|53.51|
|20|滴滴|六座|六座快车|54.34|",滴滴,无,特快出租车，出租车,王笑,,,,,,,,,,,,,,"[{'六座': '六座专车'}, {'六座': '六座快车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '滴滴特快'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}]",无,特快出租车，出租车,1. 打车到望京SOHO，用高德帮我叫辆豪华车。,到蓝色港湾，用滴滴帮我叫辆出租车。
我想去首都机场T3，用滴滴叫辆专车。,打车到颐和园东宫门，叫辆拼车。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|23.96|
|1|滴滴|推荐|特惠快车|25.00|
|2|滴滴|推荐|滴滴快车|26.16|
|3|滴滴|推荐|特快出租车|27.82|
|4|滴滴|推荐|滴滴特快|29.16|
|5|滴滴|拼车|特价拼车|19.00-20.50|
|6|滴滴|拼车|极速拼车|22.62-23.72|
|7|滴滴|拼车|滴滴小巴|25.44-27.21|
|8|滴滴|特价|花小猪外接版|30.55|
|9|滴滴|快速|曹操出行|38.83|
