query,车辆候选列表,id,大类|小类,标注人,answer,app,正确答案,category,category正确答案,mode,mode正确答案,price,price正确答案,price_min,price_min正确答案,price_max,price_max正确答案,model,think_time,问题,备注,标注人.1,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,_vehicle_pairs,_gt_category,_gt_mode,_history,_query
叫个车去公司，五分钟内能出发的,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
 {""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
 {""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
 {""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
 {""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
 {""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
 {""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
 {""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
 {""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
 {""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
 {""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
 {""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
 {""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
 {""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
 {""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
 {""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
 {""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
 {""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
 {""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
 {""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
 {""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 12 }",all,all|all,闫宸威,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,,无,,False,,0,,0,,Qwen2.5-32B-Instruct,1.113265991,无诉求,,闫宸威,,,,,,,[],无,无,,叫个车去公司，五分钟内能出发的
叫一辆20以内的专车，从雨花客厅到南京国际博览中心,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
 {""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
 {""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
 {""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
 {""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
 {""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
 {""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
 {""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
 {""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
 {""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
 {""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
 {""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
 {""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
 {""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
 {""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
 {""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
 {""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
 {""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
 {""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
 {""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
 {""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 14 }",102，109，110,"舒适出发|滴滴专车,六座|六座专车，六座|六座专车",闫宸威,"[{""app"": ""无"", ""category"": ""专车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 20, ""fast"": False}]",无,,专车,无,无,滴滴专车、六座专车,True,,0,,20,,Qwen2.5-32B-Instruct,1.099865437,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,闫宸威,,,,,,,[],专车,滴滴专车、六座专车,,叫一辆20以内的专车，从雨花客厅到南京国际博览中心
拼个车去新街口，价格最好在12块以内,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
 {""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
 {""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
 {""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
 {""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
 {""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
 {""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
 {""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
 {""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
 {""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
 {""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
 {""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
 {""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
 {""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
 {""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
 {""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
 {""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
 {""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
 {""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
 {""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
 {""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 15 }","1,2,248,245",拼车|特价拼车，拼车|极速拼车，特价拼车|特价拼车，特价拼车|特价拼车,闫宸威,"[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 12, ""fast"": False}]",无,,拼车,拼车、特价拼车,无,特价拼车、极速拼车,True,,0,,12,,Qwen2.5-32B-Instruct,1.088981152,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,闫宸威,,,,,,,[],拼车、特价拼车,特价拼车、极速拼车,,拼个车去新街口，价格最好在12块以内
去油坊桥地铁站最便宜的专车多少钱,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
 {""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
 {""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
 {""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
 {""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
 {""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
 {""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
 {""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
 {""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
 {""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
 {""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
 {""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
 {""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
 {""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
 {""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
 {""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
 {""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
 {""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
 {""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
 {""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
 {""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 16 }",102，109，110,"舒适出发|滴滴专车,六座|六座专车，六座|六座专车",闫宸威,"[{""app"": ""无"", ""category"": ""专车"", ""mode"": ""无"", ""price"": True, ""price_min"": -1, ""price_max"": 0, ""fast"": False}]",无,,专车,无,无,滴滴专车，六座专车,True,,-1,,0,,Qwen2.5-32B-Instruct,1.057883024,直接命中车小类关键字但answer中没有或错误,,闫宸威,,,,,,,[],专车,滴滴专车，六座专车,,去油坊桥地铁站最便宜的专车多少钱
给我找一辆3分钟内可以上车的专车，去河西万达,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
 {""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
 {""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
 {""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
 {""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
 {""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
 {""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
 {""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
 {""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
 {""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
 {""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
 {""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
 {""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
 {""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
 {""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
 {""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
 {""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
 {""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
 {""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
 {""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
 {""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 17 }",102，109，110,"舒适出发|滴滴专车,六座|六座专车，六座|六座专车",闫宸威,"[{""app"": ""无"", ""category"": ""专车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,专车,无,无,滴滴专车，六座专车,False,,0,,0,,Qwen2.5-32B-Instruct,1.038765192,直接命中车大类关键字但answer中没有或错误,,闫宸威,,,,,,,[],专车,滴滴专车，六座专车,,给我找一辆3分钟内可以上车的专车，去河西万达
去南京理工大，15块以内，除了拼车都可以,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
 {""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
 {""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
 {""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
 {""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
 {""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
 {""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
 {""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
 {""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
 {""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
 {""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
 {""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
 {""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
 {""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
 {""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
 {""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
 {""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
 {""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
 {""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
 {""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
 {""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 18 }","23,24,30,31,91,102,103,109,110,130,131,145,146,181,182,186,187","特价|花小猪外接版,特价|特惠快车,快速|滴滴快车,快速|特快出租车,快速|特快出租车,舒适出发|滴滴专车,舒适出发|滴滴豪华车,六座|六座专车,六座|六座专车,特惠快车|特惠快车,特惠快车|特惠快车,经济|365约车,经济|聚优出租,特快车|特快车,特快车|特快车,出租|出租车,出租|出租车",闫宸威,"[{""app"": ""无"", ""category"": ""不要拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 15, ""fast"": False}]",无,,不要拼车,特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租,无,花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车,True,,0,,15,,Qwen2.5-32B-Instruct,1.081351519,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,闫宸威,,,,,,,[],特价、快速、舒适出发、六座、特惠快车、经济、特快车、出租,花小猪外接版、特惠快车、滴滴快车、特快出租车、滴滴专车、滴滴豪华车、六座专车、特惠快车、365约车、聚优出租、特快车、出租车,,去南京理工大，15块以内，除了拼车都可以
10分钟内能不能来一辆专车送我去火车站,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
 {""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
 {""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
 {""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
 {""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
 {""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
 {""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
 {""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
 {""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
 {""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
 {""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
 {""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
 {""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
 {""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
 {""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
 {""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
 {""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
 {""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
 {""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
 {""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
 {""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 19 }",102，109，110,"舒适出发|滴滴专车,六座|六座专车，六座|六座专车",闫宸威,"[{""app"": ""无"", ""category"": ""专车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,专车,无,无,滴滴专车、六座专车,False,,0,,0,,Qwen2.5-32B-Instruct,1.046867132,直接命中车小类关键字但answer中没有或错误,,闫宸威,,,,,,,[],专车,滴滴专车、六座专车,,10分钟内能不能来一辆专车送我去火车站
打车去清凉山，选择5分钟内可到达的出租车,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
 {""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
 {""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
 {""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
 {""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
 {""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
 {""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
 {""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
 {""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
 {""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
 {""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
 {""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
 {""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
 {""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
 {""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
 {""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
 {""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
 {""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
 {""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
 {""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
 {""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 }","31,91,146,186,187","快速|特快出租车,快速|特快出租车,经济|聚优出租,出租|出租车,出租|出租车",闫宸威,"[{""app"": ""无"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,出租车,出租,无,特快出租车、聚优出租、出租车,False,,0,,0,,Qwen2.5-32B-Instruct,1.050459862,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,闫宸威,,,,,,,[],出租,特快出租车、聚优出租、出租车,,打车去清凉山，选择5分钟内可到达的出租车
去金城花园，价格不高于18，3分钟内能上车最好,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
 {""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
 {""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
 {""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
 {""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
 {""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
 {""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
 {""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
 {""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
 {""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
 {""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
 {""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
 {""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
 {""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
 {""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
 {""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
 {""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
 {""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
 {""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
 {""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
 {""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 21 }",all,all|all,闫宸威,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 18, ""fast"": False}]",无,,无,,无,,True,,0,,18,,Qwen2.5-32B-Instruct,1.061522961,,,闫宸威,,,,,,,[],无,无,,去金城花园，价格不高于18，3分钟内能上车最好
以最低价格打车去中胜地铁站，不考虑商务车,"{""index"": ""1"",""category"":""拼车"",""carModel"": ""特价拼车"", ""price"": 61 },
 {""index"": ""2"",""category"":""拼车"",""carModel"": ""极速拼车"", ""price"": 92 },
 {""index"": ""23"",""category"":""特价"",""carModel"": ""花小猪外接版"", ""price"": 69 },
 {""index"": ""24"",""category"":""特价"",""carModel"": ""特惠快车"", ""price"": 34 },
 {""index"": ""30"",""category"":""快速"",""carModel"": ""滴滴快车"", ""price"": 43 },
 {""index"": ""31"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 8 },
 {""index"": ""91"",""category"":""快速"",""carModel"": ""特快出租车"", ""price"": 11 },
 {""index"": ""102"",""category"":""舒适出发"",""carModel"": ""滴滴专车"", ""price"": 56 },
 {""index"": ""103"",""category"":""舒适出发"",""carModel"": ""滴滴豪华车"", ""price"": 11 },
 {""index"": ""109"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 82 },
 {""index"": ""110"",""category"":""六座"",""carModel"": ""六座专车"", ""price"": 27 },
 {""index"": ""130"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 31 },
 {""index"": ""131"",""category"":""特惠快车"",""carModel"": ""特惠快车"", ""price"": 72 },
 {""index"": ""145"",""category"":""经济"",""carModel"": ""365约车"", ""price"": 13 },
 {""index"": ""146"",""category"":""经济"",""carModel"": ""聚优出租"", ""price"": 33 },
 {""index"": ""181"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 29 },
 {""index"": ""182"",""category"":""特快车"",""carModel"": ""特快车"", ""price"": 15 },
 {""index"": ""186"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 18 },
 {""index"": ""187"",""category"":""出租"",""carModel"": ""出租车"", ""price"": 55 },
 {""index"": ""248"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 20 },
 {""index"": ""245"",""category"":""特价拼车"",""carModel"": ""特价拼车"", ""price"": 22 }","1,2,23,24,30,31,91,102,103,109,110,130,131,145,146,181,182,186,187,248,245","拼车|特价拼车,拼车|极速拼车,特价|花小猪外接版,特价|特惠快车,快速|滴滴快车,快速|特快出租车,快速|特快出租车,舒适出发|滴滴专车,舒适出发|滴滴豪华车,六座|六座专车,六座|六座专车,特惠快车|特惠快车,特惠快车|特惠快车,经济|365约车,经济|聚优出租,特快车|特快车,特快车|特快车,出租|出租车,出租|出租车,特价拼车|特价拼车,特价拼车|特价拼车",闫宸威,"[{""app"": ""无"", ""category"": ""不要商务车"", ""mode"": ""无"", ""price"": True, ""price_min"": -1, ""price_max"": 0, ""fast"": False}]",无,,不要商务车,拼车、特价、快速、舒适出发、特惠快车、经济、特快车、出租、特价拼车,无,特价拼车、极速拼车、花小猪外接版、特惠快车、滴滴快车、特快出租车、特惠快车、365约车、聚优出租、特快车、出租车,True,,-1,,0,,Qwen2.5-32B-Instruct,1.090390444,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,闫宸威,,,,,,,[],拼车、特价、快速、舒适出发、特惠快车、经济、特快车、出租、特价拼车,特价拼车、极速拼车、花小猪外接版、特惠快车、滴滴快车、特快出租车、特惠快车、365约车、聚优出租、特快车、出租车,,以最低价格打车去中胜地铁站，不考虑商务车
