model,query,车辆候选列表,id,大类|小类,answer,app,正确答案,app名称,category,category正确答案,车大类,mode,mode正确答案,车小类,price,正确答案.1,是否包含价格,price_min,正确答案.2,价格下限,price_max,正确答案.3,价格上限,think_time,问题,备注,标注人,_vehicle_pairs,_gt_category,_gt_mode,_history,_query
Qwen2.5-32B-Instruct,打的去机场，不限车型,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|17.24|
|1|滴滴|推荐|特惠快车|17.30|
|2|滴滴|推荐|滴滴快车|18.40|
|3|滴滴|推荐|特快出租车|20.45|
|4|滴滴|推荐|滴滴特快|22.73|
|5|滴滴|拼车|特价拼车|15.12-17.01|
|6|滴滴|拼车|极速拼车|13.48-14.69|
|7|滴滴|特价|花小猪外接版|22.50|
|8|滴滴|特价|惊喜特价|22.57|
|9|滴滴|快速|曹操出行|35.70|
|10|滴滴|快速|出租车|36.23|
|11|滴滴|快速|滴滴轻享|36.99|
|12|滴滴|快速|滴滴特快|37.32|
|13|滴滴|快速|滴滴优享|38.04|
|14|滴滴|快速|滴滴快车|38.37|
|15|滴滴|快速|宽敞好车|38.70|
|16|滴滴|快速|方舟行|38.71|
|17|滴滴|快速|长沙新出租|39.48|
|18|滴滴|快速|武汉新出租|39.63|
|19|滴滴|快速|丽江新出租|40.56|
|20|滴滴|舒适|滴滴专车|45.26|
|21|滴滴|六座|六座专车|83.15|
|22|滴滴|六座|六座豪华车|84.58|",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": True}]",无,,无,无,,无,无,,无,False,,False,0,,0,0,,0,1.090992212,,,王笑,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '丽江新出租'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '武汉新出租'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '滴滴特快'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}]",无,无,,打的去机场，不限车型
Qwen2.5-32B-Instruct,打的到火车站，随便什么车型就行,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|19.41|
|1|滴滴|推荐|特惠快车|20.27|
|2|滴滴|推荐|滴滴快车|20.97|
|3|滴滴|推荐|特快出租车|21.89|
|4|滴滴|拼车|特价拼车|20.32-21.89|
|5|滴滴|拼车|极速拼车|20.55-21.69|
|6|滴滴|特价|花小猪外接版|22.01|
|7|滴滴|特价|惊喜特价|27.53|
|8|滴滴|特价|特惠快车|27.54|
|9|滴滴|快速|曹操出行|35.25|
|10|滴滴|快速|出租车|35.43|
|11|滴滴|快速|滴滴轻享|36.29|
|12|滴滴|快速|滴滴特快|38.05|
|13|滴滴|快速|滴滴优享|38.65|
|14|滴滴|快速|滴滴快车|39.00|
|15|滴滴|快速|宽敞好车|39.18|
|16|滴滴|快速|方舟行|39.36|
|17|滴滴|快速|长沙新出租|39.66|
|18|滴滴|快速|武汉新出租|40.09|
|19|滴滴|舒适|滴滴专车|44.11|
|20|滴滴|舒适|滴滴豪华车|47.14|
|21|滴滴|六座|六座专车|78.11|
|22|滴滴|六座|六座豪华车|80.64|",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": -1, ""price_max"": 0, ""fast"": False}]",无,,无,无,,无,无,,无,False,,False,0,,0,0,,0,1.070941925,,,王笑,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '武汉新出租'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",无,无,,打的到火车站，随便什么车型就行
Qwen2.5-32B-Instruct,打的去医院急诊部，任何可用车辆都可以,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|11.82|
|1|滴滴|推荐|特惠快车|13.80|
|2|滴滴|推荐|滴滴快车|14.33|
|3|滴滴|推荐|特快出租车|14.47|
|4|滴滴|推荐|滴滴特快|14.85|
|5|滴滴|推荐|宽敞好车|15.05|
|6|滴滴|拼车|特价拼车|10.30-11.84|
|7|滴滴|拼车|极速拼车|11.47-12.67|
|8|滴滴|特价|花小猪外接版|14.15|
|9|滴滴|特价|惊喜特价|17.13|
|10|滴滴|快速|曹操出行|21.62|
|11|滴滴|快速|出租车|21.68|
|12|滴滴|快速|滴滴轻享|23.69|
|13|滴滴|快速|滴滴特快|23.78|
|14|滴滴|快速|滴滴优享|24.01|
|15|滴滴|快速|滴滴快车|24.38|
|16|滴滴|快速|宽敞好车|24.49|
|17|滴滴|快速|方舟行|24.80|
|18|滴滴|快速|长沙新出租|26.29|
|19|滴滴|舒适|滴滴专车|26.52|
|20|滴滴|六座|六座专车|41.96|
|21|滴滴|六座|六座豪华车|47.09|",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""所有车型"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]",无,,无,无,,无,所有车型,无,无,False,,False,0,,0,0,,0,1.019220114,其他,车小类无要求,王笑,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '宽敞好车'}, {'推荐': '滴滴快车'}, {'推荐': '滴滴特快'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}]",无,无,,打的去医院急诊部，任何可用车辆都可以
Qwen2.5-32B-Instruct,打的回公司总部，需要发票和行程单,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|24.64|
|1|滴滴|推荐|特惠快车|25.13|
|2|滴滴|推荐|滴滴快车|27.29|
|3|滴滴|推荐|特快出租车|29.35|
|4|滴滴|推荐|滴滴特快|29.66|
|5|滴滴|拼车|特价拼车|19.12-20.64|
|6|滴滴|拼车|极速拼车|18.73-20.63|
|7|滴滴|拼车|滴滴小巴|25.34-26.66|
|8|滴滴|特价|花小猪外接版|25.51|
|9|滴滴|特价|惊喜特价|29.17|
|10|滴滴|快速|曹操出行|44.50|
|11|滴滴|快速|出租车|45.08|
|12|滴滴|快速|滴滴轻享|45.27|
|13|滴滴|快速|滴滴特快|46.07|
|14|滴滴|快速|滴滴优享|46.14|
|15|滴滴|快速|滴滴快车|46.17|
|16|滴滴|快速|宽敞好车|48.73|
|17|滴滴|快速|方舟行|48.94|
|18|滴滴|快速|长沙新出租|49.02|
|19|滴滴|快速|武汉新出租|49.08|
|20|滴滴|舒适|滴滴专车|65.55|
|21|滴滴|六座|六座专车|108.86|
|22|滴滴|六座|六座豪华车|110.24|",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,无,,无,无,,无,False,,False,0,,0,0,,0,1.061019421,,,王笑,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '武汉新出租'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '滴滴小巴'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '滴滴特快'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}]",无,无,,打的回公司总部，需要发票和行程单
Qwen2.5-32B-Instruct,打的去购物中心北门,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|27.90|
|1|滴滴|推荐|特惠快车|29.54|
|2|滴滴|推荐|滴滴快车|30.15|
|3|滴滴|推荐|特快出租车|31.14|
|4|滴滴|推荐|滴滴特快|31.69|
|5|滴滴|推荐|宽敞好车|32.43|
|6|滴滴|拼车|特价拼车|31.79-33.21|
|7|滴滴|拼车|极速拼车|34.12-35.58|
|8|滴滴|特价|花小猪外接版|40.01|
|9|滴滴|特价|惊喜特价|41.46|
|10|滴滴|快速|曹操出行|53.17|
|11|滴滴|快速|出租车|53.23|
|12|滴滴|快速|滴滴轻享|53.89|
|13|滴滴|快速|滴滴特快|54.30|
|14|滴滴|快速|滴滴优享|55.61|
|15|滴滴|快速|滴滴快车|57.45|
|16|滴滴|快速|宽敞好车|57.85|
|17|滴滴|快速|方舟行|58.13|
|18|滴滴|快速|长沙新出租|58.74|
|19|滴滴|舒适|滴滴专车|85.12|
|20|滴滴|六座|六座专车|112.89|
|21|滴滴|六座|六座豪华车|116.82|",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]",无,,无,无,,无,无,,无,False,,False,0,,0,0,,0,0.990285635,,,王笑,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '宽敞好车'}, {'推荐': '滴滴快车'}, {'推荐': '滴滴特快'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}]",无,无,,打的去购物中心北门
Qwen2.5-32B-Instruct,打的到国际会展中心，不用考虑车型,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|16.81|
|1|滴滴|推荐|特惠快车|16.93|
|2|滴滴|推荐|滴滴快车|17.36|
|3|滴滴|推荐|特快出租车|19.14|
|4|滴滴|拼车|特价拼车|11.82-13.81|
|5|滴滴|拼车|极速拼车|16.87-18.47|
|6|滴滴|特价|花小猪外接版|18.29|
|7|滴滴|特价|惊喜特价|18.33|
|8|滴滴|特价|特惠快车|22.37|
|9|滴滴|快速|曹操出行|28.92|
|10|滴滴|快速|出租车|28.97|
|11|滴滴|快速|滴滴轻享|29.19|
|12|滴滴|快速|滴滴特快|29.88|
|13|滴滴|快速|滴滴优享|30.86|
|14|滴滴|快速|滴滴快车|31.06|
|15|滴滴|快速|宽敞好车|31.32|
|16|滴滴|快速|方舟行|31.57|
|17|滴滴|快速|长沙新出租|32.34|
|18|滴滴|舒适|滴滴专车|47.38|
|19|滴滴|六座|六座专车|63.86|
|20|滴滴|六座|六座豪华车|67.60|",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,无,,无,无,,无,False,,False,0,,0,0,,0,1.050309181,,,王笑,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}]",无,无,,打的到国际会展中心，不用考虑车型
Qwen2.5-32B-Instruct,打的赶早班机，要求司机熟悉路线,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|6.75|
|1|滴滴|推荐|特惠快车|6.79|
|2|滴滴|推荐|滴滴快车|8.40|
|3|滴滴|推荐|特快出租车|11.23|
|4|滴滴|拼车|特价拼车|9.41-11.00|
|5|滴滴|拼车|极速拼车|7.58-8.85|
|6|滴滴|特价|花小猪外接版|10.81|
|7|滴滴|特价|惊喜特价|11.58|
|8|滴滴|特价|特惠快车|12.00|
|9|滴滴|快速|曹操出行|14.18|
|10|滴滴|快速|出租车|15.37|
|11|滴滴|快速|滴滴轻享|15.46|
|12|滴滴|快速|滴滴特快|15.70|
|13|滴滴|快速|滴滴优享|17.11|
|14|滴滴|快速|滴滴快车|17.16|
|15|滴滴|快速|宽敞好车|18.82|
|16|滴滴|舒适|滴滴专车|23.79|
|17|滴滴|六座|六座专车|32.96|
|18|滴滴|六座|六座豪华车|34.03|",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,无,,无,无,,无,False,,False,0,,0,0,,0,1.065438986,,,王笑,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '曹操出行'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '特惠快车'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}]",无,无,,打的赶早班机，要求司机熟悉路线
Qwen2.5-32B-Instruct,打的去附近的海底捞，车型无所谓但别绕路,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|25.13|
|1|滴滴|推荐|特惠快车|25.50|
|2|滴滴|推荐|滴滴快车|25.55|
|3|滴滴|推荐|特快出租车|25.87|
|4|滴滴|推荐|滴滴特快|28.18|
|5|滴滴|推荐|宽敞好车|28.95|
|6|滴滴|拼车|特价拼车|31.06-32.86|
|7|滴滴|拼车|极速拼车|28.81-30.41|
|8|滴滴|特价|花小猪外接版|31.73|
|9|滴滴|特价|惊喜特价|33.16|
|10|滴滴|快速|曹操出行|46.71|
|11|滴滴|快速|出租车|47.23|
|12|滴滴|快速|滴滴轻享|47.29|
|13|滴滴|快速|滴滴特快|47.47|
|14|滴滴|快速|滴滴优享|48.00|
|15|滴滴|快速|滴滴快车|48.09|
|16|滴滴|快速|宽敞好车|48.37|
|17|滴滴|快速|方舟行|49.02|
|18|滴滴|快速|长沙新出租|50.17|
|19|滴滴|快速|武汉新出租|51.55|
|20|滴滴|舒适|滴滴专车|67.18|
|21|滴滴|舒适|滴滴豪华车|67.61|
|22|滴滴|六座|六座专车|98.80|
|23|滴滴|六座|六座豪华车|101.66|",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,无,,无,无,,无,False,,False,0,,0,0,,0,1.054365873,,,王笑,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '武汉新出租'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '宽敞好车'}, {'推荐': '滴滴快车'}, {'推荐': '滴滴特快'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",无,无,,打的去附近的海底捞，车型无所谓但别绕路
Qwen2.5-32B-Instruct,打的去学校，20块钱以内,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|11.65|
|1|滴滴|推荐|特惠快车|11.99|
|2|滴滴|推荐|滴滴快车|13.48|
|3|滴滴|推荐|特快出租车|13.58|
|4|滴滴|推荐|滴滴特快|14.80|
|5|滴滴|拼车|特价拼车|13.35-14.67|
|6|滴滴|拼车|极速拼车|17.16-18.80|
|7|滴滴|特价|花小猪外接版|14.33|
|8|滴滴|特价|惊喜特价|17.79|
|9|滴滴|快速|曹操出行|22.80|
|10|滴滴|快速|出租车|22.99|
|11|滴滴|快速|滴滴轻享|24.15|
|12|滴滴|快速|滴滴特快|24.44|
|13|滴滴|快速|滴滴优享|25.16|
|14|滴滴|快速|滴滴快车|25.49|
|15|滴滴|快速|宽敞好车|26.51|
|16|滴滴|快速|方舟行|27.02|
|17|滴滴|快速|长沙新出租|27.87|
|18|滴滴|快速|武汉新出租|27.94|
|19|滴滴|舒适|滴滴专车|41.98|
|20|滴滴|舒适|滴滴豪华车|43.19|
|21|滴滴|六座|六座专车|61.29|
|22|滴滴|六座|六座豪华车|64.52|",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 20, ""fast"": False}]",无,,无,无,,无,无,,无,True,,True,0,,0,20,,20,1.09261632,,,王笑,"[{'六座': '六座专车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '武汉新出租'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'快速': '长沙新出租'}, {'拼车': '极速拼车'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '滴滴特快'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}, {'舒适': '滴滴豪华车'}]",无,无,,打的去学校，20块钱以内
Qwen2.5-32B-Instruct,我要打的回家，价格在20块钱左右,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|12.48|
|1|滴滴|推荐|特惠快车|14.30|
|2|滴滴|推荐|滴滴快车|17.09|
|3|滴滴|推荐|特快出租车|17.36|
|4|滴滴|推荐|滴滴特快|17.48|
|5|滴滴|拼车|特价拼车|15.80-16.92|
|6|滴滴|拼车|极速拼车|12.24-13.28|
|7|滴滴|拼车|滴滴小巴|18.24-19.67|
|8|滴滴|特价|花小猪外接版|17.43|
|9|滴滴|特价|惊喜特价|21.06|
|10|滴滴|快速|曹操出行|24.82|
|11|滴滴|快速|出租车|24.91|
|12|滴滴|快速|滴滴轻享|25.30|
|13|滴滴|快速|滴滴特快|26.46|
|14|滴滴|快速|滴滴优享|26.59|
|15|滴滴|快速|滴滴快车|28.03|
|16|滴滴|快速|宽敞好车|28.83|
|17|滴滴|快速|方舟行|29.29|
|18|滴滴|舒适|滴滴专车|32.64|
|19|滴滴|六座|六座专车|54.76|
|20|滴滴|六座|六座豪华车|55.89|
|21|滴滴|六座|六座快车|57.65|",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": True, ""price_min"": 10, ""price_max"": 10, ""fast"": False}]",无,,无,无,,无,无,,无,True,,True,18,,18,22,,22,1.086647749,,,王笑,"[{'六座': '六座专车'}, {'六座': '六座快车'}, {'六座': '六座豪华车'}, {'快速': '出租车'}, {'快速': '宽敞好车'}, {'快速': '方舟行'}, {'快速': '曹操出行'}, {'快速': '滴滴优享'}, {'快速': '滴滴快车'}, {'快速': '滴滴特快'}, {'快速': '滴滴轻享'}, {'拼车': '极速拼车'}, {'拼车': '滴滴小巴'}, {'拼车': '特价拼车'}, {'推荐': '滴滴快车'}, {'推荐': '滴滴特快'}, {'推荐': '特快出租车'}, {'推荐': '特惠快车'}, {'推荐': '花小猪正价版'}, {'特价': '惊喜特价'}, {'特价': '花小猪外接版'}, {'舒适': '滴滴专车'}]",无,无,,我要打的回家，价格在20块钱左右
Qwen2.5-32B-Instruct,打的去高铁站，赶时间。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|8.71|
|1|滴滴|推荐|特惠快车|9.72|
|2|滴滴|推荐|滴滴快车|9.93|
|3|滴滴|推荐|特快出租车|11.76|
|4|滴滴|拼车|特价拼车|8.29-9.67|
|5|滴滴|拼车|极速拼车|8.64-10.03|
|6|滴滴|特价|花小猪外接版|10.88|
|7|滴滴|特价|惊喜特价|14.29|
|8|滴滴|特价|特惠快车|15.21|
|9|滴滴|快速|曹操出行|17.58|
|10|滴滴|快速|出租车|17.64|
|11|滴滴|快速|滴滴轻享|17.89|
|12|滴滴|快速|滴滴特快|18.27|
|13|滴滴|快速|滴滴优享|18.99|
|14|滴滴|快速|滴滴快车|19.51|
