query,车辆候选列表,query.1,answer,app,正确答案,category,category正确答案,mode,mode正确答案,price,price_min,price_max,问题,备注,标注人,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,_vehicle_pairs,_history,_query,_gt_category,_gt_mode,_gt_full_match
打个拼车去机场，价格不超过50元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|56-59|
|1|高德地图|     |特惠快车|61-62|
|2|高德地图|经济型|腾飞新出租|65|
|3|高德地图|经济型|鞍马出行|65|
|4|高德地图|经济型|聚的出租车|65|
|5|高德地图|经济型|全民GO|65|
|6|高德地图|经济型|深圳出租|66|
|7|高德地图|经济型|添猫出行|66|
|8|高德地图|经济型|旗妙出行|66|
|9|高德地图|经济型|神州专车|66|
|10|高德地图|经济型|奇华出行|67|
|11|高德地图|经济型|900出行|67|
|12|高德地图|经济型|T3出行|67|
|13|高德地图|经济型|迪尔出行|67|
|14|高德地图|经济型|有滴出行|67|
|15|高德地图|经济型|中军出行|67|
|16|高德地图|经济型|腾飞出行|68|
|17|高德地图|经济型|国泰出租|68|
|18|高德地图|经济型|5U出行|68|
|19|高德地图|经济型|曹操出行|68|
|20|高德地图|经济型|飞嘀打车|69|
|21|高德地图|经济型|阳光出行|69|
|22|高德地图|特快车|超值体验 更快上车|76|
|23|高德地图|出租车|车多应答快|80|
|24|高德地图|出租车|鞍马聚的-高档出租车|81|
|25|高德地图|优享型|妥妥E行|88|
|26|高德地图|优享型|首汽约车|88|
|27|高德地图|优享型|旅程专车|88|
|28|高德地图|优享型|风韵出行|89|
|29|高德地图|优享型|全民GO|89|
|30|高德地图|优享型|T3出行|89|
|31|高德地图|优享型|曹操出行|90|
|32|高德地图|优享型|享道出行|90|
|33|高德地图|优享型|及时用车|90|
|34|高德地图|优享型|火箭出行|90|
|35|高德地图|优享型|飞嘀打车|91|
|36|高德地图|优享型|东潮出行|91|
|37|高德地图|优享型|神州专车|91|
|38|高德地图|优享型|中交出行|91|
|39|高德地图|优享型|优e出行特选|92|
|40|高德地图|优享型|添猫出行|92|
|41|高德地图|轻享专车|静音不打扰 整洁无异味|99|
|42|高德地图|品质专车|静音不打扰 整洁无异味|109|
|43|高德地图|六座商务|宽敞空间 商务体验|119|
|44|高德地图|豪华型|车型高端 服务专业|134|
|45|高德地图|经济|首汽约车|144|
|46|高德地图|拼车|出租车拼车|160|
|47|高德地图|特价出发|更多特价|175|
|48|高德地图|特价出发|惊喜特价|177|
|49|高德地图|快速出发|无|194|
|50|高德地图|惠享专车|精选车型 优质司机|213|
|51|高德地图|惠享专车|T3出行|213|
|52|高德地图|推荐|极速拼车|236|
|53|高德地图|豪华型|undefined|152-155|",打个拼车去机场，价格不超过50元。,"[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 50, ""fast"": False}]",无,,拼车,,无,极速拼车,True,0,50,,,王笑,,,,,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'T3出行'}, {'优享型': '东潮出行'}, {'优享型': '中交出行'}, {'优享型': '享道出行'}, {'优享型': '优e出行特选'}, {'优享型': '全民GO'}, {'优享型': '及时用车'}, {'优享型': '妥妥E行'}, {'优享型': '旅程专车'}, {'优享型': '曹操出行'}, {'优享型': '添猫出行'}, {'优享型': '火箭出行'}, {'优享型': '神州专车'}, {'优享型': '风韵出行'}, {'优享型': '飞嘀打车'}, {'优享型': '首汽约车'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'出租车': '鞍马聚的-高档出租车'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': 'T3出行'}, {'惠享专车': '精选车型 优质司机'}, {'拼车': '出租车拼车'}, {'推荐': '极速拼车'}, {'特价出发': '惊喜特价'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '5U出行'}, {'经济型': '900出行'}, {'经济型': 'T3出行'}, {'经济型': '中军出行'}, {'经济型': '全民GO'}, {'经济型': '国泰出租'}, {'经济型': '奇华出行'}, {'经济型': '旗妙出行'}, {'经济型': '曹操出行'}, {'经济型': '有滴出行'}, {'经济型': '深圳出租'}, {'经济型': '添猫出行'}, {'经济型': '神州专车'}, {'经济型': '聚的出租车'}, {'经济型': '腾飞出行'}, {'经济型': '腾飞新出租'}, {'经济型': '迪尔出行'}, {'经济型': '阳光出行'}, {'经济型': '鞍马出行'}, {'经济型': '飞嘀打车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",,打个拼车去机场，价格不超过50元。,拼车,极速拼车,
叫个拼车去火车站，价格在30到60元之间。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|56-58|
|1|高德地图|     |特惠快车|61-61|
|2|高德地图|经济型|旅程出租|67|
|3|高德地图|经济型|聚优出行|67|
|4|高德地图|经济型|鞍马聚的新出租|67|
|5|高德地图|经济型|日初出行|67|
|6|高德地图|经济型|中交出行|67|
|7|高德地图|经济型|添猫出行|67|
|8|高德地图|经济型|聚优出租|68|
|9|高德地图|经济型|叮叮出行|68|
|10|高德地图|经济型|旗妙出行|69|
|11|高德地图|经济型|有序出行|69|
|12|高德地图|经济型|东潮出行|69|
|13|高德地图|经济型|斑马快跑|69|
|14|高德地图|经济型|奇华出行|69|
|15|高德地图|经济型|900出行|69|
|16|高德地图|经济型|橄榄新出租|69|
|17|高德地图|经济型|迪尔出行|70|
|18|高德地图|经济型|中军出行|70|
|19|高德地图|经济型|风韵出行|70|
|20|高德地图|经济型|5U出行|70|
|21|高德地图|经济型|曹操出行|71|
|22|高德地图|经济型|北京新出租|71|
|23|高德地图|经济型|飞嘀打车|71|
|24|高德地图|经济型|如祺出行|71|
|25|高德地图|经济型|阳光出行|71|
|26|高德地图|特快车|超值体验 更快上车|75|
|27|高德地图|出租车|车多应答快|81|
|28|高德地图|出租车|鞍马聚的-高档出租车|85|
|29|高德地图|优享型|妥妥E行|90|
|30|高德地图|优享型|中交出行|90|
|31|高德地图|优享型|旅程专车|90|
|32|高德地图|优享型|风韵出行|91|
|33|高德地图|优享型|T3出行|91|
|34|高德地图|优享型|火箭出行|91|
|35|高德地图|优享型|及时用车|92|
|36|高德地图|优享型|斑马快跑|92|
|37|高德地图|优享型|神州专车|92|
|38|高德地图|优享型|全民GO|93|
|39|高德地图|优享型|优e出行特选|93|
|40|高德地图|优享型|添猫出行|94|
|41|高德地图|优享型|星徽出行|94|
|42|高德地图|优享型|阳光出行|94|
|43|高德地图|轻享专车|静音不打扰 整洁无异味|100|
|44|高德地图|品质专车|静音不打扰 整洁无异味|113|
|45|高德地图|六座商务|宽敞空间 商务体验|122|
|46|高德地图|豪华型|车型高端 服务专业|136|
|47|高德地图|经济|首汽约车|146|
|48|高德地图|拼车|出租车拼车|162|
|49|高德地图|特价出发|更多特价|180|
|50|高德地图|快速出发|无|198|
|51|高德地图|惠享专车|精选车型 优质司机|217|
|52|高德地图|惠享专车|神州专车|218|
|53|高德地图|推荐|极速拼车|239|
|54|高德地图|豪华型|undefined|153-158|",叫个拼车去火车站，价格在30到60元之间。,"[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 30, ""price_max"": 60, ""fast"": False}]",无,,拼车,,无,极速拼车,True,30,60,,,王笑,,,,,"[{'': '极速拼车'}, {'': '特惠快车'}, {'优享型': 'T3出行'}, {'优享型': '中交出行'}, {'优享型': '优e出行特选'}, {'优享型': '全民GO'}, {'优享型': '及时用车'}, {'优享型': '妥妥E行'}, {'优享型': '斑马快跑'}, {'优享型': '旅程专车'}, {'优享型': '星徽出行'}, {'优享型': '添猫出行'}, {'优享型': '火箭出行'}, {'优享型': '神州专车'}, {'优享型': '阳光出行'}, {'优享型': '风韵出行'}, {'六座商务': '宽敞空间 商务体验'}, {'出租车': '车多应答快'}, {'出租车': '鞍马聚的-高档出租车'}, {'品质专车': '静音不打扰 整洁无异味'}, {'快速出发': '无'}, {'惠享专车': '神州专车'}, {'惠享专车': '精选车型 优质司机'}, {'拼车': '出租车拼车'}, {'推荐': '极速拼车'}, {'特价出发': '更多特价'}, {'特快车': '超值体验 更快上车'}, {'经济': '首汽约车'}, {'经济型': '5U出行'}, {'经济型': '900出行'}, {'经济型': '东潮出行'}, {'经济型': '中交出行'}, {'经济型': '中军出行'}, {'经济型': '北京新出租'}, {'经济型': '叮叮出行'}, {'经济型': '奇华出行'}, {'经济型': '如祺出行'}, {'经济型': '斑马快跑'}, {'经济型': '旅程出租'}, {'经济型': '旗妙出行'}, {'经济型': '日初出行'}, {'经济型': '曹操出行'}, {'经济型': '有序出行'}, {'经济型': '橄榄新出租'}, {'经济型': '添猫出行'}, {'经济型': '聚优出租'}, {'经济型': '聚优出行'}, {'经济型': '迪尔出行'}, {'经济型': '阳光出行'}, {'经济型': '鞍马聚的新出租'}, {'经济型': '风韵出行'}, {'经济型': '飞嘀打车'}, {'豪华型': '车型高端 服务专业'}, {'轻享专车': '静音不打扰 整洁无异味'}]",,叫个拼车去火车站，价格在30到60元之间。,拼车,极速拼车,
高德叫个拼车去市中心，价格不限。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|53-53|
|1|高德地图|     |特惠快车|59-59|
|2|高德地图|经济型|旅程出租|64|
|3|高德地图|经济型|鞍马出行|64|
|4|高德地图|经济型|享道出行|64|
|5|高德地图|经济型|鞍马聚的新出租|65|
|6|高德地图|经济型|聚的出租车|65|
|7|高德地图|经济型|日初出行|65|
|8|高德地图|经济型|中交出行|65|
|9|高德地图|经济型|妥妥E行|65|
|10|高德地图|经济型|K9用车|66|
|11|高德地图|经济型|神州专车|66|
|12|高德地图|经济型|首汽约车|67|
|13|高德地图|经济型|T3出行|67|
|14|高德地图|经济型|橄榄新出租|67|
|15|高德地图|经济型|方舟行|68|
|16|高德地图|经济型|365约车|68|
|17|高德地图|经济型|有滴出行|68|
|18|高德地图|经济型|国泰出租|68|
|19|高德地图|经济型|腾飞出行|68|
|20|高德地图|经济型|北京新出租|68|
|21|高德地图|经济型|飞嘀打车|68|
|22|高德地图|经济型|阳光出行|68|
|23|高德地图|特快车|超值体验 更快上车|73|
|24|高德地图|出租车|车多应答快|82|
|25|高德地图|出租车|鞍马聚的-高档出租车|82|
|26|高德地图|优享型|腾飞出行|86|
|27|高德地图|优享型|T3出行|87|
|28|高德地图|优享型|环旅出行|87|
|29|高德地图|优享型|曹操出行|87|
|30|高德地图|优享型|火箭出行|87|
|31|高德地图|优享型|及时用车|88|
