model,query,车辆候选列表,id,大类|小类,answer原数据,app,正确答案,app名称,category,category正确答案,车大类,mode,mode正确答案,车小类,price,正确答案.1,是否包含价格,price_min,正确答案.2,价格下限,price_max,正确答案.3,think_time,价格上限,问题,备注,标注人,Unnamed: 28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-32B-Instruct,银川鼓楼到河东机场，需要一辆干净的车。,"|序号id|应用名称|车型大类|车辆类型|价格|
 |---|---|---|---|---|
 |0|滴滴|推荐|花小猪正价版|32.89|
 |1|滴滴|推荐|特惠快车|33.62|
 |2|滴滴|推荐|滴滴快车|37.08|
 |3|滴滴|拼车|特价拼车|36.34-38.00|
 |4|滴滴|拼车|极速拼车|39.41-40.99|
 |5|滴滴|特价|花小猪外接版|39.86|
 |6|滴滴|特价|惊喜特价|40.14|
 |7|滴滴|快速|曹操出行|57.22|
 |8|滴滴|快速|出租车|57.75|
 |9|滴滴|快速|滴滴轻享|60.28|
 |10|滴滴|舒适|滴滴专车|93.01|
 |11|滴滴|舒适|滴滴豪华车|96.85|
 |12|滴滴|六座|六座专车|111.41|",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,无,,无,无,,无,FALSE,,FALSE,0,,0,0,,0.972626209,0,,,闫宸威,
Qwen2.5-32B-Instruct,叫极速拼车去铁西万达广场，价格不超过31元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|19.95|
|1|滴滴|推荐|特惠快车|20.38|
|2|滴滴|推荐|滴滴快车|23.76|
|3|滴滴|推荐|特快出租车|25.44|
|4|滴滴|拼车|特价拼车|19.70-20.72|
|5|滴滴|拼车|极速拼车|24.52-25.94|
|6|滴滴|特价|花小猪外接版|26.62|
|7|滴滴|特价|惊喜特价|26.76|
|8|滴滴|快速|曹操出行|36.95|
|9|滴滴|快速|出租车|37.65|
|10|滴滴|快速|滴滴轻享|38.17|
|11|滴滴|快速|滴滴特快|38.60|
|12|滴滴|快速|滴滴优享|42.12|
|13|滴滴|舒适|滴滴专车|62.91|
|14|滴滴|舒适|滴滴豪华车|63.05|
|15|滴滴|六座|六座专车|92.99|
|16|滴滴|六座|六座豪华车|93.85|",5,拼车|极速拼车,"[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 31, ""fast"": False}]",无,,无,拼车,无,无,无,极速拼车,极速拼车,TRUE,,TRUE,0,,0,31,,1.103649616,31,"直接命中车小类关键字但answer中没有或错误,其他",对车大类无要求,王笑,
Qwen2.5-32B-Instruct,"

打车去七里河区，选拼车。","|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|37-39|
|1|高德地图|     |特惠快车|40-42|
|2|高德地图|经济型|深圳出租|44|
|3|高德地图|经济型|AA出行|45|
|4|高德地图|经济型|中交出行|45|
|5|高德地图|经济型|365约车|45|
|6|高德地图|经济型|腾飞出行|46|
|7|高德地图|经济型|如祺出行|46|
|8|高德地图|经济型|T3出行|46|
|9|高德地图|经济型|全民GO|46|
|10|高德地图|经济型|及时用车|47|
|11|高德地图|经济型|聚的新出租|47|
|12|高德地图|经济型|旗妙出行|47|
|13|高德地图|经济型|曹操出行|47|
|14|高德地图|经济型|有序出行|48|
|15|高德地图|经济型|首汽约车|48|
|16|高德地图|经济型|斑马快跑|48|
|17|高德地图|经济型|中军出行|48|
|18|高德地图|经济型|5U出行|48|
|19|高德地图|经济型|享道出行|48|
|20|高德地图|特快车|undefined|49|
|21|高德地图|出租车|undefined|56|
|22|高德地图|优享型|神州专车|60|
|23|高德地图|优享型|腾飞出行|61|
|24|高德地图|优享型|旗妙出行|61|
|25|高德地图|优享型|中交出行|61|
|26|高德地图|优享型|AA出行|62|
|27|高德地图|优享型|全民GO|62|
|28|高德地图|优享型|曹操出行|63|
|29|高德地图|优享型|斑马快跑|63|
|30|高德地图|优享型|妥妥E行|64|
|31|高德地图|优享型|首汽约车|64|
|32|高德地图|优享型|享道出行|64|
|33|高德地图|轻享专车|undefined|70|
|34|高德地图|品质专车|undefined|75|
|35|高德地图|六座商务|undefined|84|
|36|高德地图|豪华型|undefined|105-108|",0,     |极速拼车,"[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",无,,无,拼车,无,无,无,极速拼车,极速拼车,FALSE,,FALSE,0,,0,0,,0,1.129712105,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,杨丽丽,
Qwen2.5-32B-Instruct,"

打特惠快车去机场，费用不超100。","|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|高德地图|     |极速拼车|41-41|
|1|高德地图|     |特惠快车|46-47|
|2|高德地图|经济型|900出行|49|
|3|高德地图|经济型|旗妙出行|49|
|4|高德地图|经济型|享道出行|49|
|5|高德地图|经济型|及时用车|50|
|6|高德地图|经济型|如祺出行|50|
|7|高德地图|经济型|飞嘀打车|50|
|8|高德地图|经济型|聚的新出租|50|
|9|高德地图|经济型|365约车|51|
|10|高德地图|经济型|有序出行|51|
|11|高德地图|经济型|阳光出行|52|
|12|高德地图|经济型|AA出行|52|
|13|高德地图|经济型|妥妥E行|52|
|14|高德地图|经济型|5U出行|53|
|15|高德地图|经济型|深圳出租|53|
|16|高德地图|经济型|神州专车|53|
|17|高德地图|经济型|北京的士|53|
|18|高德地图|经济型|T3出行|53|
|19|高德地图|经济型|东潮出行|53|
|20|高德地图|特快车|undefined|57|
|21|高德地图|出租车|undefined|63|
|22|高德地图|优享型|妥妥E行|67|
|23|高德地图|优享型|旗妙出行|67|
|24|高德地图|优享型|腾飞出行|68|
|25|高德地图|优享型|及时用车|69|
|26|高德地图|优享型|飞嘀打车|70|
|27|高德地图|优享型|星徽出行|70|
|28|高德地图|优享型|曹操出行|70|
|29|高德地图|优享型|神州专车|71|
|30|高德地图|优享型|首汽约车|71|
|31|高德地图|优享型|全民GO|71|
|32|高德地图|优享型|东潮出行|71|
|33|高德地图|轻享专车|undefined|76|
|34|高德地图|品质专车|undefined|85|
|35|高德地图|六座商务|undefined|92|
|36|高德地图|豪华型|undefined|120-122|",1,     |特惠快车,"[{""app"": ""无"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": True, ""price_min"": 0, ""price_max"": 100, ""fast"": False}]",无,,无,特惠快车,无,无,无,特惠快车,特惠快车,TRUE,,TRUE,0,,0,100,,100,1.134232998,直接命中车小类关键字但answer中没有或错误,,王笑,
Qwen2.5-336B-Instruct,滴滴叫辆出租车去南京夫子庙秦淮河景区，避开限行路段。,"|序号id|应用名称|车型大类|车辆类型|价格|
 |---|---|---|---|---|
 |0|滴滴|推荐|花小猪正价版|6.12|
 |1|滴滴|推荐|特惠快车|7.57|
 |2|滴滴|推荐|滴滴快车|9.20|
 |3|滴滴|推荐|特快出租车|10.06|
 |4|滴滴|拼车|特价拼车|4.49-5.54|
 |5|滴滴|特价|花小猪外接版|9.41|
 |6|滴滴|特价|惊喜特价|10.74|
 |7|滴滴|快速|曹操出行|8.95|
 |8|滴滴|快速|出租车|12.11|
 |9|滴滴|快速|滴滴轻享|12.45|
 |10|滴滴|舒适|滴滴专车|15.23|
 |11|滴滴|舒适|滴滴豪华车|16.40|
 |12|滴滴|六座|六座专车|21.80|
 |13|滴滴|六座|六座豪华车|26.67|",8,快速|出租车,"[{""app"": ""滴滴"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",滴滴,,滴滴,出租车,无,无,无,出租车，特快出租车,出租车，特快出租车,FALSE,,FALSE,0,,0,0,,1.0717237,0,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,闫宸威,
Qwen2.5-532B-Instruct,从上海虹桥火车站到外滩，叫一辆滴滴豪华车。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|24.02|
|1|滴滴|推荐|特惠快车|25.95|
|2|滴滴|推荐|滴滴快车|25.97|
|3|滴滴|推荐|特快出租车|28.21|
|4|滴滴|拼车|特价拼车|28.07-29.91|
|5|滴滴|拼车|极速拼车|27.03-28.75|
|6|滴滴|特价|花小猪外接版|38.58|
|7|滴滴|特价|惊喜特价|38.89|
|8|滴滴|快速|曹操出行|48.82|
|9|滴滴|快速|出租车|49.38|
|10|滴滴|快速|滴滴轻享|49.71|
|11|滴滴|快速|滴滴特快|53.11|
|12|滴滴|舒适|滴滴专车|88.86|
|13|滴滴|六座|六座专车|132.63|",无,无|无,"[{""app"": ""滴滴"", ""category"": ""豪华车"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",滴滴,,滴滴,豪华车,无,无,无,,无,FALSE,,FALSE,0,,0,0,,1.081959724,0,直接命中车大类关键字但answer中没有或错误,,杨丽丽,
Qwen2.5-399B-Instruct,用特惠快车从家到公司，预算不超过30元。,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|6.60|
|1|滴滴|推荐|特惠快车|7.03|
|2|滴滴|推荐|滴滴快车|7.37|
|3|滴滴|拼车|特价拼车|5.16-7.05|
|4|滴滴|拼车|极速拼车|7.46-9.41|
|5|滴滴|特价|花小猪外接版|6.71|
|6|滴滴|特价|惊喜特价|10.07|
|7|滴滴|快速|曹操出行|10.45|
|8|滴滴|快速|出租车|12.18|
|9|滴滴|快速|滴滴轻享|12.70|
|10|滴滴|快速|滴滴特快|16.36|
|11|滴滴|舒适|滴滴专车|17.64|
|12|滴滴|舒适|滴滴豪华车|21.18|
|13|滴滴|六座|六座专车|31.06|",1,推荐|特惠快车,"[{""app"": ""无"", ""category"": ""特惠快车, 惊喜特价"", ""mode"": ""曹操出行"", ""price"": True, ""price_min"": 0, ""price_max"": 30, ""fast"": False}]",无,,无,"特惠快车, 惊喜特价",无,无,曹操出行,特惠快车,特惠快车,TRUE,,TRUE,0,,0,30,,1.268274069,30,"直接命中车小类关键字但answer中没有或错误,直接命中车大类关键字但answer中没有或错误",,杨丽丽,
Qwen2.5-32B-Instruct,打的去机场，不限车型,"|序号id|应用名称|车型大类|车辆类型|价格|
|---|---|---|---|---|
|0|滴滴|推荐|花小猪正价版|17.24|
|1|滴滴|推荐|特惠快车|17.30|
|2|滴滴|推荐|滴滴快车|18.40|
|3|滴滴|推荐|特快出租车|20.45|
|4|滴滴|推荐|滴滴特快|22.73|
|5|滴滴|拼车|特价拼车|15.12-17.01|
|6|滴滴|拼车|极速拼车|13.48-14.69|
|7|滴滴|特价|花小猪外接版|22.50|
|8|滴滴|特价|惊喜特价|22.57|
|9|滴滴|快速|曹操出行|35.70|
|10|滴滴|快速|出租车|36.23|
|11|滴滴|快速|滴滴轻享|36.99|
|12|滴滴|快速|滴滴特快|37.32|
|13|滴滴|快速|滴滴优享|38.04|
|14|滴滴|快速|滴滴快车|38.37|
|15|滴滴|快速|宽敞好车|38.70|
|16|滴滴|快速|方舟行|38.71|
|17|滴滴|快速|长沙新出租|39.48|
|18|滴滴|快速|武汉新出租|39.63|
|19|滴滴|快速|丽江新出租|40.56|
|20|滴滴|舒适|滴滴专车|45.26|
|21|滴滴|六座|六座专车|83.15|
|22|滴滴|六座|六座豪华车|84.58|",无,无|无,"[{""app"": ""无"", ""category"": ""无"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": True}]",无,,无,无,,无,无,,无,FALSE,,FALSE,0,,0,0,,0,1.090992212,,,王笑,
Qwen2.5-32B-Instruct,高德预约六座专车去莲花山附近的深业上城,"|序号id|应用名称|车型大类|车辆类型|价格|
 |---|---|---|---|---|
 |0|高德地图| |极速拼车|27-27|
 |1|高德地图| |特惠快车|32-33|
 |2|高德地图|经济型|AA出行|33|
 |3|高德地图|经济型|有序出行|33|
 |4|高德地图|经济型|享道出行|33|
 |5|高德地图|经济型|中交出行|33|
 |6|高德地图|经济型|深圳出租|33|
 |7|高德地图|经济型|妥妥E行|33|
 |8|高德地图|经济型|中军出行|34|
 |9|高德地图|经济型|飞嘀打车|34|
 |10|高德地图|经济型|及时用车|36|
 |11|高德地图|经济型|北京新出租|37|
 |12|高德地图|经济型|神州专车|37|
 |13|高德地图|特快车|undefined|41|
 |14|高德地图|出租车|undefined|42|
 |15|高德地图|优享型|AA出行|45|
 |16|高德地图|优享型|神州专车|45|
 |17|高德地图|优享型|飞嘀打车|46|
 |18|高德地图|优享型|及时用车|46|
 |19|高德地图|优享型|旗妙出行|47|
 |20|高德地图|优享型|全民GO|48|
 |21|高德地图|优享型|火箭出行|48|
 |22|高德地图|优享型|T3出行|49|
 |23|高德地图|轻享专车|undefined|53|
 |24|高德地图|品质专车|undefined|55|
 |25|高德地图|六座商务|undefined|65|
 |26|高德地图|豪华型|undefined|90-91|",无,无|无,"[{""app"": ""高德"", ""category"": ""六座专车, 舒适车型"", ""mode"": ""无"", ""price"": False, ""price_min"": 0, ""price_max"": 0, ""fast"": False}]",高德,,高德,"六座专车, 舒适车型",无,无,无,,无,FALSE,,FALSE,0,,0,0,,1.237443924,0,直接命中车大类关键字但answer中没有或错误,,闫宸威,
