车列表名称,车列表参数,appName场景,车列表,sysSessionId,模型1返回结果,input,output,output标准答案,模型2返回结果,模型2标准答案,模型1三大项标注,模型1最快打车意图标注,app字段准确性,category，mode车型字段准确性,"price，price_min, price_max价格字段准确性",fast最快打车意图字段准确性,模型2准确率,模型2召回率,
滴滴车列表,"{
        ""appName"": ""滴滴"",
        ""taxiSkuList"": [
                {""index"": ""1"", ""category"": ""推荐"", ""carModel"": ""极速拼车"", ""price"": 8},
                {""index"": ""2"", ""category"": ""推荐"", ""carModel"": ""特惠快车"", ""price"": 12},
                {""index"": ""3"", ""category"": ""推荐"", ""carModel"": ""滴滴快车"", ""price"": 13},
                {""index"": ""4"", ""category"": ""拼车"", ""carModel"": ""特价拼车"", ""price"": 7},
                {""index"": ""5"", ""category"": ""拼车"", ""carModel"": ""极速拼车"", ""price"": 8.5},
                {""index"": ""6"", ""category"": ""特价"", ""carModel"": ""花小猪外接版"", ""price"": 9.8},
                {""index"": ""7"", ""category"": ""特价"", ""carModel"": ""特惠快车"", ""price"": 8.8},
                {""index"": ""8"", ""category"": ""快速"", ""carModel"": ""花小猪正价版"", ""price"": 10},
                {""index"": ""9"", ""category"": ""快速"", ""carModel"": ""曹操出行"", ""price"": 11},
                {""index"": ""10"", ""category"": ""快速"", ""carModel"": ""特快出租车"", ""price"": 10.3},
                {""index"": ""11"", ""category"": ""快速"", ""carModel"": ""滴滴特快"", ""price"": 15.8},
                {""index"": ""12"", ""category"": ""快速"", ""carModel"": ""出租车"", ""price"": 14},
                {""index"": ""13"", ""category"": ""快速"", ""carModel"": ""滴滴快车"", ""price"": 16},
                {""index"": ""14"", ""category"": ""舒适"", ""carModel"": ""滴滴专车"", ""price"": 42},
                {""index"": ""15"", ""category"": ""舒适"", ""carModel"": ""滴滴豪华车"", ""price"": 68},
                {""index"": ""16"", ""category"": ""六座"", ""carModel"": ""六座专车"", ""price"": 54},
                {""index"": ""17"", ""category"": ""更多"", ""carModel"": ""滴滴代驾"", ""price"": 17},
                {""index"": ""18"", ""category"": ""更多"", ""carModel"": ""宠物出行"", ""price"": 21},
                {""index"": ""19"", ""category"": ""更多"", ""carModel"": ""滴滴包车"", ""price"": 39},
                {""index"": ""20"", ""category"": ""送货"", ""carModel"": ""汽车快送"", ""price"": 25},
                {""index"": ""21"", ""category"": ""送货"", ""carModel"": ""跑腿"", ""price"": 28},
                {""index"": ""22"", ""category"": ""特价"", ""carModel"": ""惊喜特价"", ""price"": 9.9},
                {""index"": ""23"", ""category"": ""推荐"", ""carModel"": ""顺风车"", ""price"": 22.5},
                {""index"": ""24"", ""category"": ""城际"", ""carModel"": ""城际拼车"", ""price"": 56.5},
                {""index"": ""25"", ""category"": ""城际"", ""carModel"": ""顺风车"", ""price"": 62},
                {""index"": ""26"", ""category"": ""推荐"", ""carModel"": ""花小猪外接版"", ""price"": 15},
                {""index"": ""27"", ""category"": ""推荐"", ""carModel"": ""花小猪正价版"", ""price"": 13.5},
                {""index"": ""28"", ""category"": ""推荐"", ""carModel"": ""滴滴专车"", ""price"": 24},
                {""index"": ""29"", ""category"": ""推荐"", ""carModel"": ""惊喜特价"", ""price"": 12.8}
        ]
}",打一个滴滴拼车从金证科技园南门去南京航天医院，打一个高德拼车从金证科技园南门去南京航天医院,滴滴车列表,sessionId20250606lhx3001,"{'appName': '高德地图', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n打一个滴滴拼车从金证科技园南门去南京航天医院，打一个高德拼车从金证科技园南门去南京航天医院\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""打一个滴滴拼车从金证科技园南门去南京航天医院，打一个高德拼车从金证科技园南门去南京航天医院\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""高德地图"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""高德地图"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '4', '5']","['1','4','5']
",1,1,1,1,1,1,1,1,
高德车列表,"{
        ""appName"": ""高德"",
        ""taxiSkuList"": [
                {""index"": ""1"", ""category"": ""拼车"", ""carModel"": ""极速拼车"", ""price"": 7.2},
                {""index"": ""2"", ""category"": ""特惠快车"", ""carModel"": ""特惠快车"", ""price"": 8.5},
                {""index"": ""3"", ""category"": ""经济型"", ""carModel"": ""曹操出行"", ""price"": 7.9},
                {""index"": ""4"", ""category"": ""经济型"", ""carModel"": ""T3出行"", ""price"": 8.3},
                {""index"": ""5"", ""category"": ""经济型"", ""carModel"": ""享道出行"", ""price"": 9},
                {""index"": ""6"", ""category"": ""经济型"", ""carModel"": ""鞍马出行"", ""price"": 10},
                {""index"": ""7"", ""category"": ""经济型"", ""carModel"": ""腾飞出行"", ""price"": 10.5},
                {""index"": ""8"", ""category"": ""经济型"", ""carModel"": ""及时用车"", ""price"": 9.5},
                {""index"": ""9"", ""category"": ""经济型"", ""carModel"": ""风韵出行"", ""price"": 9.5},
                {""index"": ""10"", ""category"": ""经济型"", ""carModel"": ""环旅出行"", ""price"": 8.9},
                {""index"": ""11"", ""category"": ""经济型"", ""carModel"": ""神州专车"", ""price"": 9.5},
                {""index"": ""12"", ""category"": ""经济型"", ""carModel"": ""叮叮出行"", ""price"": 10},
                {""index"": ""13"", ""category"": ""经济型"", ""carModel"": ""迪尔出行"", ""price"": 10.5},
                {""index"": ""14"", ""category"": ""经济型"", ""carModel"": ""旅程约车"", ""price"": 8},
                {""index"": ""15"", ""category"": ""经济型"", ""carModel"": ""聚优出租"", ""price"": 11},
                {""index"": ""16"", ""category"": ""经济型"", ""carModel"": ""阳光出行"", ""price"": 13},
                {""index"": ""17"", ""category"": ""经济型"", ""carModel"": ""首汽约车"", ""price"": 11.5},
                {""index"": ""18"", ""category"": ""经济型"", ""carModel"": ""有序出行"", ""price"": 12},
                {""index"": ""19"", ""category"": ""经济型"", ""carModel"": ""沛途出行"", ""price"": 11.5},
                {""index"": ""20"", ""category"": ""经济型"", ""carModel"": ""有滴出行"", ""price"": 12.5},
                {""index"": ""21"", ""category"": ""经济型"", ""carModel"": ""365约车"", ""price"": 13},
                {""index"": ""22"", ""category"": ""经济型"", ""carModel"": ""南京出租"", ""price"": 14},
                {""index"": ""23"", ""category"": ""经济型"", ""carModel"": ""腾飞新出租"", ""price"": 12},
                {""index"": ""24"", ""category"": ""经济型"", ""carModel"": ""鞍马聚的新出租"", ""price"": 16},
                {""index"": ""25"", ""category"": ""特快车"", ""carModel"": ""特快车"", ""price"": 18.5},
                {""index"": ""26"", ""category"": ""出租"", ""carModel"": ""出租车"", ""price"": 16},
                {""index"": ""27"", ""category"": ""优享型"", ""carModel"": ""曹操出行"", ""price"": 17.5},
                {""index"": ""28"", ""category"": ""优享型"", ""carModel"": ""阳光出行"", ""price"": 18},
                {""index"": ""29"", ""category"": ""优享型"", ""carModel"": ""T3出行"", ""price"": 19},
                {""index"": ""30"", ""category"": ""优享型"", ""carModel"": ""首汽约车"", ""price"": 19},
                {""index"": ""31"", ""category"": ""优享型"", ""carModel"": ""鞍马出行"", ""price"": 19.5},
                {""index"": ""32"", ""category"": ""优享型"", ""carModel"": ""风韵出行"", ""price"": 18.5},
                {""index"": ""33"", ""category"": ""优享型"", ""carModel"": ""腾飞出行"", ""price"": 18},
                {""index"": ""34"", ""category"": ""优享型"", ""carModel"": ""有滴出行"", ""price"": 18.5},
                {""index"": ""35"", ""category"": ""优享型"", ""carModel"": ""及时用车"", ""price"": 19.5},
                {""index"": ""36"", ""category"": ""优享型"", ""carModel"": ""神州专车"", ""price"": 19},
                {""index"": ""37"", ""category"": ""优享型"", ""carModel"": ""环旅出行"", ""price"": 19.5},
                {""index"": ""38"", ""category"": ""优享型"", ""carModel"": ""叮叮出行"", ""price"": 19.5},
                {""index"": ""39"", ""category"": ""优享型"", ""carModel"": ""沛途出行"", ""price"": 20},
                {""index"": ""40"", ""category"": ""优享型"", ""carModel"": ""旅程约车"", ""price"": 19},
                {""index"": ""41"", ""category"": ""专车"", ""carModel"": ""品质专车"", ""price"": 32},
                {""index"": ""42"", ""category"": ""六座商务"", ""carModel"": ""六座商务"", ""price"": 35},
                {""index"": ""43"", ""category"": ""送东西"", ""carModel"": ""高德秒送"", ""price"": 26},
                {""index"": ""44"", ""category"": ""顺风车"", ""carModel"": ""顺风车"", ""price"": 33},
                {""index"": ""45"", ""category"": ""特价拼车"", ""carModel"": ""特价拼车"", ""price"": 12},
                {""index"": ""46"", ""category"": ""推荐"", ""carModel"": ""顺风车"", ""price"": 17},
                {""index"": ""47"", ""category"": ""推荐"", ""carModel"": ""特价拼车"", ""price"": 12},
                {""index"": ""48"", ""category"": ""经济"", ""carModel"": ""曹操出行"", ""price"": 8.9},
                {""index"": ""49"", ""category"": ""经济"", ""carModel"": ""T3出行"", ""price"": 8.5},
                {""index"": ""50"", ""category"": ""经济"", ""carModel"": ""享道出行"", ""price"": 9},
                {""index"": ""51"", ""category"": ""经济"", ""carModel"": ""鞍马出行"", ""price"": 7.8},
                {""index"": ""52"", ""category"": ""经济"", ""carModel"": ""腾飞出行"", ""price"": 7.5},
                {""index"": ""53"", ""category"": ""经济"", ""carModel"": ""有序出行"", ""price"": 8},
                {""index"": ""54"", ""category"": ""经济"", ""carModel"": ""神州专车"", ""price"": 8},
                {""index"": ""55"", ""category"": ""经济"", ""carModel"": ""妥妥E行"", ""price"": 7.9},
                {""index"": ""56"", ""category"": ""经济"", ""carModel"": ""及时用车"", ""price"": 7.6},
                {""index"": ""57"", ""category"": ""经济"", ""carModel"": ""环旅出行"", ""price"": 8},
                {""index"": ""58"", ""category"": ""经济"", ""carModel"": ""沛途出行"", ""price"": 8.1},
                {""index"": ""59"", ""category"": ""经济"", ""carModel"": ""旅程约车"", ""price"": 8.3},
                {""index"": ""60"", ""category"": ""经济"", ""carModel"": ""风韵出行"", ""price"": 8.3},
                {""index"": ""61"", ""category"": ""经济"", ""carModel"": ""阳光出行"", ""price"": 8.2},
                {""index"": ""62"", ""category"": ""经济"", ""carModel"": ""首汽约车"", ""price"": 8},
                {""index"": ""63"", ""category"": ""经济"", ""carModel"": ""叮叮出行"", ""price"": 7.6},
                {""index"": ""64"", ""category"": ""经济"", ""carModel"": ""迪尔出行"", ""price"": 7.5},
                {""index"": ""65"", ""category"": ""经济"", ""carModel"": ""有滴出行"", ""price"": 7},
                {""index"": ""66"", ""category"": ""经济"", ""carModel"": ""聚优出租"", ""price"": 8},
                {""index"": ""67"", ""category"": ""经济"", ""carModel"": ""南京出租"", ""price"": 7.4},
                {""index"": ""68"", ""category"": ""经济"", ""carModel"": ""腾飞新出租"", ""price"": 7.9},
                {""index"": ""69"", ""category"": ""经济"", ""carModel"": ""鞍马聚的新出租"", ""price"": 8.5},
                {""index"": ""70"", ""category"": ""优享型"", ""carModel"": ""享道出行"", ""price"": 11},
                {""index"": ""71"", ""category"": ""推荐"", ""carModel"": ""品质专车"", ""price"": 28},
                {""index"": ""72"", ""category"": ""经济"", ""carModel"": ""365约车"", ""price"": 10},
                {""index"": ""73"", ""category"": ""优享型"", ""carModel"": ""旅程专车"", ""price"": 29},
                {""index"": ""74"", ""category"": ""经济型"", ""carModel"": ""聚优出行"", ""price"": 9},
                {""index"": ""75"", ""category"": ""出租车"", ""carModel"": ""鞍马聚的-高档出租车"", ""price"": 15},
                {""index"": ""76"", ""category"": ""品质专车"", ""carModel"": ""风韵出行"", ""price"": 35},
                {""index"": ""77"", ""category"": ""品质专车"", ""carModel"": ""鞍马出行"", ""price"": 42},
                {""index"": ""78"", ""category"": ""品质专车"", ""carModel"": ""叮叮出行"", ""price"": 46},
                {""index"": ""79"", ""category"": ""品质专车"", ""carModel"": ""首汽约车"", ""price"": 45},
                {""index"": ""80"", ""category"": ""品质专车"", ""carModel"": ""腾飞出行"", ""price"": 38},
                {""index"": ""81"", ""category"": ""品质专车"", ""carModel"": ""环旅出行"", ""price"": 39},
                {""index"": ""82"", ""category"": ""品质专车"", ""carModel"": ""神州专车"", ""price"": 45},
                {""index"": ""83"", ""category"": ""六座商务"", ""carModel"": ""享道出行"", ""price"": 41},
                {""index"": ""84"", ""category"": ""六座商务"", ""carModel"": ""首汽约车"", ""price"": 39},
                {""index"": ""85"", ""category"": ""出租车"", ""carModel"": ""鞍马聚的-低档"", ""price"": 19},
                {""index"": ""86"", ""category"": ""六座商务"", ""carModel"": ""叮叮出行"", ""price"": 44},
                {""index"": ""87"", ""category"": ""六座商务"", ""carModel"": ""腾飞出行"", ""price"": 40},
                {""index"": ""88"", ""category"": ""六座商务"", ""carModel"": ""神州专车"", ""price"": 50},
                {""index"": ""89"", ""category"": ""特惠快车"", ""carModel"": ""首汽约车"", ""price"": 12},
                {""index"": ""10"", ""category"": ""特惠快车"", ""carModel"": ""T3出行"", ""price"": 13},
                {""index"": ""91"", ""category"": ""特惠快车"", ""carModel"": ""享道出行"", ""price"": 12.5},
                {""index"": ""92"", ""category"": ""特惠快车"", ""carModel"": ""曹操出行"", ""price"": 13.8},
                {""index"": ""93"", ""category"": ""特惠快车"", ""carModel"": ""鞍马出行"", ""price"": 13.4},
                {""index"": ""94"", ""category"": ""特惠快车"", ""carModel"": ""风韵出行"", ""price"": 12.9},
                {""index"": ""95"", ""category"": ""特惠快车"", ""carModel"": ""有序出行"", ""price"": 12.6},
                {""index"": ""96"", ""category"": ""特惠快车"", ""carModel"": ""腾飞出行"", ""price"": 12.8},
                {""index"": ""97"", ""category"": ""特惠快车"", ""carModel"": ""阳光出行"", ""price"": 13},
                {""index"": ""98"", ""category"": ""特惠快车"", ""carModel"": ""叮叮出行"", ""price"": 12.2},
                {""index"": ""99"", ""category"": ""特惠快车"", ""carModel"": ""神州专车"", ""price"": 12.5},
                {""index"": ""100"", ""category"": ""特惠快车"", ""carModel"": ""迪尔出行"", ""price"": 12.6},
                {""index"": ""101"", ""category"": ""特惠快车"", ""carModel"": ""及时用车"", ""price"": 12.5},
                {""index"": ""102"", ""category"": ""特惠快车"", ""carModel"": ""有滴出行"", ""price"": 13.4},
                {""index"": ""103"", ""category"": ""特惠快车"", ""carModel"": ""环旅出行"", ""price"": 13.2},
                {""index"": ""104"", ""category"": ""特惠快车"", ""carModel"": ""沛途出行"", ""price"": 12},
                {""index"": ""105"", ""category"": ""特惠快车"", ""carModel"": ""聚优出行"", ""price"": 14},
                {""index"": ""106"", ""category"": ""特惠快车"", ""carModel"": ""南京出租"", ""price"": 16},
                {""index"": ""107"", ""category"": ""特惠快车"", ""carModel"": ""365约车"", ""price"": 12.5},
                {""index"": ""108"", ""category"": ""特惠快车"", ""carModel"": ""腾飞新出租"", ""price"": 12.3},
                {""index"": ""109"", ""category"": ""特惠快车"", ""carModel"": ""妥妥E行"", ""price"": 13},
                {""index"": ""110"", ""category"": ""特惠快车"", ""carModel"": ""聚的新出租"", ""price"": 11.8},
                {""index"": ""111"", ""category"": ""经济型"", ""carModel"": ""妥妥E行"", ""price"": 14},
                {""index"": ""112"", ""category"": ""优享型"", ""carModel"": ""365约车"", ""price"": 15},
                {""index"": ""113"", ""category"": ""品质专车"", ""carModel"": ""有序出行"", ""price"": 48},
                {""index"": ""114"", ""category"": ""六座商务"", ""carModel"": ""特价专车"", ""price"": 40},
                {""index"": ""115"", ""category"": ""特惠快车"", ""carModel"": ""旅程约车"", ""price"": 16},
                {""index"": ""116"", ""category"": ""特惠快车"", ""carModel"": ""聚优出租"", ""price"": 17},
                {""index"": ""117"", ""category"": ""特惠快车"", ""carModel"": ""聚的出租车"", ""price"": 17.9},
                {""index"": ""118"", ""category"": ""品质专车"", ""carModel"": ""享道出行"", ""price"": 38}
        ]
}",分别打一个高德和滴滴从药科大地铁站1号口坐特惠快车去义乌小商品城,滴滴车列表,sessionId20250606lhx3002,"{'appName': '高德地图', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n分别打一个高德和滴滴从药科大地铁站1号口坐特惠快车去义乌小商品城\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""分别打一个高德和滴滴从药科大地铁站1号口坐特惠快车去义乌小商品城\""}""}]","```json
[{""app"": ""高德地图"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""滴滴"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""高德地图"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""滴滴"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['2', '7']","['2','7']",1,1,1,1,1,1,1,1,
,,中天荟·小龙湾南侧去金鹰国际购物中心（江宁店），用高德和滴滴，需要经济车,滴滴车列表,sessionId20250606lhx3003,"{'appName': '高德地图', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n中天荟·小龙湾南侧去金鹰国际购物中心（江宁店），用高德和滴滴，需要经济车\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""中天荟·小龙湾南侧去金鹰国际购物中心（江宁店），用高德和滴滴，需要经济车\""}""}]","```json
[{""app"": ""高德地图"", ""category"": ""经济车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""滴滴"", ""category"": ""经济车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""高德地图"", ""category"": ""经济车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""滴滴"", ""category"": ""经济车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '2', '4', '6', '7']","['2','4','7','22''29']
",1,1,1,1,1,1,0,0.75,
,,金证南京科技园南门拼车去南京南站（南进站口），滴滴和高德都可以,滴滴车列表,sessionId20250606lhx3004,"{'appName': '高德地图', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n金证南京科技园南门拼车去南京南站（南进站口），滴滴和高德都可以\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""金证南京科技园南门拼车去南京南站（南进站口），滴滴和高德都可以\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""高德地图"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""高德地图"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '4', '5']","['1','4','5']
",1,1,1,1,1,1,1,1,
,,南京市第一医院南院（东南门）到中国银行（南京城南支行），滴滴拼车和高德特惠快车,滴滴车列表,sessionId20250606lhx3005,"{'appName': '高德地图', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n南京市第一医院南院（东南门）到中国银行（南京城南支行），滴滴拼车和高德特惠快车\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""南京市第一医院南院（东南门）到中国银行（南京城南支行），滴滴拼车和高德特惠快车\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""高德地图"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""高德地图"", ""category"": ""特惠快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '4', '5']","['1','4','5']
",1,1,1,1,1,1,1,1,
,,高德滴滴之类的出租车雨花台区实验小学（东北门）到大报恩寺遗址景区,滴滴车列表,sessionId20250606lhx3006,"{'appName': '高德地图', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n高德滴滴之类的出租车雨花台区实验小学（东北门）到大报恩寺遗址景区\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""高德滴滴之类的出租车雨花台区实验小学（东北门）到大报恩寺遗址景区\""}""}]","```json
[{""app"": ""高德地图"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""滴滴"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""高德地图"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""滴滴"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['10', '12']","['10','12']",1,1,1,1,1,1,1,1,
,,滴滴和高德，莫愁湖公园到固生堂南京建邺分院，要求拼车,滴滴车列表,sessionId20250606lhx3007,"{'appName': '高德地图', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n滴滴和高德，莫愁湖公园到固生堂南京建邺分院，要求拼车\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""滴滴和高德，莫愁湖公园到固生堂南京建邺分院，要求拼车\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""高德地图"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""高德地图"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '4', '5']","['1','4','5']",1,1,1,1,1,1,1,1,
,,侵华日军南京大屠杀遇难同胞纪念馆到万达广场（南京建邺店），高德滴滴均可，必须六座车,滴滴车列表,sessionId20250606lhx3008,"{'appName': '高德地图', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n侵华日军南京大屠杀遇难同胞纪念馆到万达广场（南京建邺店），高德滴滴均可，必须六座车\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""侵华日军南京大屠杀遇难同胞纪念馆到万达广场（南京建邺店），高德滴滴均可，必须六座车\""}""}]","```json
[{""app"": ""高德地图"", ""category"": ""六座车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""滴滴"", ""category"": ""六座车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""高德地图"", ""category"": ""六座车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""滴滴"", ""category"": ""六座车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['16'],['16'],1,1,1,1,1,1,1,1,
,,使用滴滴和高德，中共江苏省委员会拼车去马鞍山10号院,滴滴车列表,sessionId20250606lhx3009,"{'appName': '高德地图', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n使用滴滴和高德，中共江苏省委员会拼车去马鞍山10号院\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""使用滴滴和高德，中共江苏省委员会拼车去马鞍山10号院\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""高德地图"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""高德地图"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '4', '5']","['1','4','5']",1,1,1,1,1,1,1,1,
,,金证南京科技园（南门）出租车去南京南站（南进站口），滴滴，高德，百度,滴滴车列表,sessionId20250606lhx3010,"{'appName': '百度', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n金证南京科技园（南门）出租车去南京南站（南进站口），滴滴，高德，百度\n\n# 用户提供示例：\n\n\n**如果用户需求与用户提供示例相同时，必须输出用户提供的结果**"",""exts"":""{\""userHistoryInputContent\"":\""金证南京科技园（南门）出租车去南京南站（南进站口），滴滴，高德，百度\""}""}]","```json
[{""app"": ""滴滴"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""高德地图"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""百度"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""滴滴"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""高德地图"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}, {""app"": ""百度"", ""category"": ""出租车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['10', '12']","['10','12']",1,1,1,1,1,1,1,1,
