车列表名称,车列表参数,车型理解,车列表,sysSessionId,模型1返回结果,input,output,output标准答案,模型2返回结果,模型2标准答案,模型1三大项标注,模型1最快打车意图标注,app字段准确性,category，mode车型字段准确性,"price，price_min, price_max价格字段准确性",fast最快打车意图字段准确性,模型2准确率,模型2召回率,
滴滴车列表,"{
        ""appName"": ""滴滴"",
        ""taxiSkuList"": [
                {""index"": ""1"", ""category"": ""推荐"", ""carModel"": ""极速拼车"", ""price"": 8},
                {""index"": ""2"", ""category"": ""推荐"", ""carModel"": ""特惠快车"", ""price"": 12},
                {""index"": ""3"", ""category"": ""推荐"", ""carModel"": ""滴滴快车"", ""price"": 13},
                {""index"": ""4"", ""category"": ""拼车"", ""carModel"": ""特价拼车"", ""price"": 7},
                {""index"": ""5"", ""category"": ""拼车"", ""carModel"": ""极速拼车"", ""price"": 8.5},
                {""index"": ""6"", ""category"": ""特价"", ""carModel"": ""花小猪外接版"", ""price"": 9.8},
                {""index"": ""7"", ""category"": ""特价"", ""carModel"": ""特惠快车"", ""price"": 8.8},
                {""index"": ""8"", ""category"": ""快速"", ""carModel"": ""花小猪正价版"", ""price"": 10},
                {""index"": ""9"", ""category"": ""快速"", ""carModel"": ""曹操出行"", ""price"": 11},
                {""index"": ""10"", ""category"": ""快速"", ""carModel"": ""特快出租车"", ""price"": 10.3},
                {""index"": ""11"", ""category"": ""快速"", ""carModel"": ""滴滴特快"", ""price"": 15.8},
                {""index"": ""12"", ""category"": ""快速"", ""carModel"": ""出租车"", ""price"": 14},
                {""index"": ""13"", ""category"": ""快速"", ""carModel"": ""滴滴快车"", ""price"": 16},
                {""index"": ""14"", ""category"": ""舒适"", ""carModel"": ""滴滴专车"", ""price"": 42},
                {""index"": ""15"", ""category"": ""舒适"", ""carModel"": ""滴滴豪华车"", ""price"": 68},
                {""index"": ""16"", ""category"": ""六座"", ""carModel"": ""六座专车"", ""price"": 54},
                {""index"": ""17"", ""category"": ""更多"", ""carModel"": ""滴滴代驾"", ""price"": 17},
                {""index"": ""18"", ""category"": ""更多"", ""carModel"": ""宠物出行"", ""price"": 21},
                {""index"": ""19"", ""category"": ""更多"", ""carModel"": ""滴滴包车"", ""price"": 39},
                {""index"": ""22"", ""category"": ""特价"", ""carModel"": ""惊喜特价"", ""price"": 9.9},
                {""index"": ""23"", ""category"": ""推荐"", ""carModel"": ""顺风车"", ""price"": 22.5},
                {""index"": ""24"", ""category"": ""城际"", ""carModel"": ""城际拼车"", ""price"": 56.5},
                {""index"": ""25"", ""category"": ""城际"", ""carModel"": ""顺风车"", ""price"": 62},
                {""index"": ""26"", ""category"": ""推荐"", ""carModel"": ""花小猪外接版"", ""price"": 15},
                {""index"": ""27"", ""category"": ""推荐"", ""carModel"": ""花小猪正价版"", ""price"": 13.5},
                {""index"": ""28"", ""category"": ""推荐"", ""carModel"": ""滴滴专车"", ""price"": 24},
                {""index"": ""29"", ""category"": ""推荐"", ""carModel"": ""惊喜特价"", ""price"": 12.8}
        ]
}",从北京西站打车去朝阳大悦城开会，记得要推荐类车型,滴滴车列表,sessionId20250624lhx1001,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n从北京西站打车去朝阳大悦城开会，记得要推荐类车型\n\n"",""exts"":""{\""userHistoryInputContent\"":\""从北京西站打车去朝阳大悦城开会，记得要推荐类车型\""}""}]","```json
[{""app"": ""无"", ""category"": ""推荐类车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""推荐类车型"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '2', '3', '23', '26', '27', '28', '29']","['1', '2', '3', '23', '26', '27', '28', '29']",1,1,1,1,1,1,1,1,
高德车列表,"{
        ""appName"": ""高德"",
        ""taxiSkuList"": [
                {""index"": ""1"", ""category"": ""拼车"", ""carModel"": ""极速拼车"", ""price"": 7.2},
                {""index"": ""2"", ""category"": ""特惠快车"", ""carModel"": ""特惠快车"", ""price"": 8.5},
                {""index"": ""3"", ""category"": ""经济型"", ""carModel"": ""曹操出行"", ""price"": 7.9},
                {""index"": ""4"", ""category"": ""经济型"", ""carModel"": ""T3出行"", ""price"": 8.3},
                {""index"": ""5"", ""category"": ""经济型"", ""carModel"": ""享道出行"", ""price"": 9},
                {""index"": ""6"", ""category"": ""经济型"", ""carModel"": ""鞍马出行"", ""price"": 10},
                {""index"": ""7"", ""category"": ""经济型"", ""carModel"": ""腾飞出行"", ""price"": 10.5},
                {""index"": ""8"", ""category"": ""经济型"", ""carModel"": ""及时用车"", ""price"": 9.5},
                {""index"": ""9"", ""category"": ""经济型"", ""carModel"": ""风韵出行"", ""price"": 9.5},
                {""index"": ""10"", ""category"": ""经济型"", ""carModel"": ""环旅出行"", ""price"": 8.9},
                {""index"": ""11"", ""category"": ""经济型"", ""carModel"": ""神州专车"", ""price"": 9.5},
                {""index"": ""12"", ""category"": ""经济型"", ""carModel"": ""叮叮出行"", ""price"": 10},
                {""index"": ""13"", ""category"": ""经济型"", ""carModel"": ""迪尔出行"", ""price"": 10.5},
                {""index"": ""14"", ""category"": ""经济型"", ""carModel"": ""旅程约车"", ""price"": 8},
                {""index"": ""15"", ""category"": ""经济型"", ""carModel"": ""聚优出租"", ""price"": 11},
                {""index"": ""16"", ""category"": ""经济型"", ""carModel"": ""阳光出行"", ""price"": 13},
                {""index"": ""17"", ""category"": ""经济型"", ""carModel"": ""首汽约车"", ""price"": 11.5},
                {""index"": ""18"", ""category"": ""经济型"", ""carModel"": ""有序出行"", ""price"": 12},
                {""index"": ""19"", ""category"": ""经济型"", ""carModel"": ""沛途出行"", ""price"": 11.5},
                {""index"": ""20"", ""category"": ""经济型"", ""carModel"": ""有滴出行"", ""price"": 12.5},
                {""index"": ""21"", ""category"": ""经济型"", ""carModel"": ""365约车"", ""price"": 13},
                {""index"": ""22"", ""category"": ""经济型"", ""carModel"": ""南京出租"", ""price"": 14},
                {""index"": ""23"", ""category"": ""经济型"", ""carModel"": ""腾飞新出租"", ""price"": 12},
                {""index"": ""24"", ""category"": ""经济型"", ""carModel"": ""鞍马聚的新出租"", ""price"": 16},
                {""index"": ""25"", ""category"": ""特快车"", ""carModel"": ""特快车"", ""price"": 18.5},
                {""index"": ""26"", ""category"": ""出租"", ""carModel"": ""出租车"", ""price"": 16},
                {""index"": ""27"", ""category"": ""优享型"", ""carModel"": ""曹操出行"", ""price"": 17.5},
                {""index"": ""28"", ""category"": ""优享型"", ""carModel"": ""阳光出行"", ""price"": 18},
                {""index"": ""29"", ""category"": ""优享型"", ""carModel"": ""T3出行"", ""price"": 19},
                {""index"": ""30"", ""category"": ""优享型"", ""carModel"": ""首汽约车"", ""price"": 19},
                {""index"": ""31"", ""category"": ""优享型"", ""carModel"": ""鞍马出行"", ""price"": 19.5},
                {""index"": ""32"", ""category"": ""优享型"", ""carModel"": ""风韵出行"", ""price"": 18.5},
                {""index"": ""33"", ""category"": ""优享型"", ""carModel"": ""腾飞出行"", ""price"": 18},
                {""index"": ""34"", ""category"": ""优享型"", ""carModel"": ""有滴出行"", ""price"": 18.5},
                {""index"": ""35"", ""category"": ""优享型"", ""carModel"": ""及时用车"", ""price"": 19.5},
                {""index"": ""36"", ""category"": ""优享型"", ""carModel"": ""神州专车"", ""price"": 19},
                {""index"": ""37"", ""category"": ""优享型"", ""carModel"": ""环旅出行"", ""price"": 19.5},
                {""index"": ""38"", ""category"": ""优享型"", ""carModel"": ""叮叮出行"", ""price"": 19.5},
                {""index"": ""39"", ""category"": ""优享型"", ""carModel"": ""沛途出行"", ""price"": 20},
                {""index"": ""40"", ""category"": ""优享型"", ""carModel"": ""旅程约车"", ""price"": 19},
                {""index"": ""41"", ""category"": ""专车"", ""carModel"": ""品质专车"", ""price"": 32},
                {""index"": ""42"", ""category"": ""六座商务"", ""carModel"": ""六座商务"", ""price"": 35},
                {""index"": ""43"", ""category"": ""送东西"", ""carModel"": ""高德秒送"", ""price"": 26},
                {""index"": ""44"", ""category"": ""顺风车"", ""carModel"": ""顺风车"", ""price"": 33},
                {""index"": ""45"", ""category"": ""特价拼车"", ""carModel"": ""特价拼车"", ""price"": 12},
                {""index"": ""46"", ""category"": ""推荐"", ""carModel"": ""顺风车"", ""price"": 17},
                {""index"": ""47"", ""category"": ""推荐"", ""carModel"": ""特价拼车"", ""price"": 12},
                {""index"": ""48"", ""category"": ""经济"", ""carModel"": ""曹操出行"", ""price"": 8.9},
                {""index"": ""49"", ""category"": ""经济"", ""carModel"": ""T3出行"", ""price"": 8.5},
                {""index"": ""50"", ""category"": ""经济"", ""carModel"": ""享道出行"", ""price"": 9},
                {""index"": ""51"", ""category"": ""经济"", ""carModel"": ""鞍马出行"", ""price"": 7.8},
                {""index"": ""52"", ""category"": ""经济"", ""carModel"": ""腾飞出行"", ""price"": 7.5},
                {""index"": ""53"", ""category"": ""经济"", ""carModel"": ""有序出行"", ""price"": 8},
                {""index"": ""54"", ""category"": ""经济"", ""carModel"": ""神州专车"", ""price"": 8},
                {""index"": ""55"", ""category"": ""经济"", ""carModel"": ""妥妥E行"", ""price"": 7.9},
                {""index"": ""56"", ""category"": ""经济"", ""carModel"": ""及时用车"", ""price"": 7.6},
                {""index"": ""57"", ""category"": ""经济"", ""carModel"": ""环旅出行"", ""price"": 8},
                {""index"": ""58"", ""category"": ""经济"", ""carModel"": ""沛途出行"", ""price"": 8.1},
                {""index"": ""59"", ""category"": ""经济"", ""carModel"": ""旅程约车"", ""price"": 8.3},
                {""index"": ""60"", ""category"": ""经济"", ""carModel"": ""风韵出行"", ""price"": 8.3},
                {""index"": ""61"", ""category"": ""经济"", ""carModel"": ""阳光出行"", ""price"": 8.2},
                {""index"": ""62"", ""category"": ""经济"", ""carModel"": ""首汽约车"", ""price"": 8},
                {""index"": ""63"", ""category"": ""经济"", ""carModel"": ""叮叮出行"", ""price"": 7.6},
                {""index"": ""64"", ""category"": ""经济"", ""carModel"": ""迪尔出行"", ""price"": 7.5},
                {""index"": ""65"", ""category"": ""经济"", ""carModel"": ""有滴出行"", ""price"": 7},
                {""index"": ""66"", ""category"": ""经济"", ""carModel"": ""聚优出租"", ""price"": 8},
                {""index"": ""67"", ""category"": ""经济"", ""carModel"": ""南京出租"", ""price"": 7.4},
                {""index"": ""68"", ""category"": ""经济"", ""carModel"": ""腾飞新出租"", ""price"": 7.9},
                {""index"": ""69"", ""category"": ""经济"", ""carModel"": ""鞍马聚的新出租"", ""price"": 8.5},
                {""index"": ""70"", ""category"": ""优享型"", ""carModel"": ""享道出行"", ""price"": 11},
                {""index"": ""71"", ""category"": ""推荐"", ""carModel"": ""品质专车"", ""price"": 28},
                {""index"": ""72"", ""category"": ""经济"", ""carModel"": ""365约车"", ""price"": 10},
                {""index"": ""73"", ""category"": ""优享型"", ""carModel"": ""旅程专车"", ""price"": 29},
                {""index"": ""74"", ""category"": ""经济型"", ""carModel"": ""聚优出行"", ""price"": 9},
                {""index"": ""75"", ""category"": ""出租车"", ""carModel"": ""鞍马聚的-高档出租车"", ""price"": 15},
                {""index"": ""76"", ""category"": ""品质专车"", ""carModel"": ""风韵出行"", ""price"": 35},
                {""index"": ""77"", ""category"": ""品质专车"", ""carModel"": ""鞍马出行"", ""price"": 42},
                {""index"": ""78"", ""category"": ""品质专车"", ""carModel"": ""叮叮出行"", ""price"": 46},
                {""index"": ""79"", ""category"": ""品质专车"", ""carModel"": ""首汽约车"", ""price"": 45},
                {""index"": ""80"", ""category"": ""品质专车"", ""carModel"": ""腾飞出行"", ""price"": 38},
                {""index"": ""81"", ""category"": ""品质专车"", ""carModel"": ""环旅出行"", ""price"": 39},
                {""index"": ""82"", ""category"": ""品质专车"", ""carModel"": ""神州专车"", ""price"": 45},
                {""index"": ""83"", ""category"": ""六座商务"", ""carModel"": ""享道出行"", ""price"": 41},
                {""index"": ""84"", ""category"": ""六座商务"", ""carModel"": ""首汽约车"", ""price"": 39},
                {""index"": ""85"", ""category"": ""出租车"", ""carModel"": ""鞍马聚的-低档"", ""price"": 19},
                {""index"": ""86"", ""category"": ""六座商务"", ""carModel"": ""叮叮出行"", ""price"": 44},
                {""index"": ""87"", ""category"": ""六座商务"", ""carModel"": ""腾飞出行"", ""price"": 40},
                {""index"": ""88"", ""category"": ""六座商务"", ""carModel"": ""神州专车"", ""price"": 50},
                {""index"": ""89"", ""category"": ""特惠快车"", ""carModel"": ""首汽约车"", ""price"": 12},
                {""index"": ""90"", ""category"": ""特惠快车"", ""carModel"": ""T3出行"", ""price"": 13},
                {""index"": ""91"", ""category"": ""特惠快车"", ""carModel"": ""享道出行"", ""price"": 12.5},
                {""index"": ""92"", ""category"": ""特惠快车"", ""carModel"": ""曹操出行"", ""price"": 13.8},
                {""index"": ""93"", ""category"": ""特惠快车"", ""carModel"": ""鞍马出行"", ""price"": 13.4},
                {""index"": ""94"", ""category"": ""特惠快车"", ""carModel"": ""风韵出行"", ""price"": 12.9},
                {""index"": ""95"", ""category"": ""特惠快车"", ""carModel"": ""有序出行"", ""price"": 12.6},
                {""index"": ""96"", ""category"": ""特惠快车"", ""carModel"": ""腾飞出行"", ""price"": 12.8},
                {""index"": ""97"", ""category"": ""特惠快车"", ""carModel"": ""阳光出行"", ""price"": 13},
                {""index"": ""98"", ""category"": ""特惠快车"", ""carModel"": ""叮叮出行"", ""price"": 12.2},
                {""index"": ""99"", ""category"": ""特惠快车"", ""carModel"": ""神州专车"", ""price"": 12.5},
                {""index"": ""100"", ""category"": ""特惠快车"", ""carModel"": ""迪尔出行"", ""price"": 12.6},
                {""index"": ""101"", ""category"": ""特惠快车"", ""carModel"": ""及时用车"", ""price"": 12.5},
                {""index"": ""102"", ""category"": ""特惠快车"", ""carModel"": ""有滴出行"", ""price"": 13.4},
                {""index"": ""103"", ""category"": ""特惠快车"", ""carModel"": ""环旅出行"", ""price"": 13.2},
                {""index"": ""104"", ""category"": ""特惠快车"", ""carModel"": ""沛途出行"", ""price"": 12},
                {""index"": ""105"", ""category"": ""特惠快车"", ""carModel"": ""聚优出行"", ""price"": 14},
                {""index"": ""106"", ""category"": ""特惠快车"", ""carModel"": ""南京出租"", ""price"": 16},
                {""index"": ""107"", ""category"": ""特惠快车"", ""carModel"": ""365约车"", ""price"": 12.5},
                {""index"": ""108"", ""category"": ""特惠快车"", ""carModel"": ""腾飞新出租"", ""price"": 12.3},
                {""index"": ""109"", ""category"": ""特惠快车"", ""carModel"": ""妥妥E行"", ""price"": 13},
                {""index"": ""110"", ""category"": ""特惠快车"", ""carModel"": ""聚的新出租"", ""price"": 11.8},
                {""index"": ""111"", ""category"": ""经济型"", ""carModel"": ""妥妥E行"", ""price"": 14},
                {""index"": ""112"", ""category"": ""优享型"", ""carModel"": ""365约车"", ""price"": 15},
                {""index"": ""113"", ""category"": ""品质专车"", ""carModel"": ""有序出行"", ""price"": 48},
                {""index"": ""114"", ""category"": ""六座商务"", ""carModel"": ""特价专车"", ""price"": 40},
                {""index"": ""115"", ""category"": ""特惠快车"", ""carModel"": ""旅程约车"", ""price"": 16},
                {""index"": ""116"", ""category"": ""特惠快车"", ""carModel"": ""聚优出租"", ""price"": 17},
                {""index"": ""117"", ""category"": ""特惠快车"", ""carModel"": ""聚的出租车"", ""price"": 17.9},
                {""index"": ""118"", ""category"": ""品质专车"", ""carModel"": ""享道出行"", ""price"": 38}
        ]
}",听说外滩夜景不错，给我打辆拼车服务从上海虹桥机场出发,滴滴车列表,sessionId20250624lhx1002,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n听说外滩夜景不错，给我打辆拼车服务从上海虹桥机场出发\n\n"",""exts"":""{\""userHistoryInputContent\"":\""听说外滩夜景不错，给我打辆拼车服务从上海虹桥机场出发\""}""}]","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""拼车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '4', '5', '24']","['1','4','5','24']",1,1,1,1,1,1,1,1,
,,优先选特价分类坐车去白云机场，从天河城出发赶时间呢,滴滴车列表,sessionId20250624lhx1003,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n优先选特价分类坐车去白云机场，从天河城出发赶时间呢\n\n"",""exts"":""{\""userHistoryInputContent\"":\""优先选特价分类坐车去白云机场，从天河城出发赶时间呢\""}""}]","```json
[{""app"": ""无"", ""category"": ""特价分类"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","```json
[{""app"": ""无"", ""category"": ""特价分类"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","['4', '6', '7', '22']","['2','4','6','7','22','29']",1,1,1,1,1,1,1,0.67,
,,福田站到世界之窗需要预约，给我叫辆快速类车辆吧,滴滴车列表,sessionId20250624lhx1004,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n福田站到世界之窗需要预约，给我叫辆快速类车辆吧\n\n"",""exts"":""{\""userHistoryInputContent\"":\""福田站到世界之窗需要预约，给我叫辆快速类车辆吧\""}""}]","```json
[{""app"": ""无"", ""category"": ""快速类车辆"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""快速类车辆"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['8', '9', '10', '11', '12', '13']","['2', '3', '7', '8', '9', '10', '11', '12', '13']",1,1,1,1,1,1,1,0.67,
,,下午要赶飞机，从春熙路打的到双流机场的舒适型车有吗,滴滴车列表,sessionId20250624lhx1005,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n下午要赶飞机，从春熙路打的到双流机场的舒适型车有吗\n\n"",""exts"":""{\""userHistoryInputContent\"":\""下午要赶飞机，从春熙路打的到双流机场的舒适型车有吗\""}""}]","```json
[{""app"": ""无"", ""category"": ""舒适型车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""舒适型车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['14', '15']","['14','15']",1,1,1,1,1,1,1,1,
,,六座车型分类适合团队出行，杭州西湖到萧山机场的订单,滴滴车列表,sessionId20250624lhx1006,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n六座车型分类适合团队出行，杭州西湖到萧山机场的订单\n\n"",""exts"":""{\""userHistoryInputContent\"":\""六座车型分类适合团队出行，杭州西湖到萧山机场的订单\""}""}]","```json
[{""app"": ""无"", ""category"": ""六座"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""六座"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```",['16'],['16'],1,1,1,1,1,1,1,1,
,,夫子庙那边有批货要送，南京南站出发需要快车类型,滴滴车列表,sessionId20250624lhx1007,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n夫子庙那边有批货要送，南京南站出发需要快车类型\n\n"",""exts"":""{\""userHistoryInputContent\"":\""夫子庙那边有批货要送，南京南站出发需要快车类型\""}""}]","```json
[{""app"": ""无"", ""category"": ""快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""快车"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['2', '3', '7', '8', '9', '10', '11', '12', '13']","['2','3','7','8','9','10','11','12','13']",1,1,1,1,1,1,1,1,
,,城际类目车辆挺方便，重庆解放碑到江北机场给我安排下,滴滴车列表,sessionId20250624lhx1008,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n城际类目车辆挺方便，重庆解放碑到江北机场给我安排下\n\n"",""exts"":""{\""userHistoryInputContent\"":\""城际类目车辆挺方便，重庆解放碑到江北机场给我安排下\""}""}]","```json
[{""app"": ""无"", ""category"": ""城际"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""城际"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['24', '25']","['24','25']",1,1,1,1,1,1,1,1,
,,筛选推荐类的车型，从西安钟楼坐车去咸阳机场开会,滴滴车列表,sessionId20250624lhx1009,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n筛选推荐类的车型，从西安钟楼坐车去咸阳机场开会\n\n"",""exts"":""{\""userHistoryInputContent\"":\""筛选推荐类的车型，从西安钟楼坐车去咸阳机场开会\""}""}]","```json
[{""app"": ""无"", ""category"": ""推荐类"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","```json
[{""app"": ""无"", ""category"": ""推荐类"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['1', '2', '3', '23', '26', '27', '28', '29']","['1', '2', '3', '23', '26', '27', '28', '29']",1,1,1,1,1,1,1,1,
,,指定用快速大类，武汉光谷到天河机场的行程比较紧急,滴滴车列表,sessionId20250624lhx1010,"{'appName': '', 'carModelRelated': False, 'categoryRelated': True, 'fastRelated': False, 'priceRelated': False}","[{""content"":""# 用户需求：\n指定用快速大类，武汉光谷到天河机场的行程比较紧急\n\n"",""exts"":""{\""userHistoryInputContent\"":\""指定用快速大类，武汉光谷到天河机场的行程比较紧急\""}""}]","```json
[{""app"": ""无"", ""category"": ""快速"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": true}]
```","```json
[{""app"": ""无"", ""category"": ""快速"", ""mode"": ""无"", ""price"": false, ""price_min"": 0, ""price_max"": 0, ""fast"": false}]
```","['8', '9', '10', '11', '12', '13']","['2', '3', '7', '8', '9', '10', '11', '12', '13']",1,1,1,1,1,0,1,0.67,
