category,app_name,instruction_template,final_query,is_train,available_tools
签到,抖音,在抖音中签到领积分,我在抖音里怎么签到领积分？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,抖音,在抖音中签到领积分,YoYo，帮我查一下抖音视频里怎么每天签到赚积分。,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,抖音,在抖音中签到领积分,抖音能连续签到兑换优惠券吗？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,抖音,在抖音中签到领积分,教我在dy上完成每日签到领取积分的任务吧！,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,抖音,在抖音中签到领积分,抖音短视频那个APP签到送的积分怎么用啊？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,抖音极速版,在抖音极速版中打开赚钱任务签到领金币,在抖音极速版里怎么找到赚钱任务签到领金币的入口？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,抖音极速版,在抖音极速版中打开赚钱任务签到领金币,YOYO，帮我打开抖音极速版里的签到领金币任务。,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,抖音极速版,在抖音极速版中打开赚钱任务签到领金币,抖音极速版里面的赚钱任务签到领金币在哪里呀？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,抖音极速版,在抖音极速版中打开赚钱任务签到领金币,快告诉我抖音极速版签到领金币的任务在哪！,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,抖音极速版,在抖音极速版中打开赚钱任务签到领金币,YOYO，抖音极速版有没有每日签到领金币的任务？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,抖音极速版,在抖音极速版中签到领积分,我在抖音极速版里怎么找不到签到领积分的入口？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,抖音极速版,在抖音极速版中签到领积分,能不能帮我查一下抖音极速版里的签到领积分活动在哪？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,抖音极速版,在抖音极速版中签到领积分,打开抖音极速版之后怎么签到领积分？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,抖音极速版,在抖音极速版中签到领积分,抖音极速版签到领积分是真的吗？怎么操作？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,抖音极速版,在抖音极速版中签到领积分,在抖音极速版签到领积分的流程麻烦说一下。,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,快手,在快手中打开任务中心签到领红包,在快手里怎么找不到任务中心的签到入口了？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,快手,在快手中打开任务中心签到领红包,YoYo，帮我打开快手的任务中心，今天还没领红包呢！,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,快手,在快手中打开任务中心签到领红包,快手签到领红包在哪里啊，教教我呗～,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,快手,在快手中打开任务中心签到领红包,快去快手任务中心签到领红包，别忘了！,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,快手,在快手中打开任务中心签到领红包,YoYo，快手的任务中心签到是不是每天都能领红包？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,快手极速版,在快手极速版中打开去赚钱签到领金币,在快手极速版中怎么找到去赚钱签到领金币的入口？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,快手极速版,在快手极速版中打开去赚钱签到领金币,YOYO，帮我打开快手极速版里的去赚钱签到领金币页面。,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,快手极速版,在快手极速版中打开去赚钱签到领金币,快手极速版有没有签到领金币的活动啊？在哪能找到？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,快手极速版,在快手极速版中打开去赚钱签到领金币,我想在极速版快手上参与去赚钱签到领金币，怎么操作？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,快手极速版,在快手极速版中打开去赚钱签到领金币,去快手极速版里哪里可以找到去赚钱签到领金币的功能？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,拼多多,在拼多多中进行签到,拼多多怎么签到啊？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,拼多多,在拼多多中进行签到,帮我打开拼夕夕的签到页面。,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,拼多多,在拼多多中进行签到,在PDD里每天签到有什么奖励？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,拼多多,在拼多多中进行签到,YoYo，我忘记在拼多多打卡签到了，现在还能补签吗？,1,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,拼多多,在拼多多中进行签到,拼多多签到在哪里签？教教我步骤呗！,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,淘宝,在淘宝中签到领淘金币,淘宝里怎么签到领淘金币啊？,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
签到,淘宝,在淘宝中签到领淘金币,YOYO，帮我查一下淘宝网每天签到领金币的入口在哪里。,0,"[{""name"": ""sign_in(app, page_type)"", ""description"": ""在app程序中完成每日签到，领取积分、金币等奖励的操作""}]"
